ticker,signal_count,avg_return,win_rate
ARM,53,0.015239471619461882,0.6415094339622641
PLTR,89,0.01297993873050477,0.6067415730337079
ENPH,71,0.010694000599308334,0.5774647887323944
HOOD,91,0.010226857271851091,0.6483516483516484
TSLA,88,0.009621605949229716,0.5909090909090909
AMAT,64,0.008140183710565156,0.640625
NVDA,127,0.005532558546785002,0.5748031496062992
FSLR,72,0.005498802684647693,0.5555555555555556
GS,113,0.004660753721518795,0.6194690265486725
AVGO,62,0.0043511248891062795,0.5161290322580645
COST,25,0.004060279573785142,0.6
ABNB,87,0.0038698786371716173,0.5632183908045977
BLK,82,0.003488343024687904,0.6463414634146342
META,33,0.003388340581922251,0.45454545454545453
GOOGL,108,0.0032198807060770445,0.6296296296296297
WMT,95,0.0030651210006910875,0.6105263157894737
NFLX,69,0.0030234489901959176,0.4927536231884058
AMZN,95,0.002843789026065045,0.5473684210526316
NET,110,0.002808482687790677,0.4909090909090909
TGT,90,0.002788980354988814,0.5
PYPL,67,0.0026409561193627843,0.5671641791044776
NOW,63,0.0026289327057896013,0.6507936507936508
JPM,64,0.0025487805543833505,0.515625
CRM,97,0.002267133586915994,0.5670103092783505
DDOG,82,0.0022586777258372186,0.5853658536585366
ISRG,150,0.0018372032379387914,0.5733333333333334
EBAY,94,0.001612795040703559,0.5425531914893617
AMD,75,0.0014791692450249524,0.49333333333333335
V,107,0.0013476495483248367,0.5794392523364486
BAC,67,0.001320889622440639,0.4925373134328358
QCOM,74,0.001160705511238315,0.527027027027027
INTC,106,0.0010981421035556546,0.5471698113207547
MSFT,130,0.0009008443048079898,0.5615384615384615
MS,63,0.0007972437444842577,0.5396825396825397
AAPL,120,0.0005914062431358234,0.525
MA,162,0.00037514443494807766,0.5740740740740741
UNH,90,-7.378026524896583e-05,0.5777777777777777
SNOW,105,-0.00013026486109247356,0.45714285714285713
MDB,111,-0.000147612444985187,0.44144144144144143
SHOP,84,-0.0003011313992404642,0.5476190476190477
WFC,93,-0.0016236321032713768,0.45161290322580644
COIN,87,-0.0016461061821459156,0.47126436781609193
RIVN,67,-0.0031493694864852405,0.43283582089552236
DXCM,106,-0.0033156943069216926,0.5094339622641509
MU,66,-0.0046223571562125625,0.4090909090909091
