Ticker,Samples,Up_Day_%,Annual_Volatility_%,Mean_RSI
COIN,886,47.4,90.7,50.2
ARM,277,53.8,85.8,54.4
RIVN,739,47.8,79.6,46.8
ENPH,1460,52.4,75.8,52.0
NET,1284,51.4,70.1,53.5
PLTR,1020,49.4,68.2,52.1
MDB,1460,50.8,66.6,51.9
HOOD,812,49.1,65.2,50.2
TSLA,1460,52.9,64.9,53.6
SHOP,1460,52.1,63.8,53.6
SNOW,1030,50.7,62.5,49.9
DDOG,1280,52.0,59.1,53.1
AMD,1460,50.1,52.0,53.0
NVDA,1460,54.4,51.8,56.3
FSLR,1460,50.3,50.9,51.9
DXCM,1460,52.9,49.1,52.2
ABNB,970,50.2,47.3,50.0
MU,1460,51.4,46.6,52.1
AMAT,1460,52.1,45.2,53.5
NFLX,1460,51.4,44.0,53.1
META,1460,52.1,42.7,54.2
PYPL,1460,52.1,42.7,51.2
QCOM,1460,51.5,41.7,52.9
INTC,1460,50.2,41.5,49.3
NOW,1460,54.7,41.4,54.4
AVGO,1460,53.3,40.4,55.1
CRM,1460,52.2,38.3,52.8
WFC,1460,51.3,37.1,52.4
TGT,1460,50.7,35.8,53.0
ISRG,1460,55.5,34.4,54.2
BAC,1460,50.4,34.2,52.7
MS,1460,52.3,34.2,54.1
AMZN,1460,52.2,34.2,53.1
GS,1460,52.0,31.8,54.0
EBAY,1460,51.6,31.6,52.1
GOOGL,1460,54.3,31.4,54.4
JPM,1460,52.7,31.0,54.7
AAPL,1460,53.8,30.7,55.9
BLK,1460,54.6,30.2,54.0
MA,1460,53.8,29.8,54.0
MSFT,1460,53.8,29.2,55.5
UNH,1460,53.0,29.2,53.0
V,1460,54.5,26.7,54.1
COST,1460,55.1,23.1,56.8
WMT,1460,53.8,21.6,55.1
