Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,Volatility_20,Return_1d,Return_3d,Return_5d,Target
2019-03-14,85.3268427427,86.4454817337,85.2941817503,86.0127235839,10926470,85.358278947945,84.190380010024,85.0273804200763,59.20843498927494,0.2677933885931054,0.32289969181813843,-0.055106303225033015,86.92814234129582,83.78841555459417,3.6782920478239647,0.009129247463530176,0.009100488552681751,0.00948730234756301,0.023016412547147924,1
2019-03-15,86.0698803207,87.2048498079,85.9229058547,87.0007186051,24811730,85.5268913214,84.32186400542,85.21531739007855,64.73256897989148,0.3958299495214135,0.33748574335879344,0.05834420616262004,87.04076883826866,84.01301380453134,3.540120524618829,0.009224645051489342,0.011486614770851666,0.024125336408515663,0.034365595573133456,1
2019-03-18,87.0007186051,88.0132093707,86.9598923646,87.5232944841,12935514,85.59384635589501,84.48647540730398,85.4351247323663,67.25823116153529,0.5333195764991814,0.37665250998687105,0.15666706651231033,87.32144846256234,83.86624424922768,4.036743715159263,0.00643962757330795,0.00600656968561375,0.02682249257570768,0.027216099663929683,0
2019-03-19,88.3479845432,88.5112895054,87.0007186051,87.2048498079,12889267,85.65998486558,84.5862547392,85.60366997765523,64.23917822089899,0.6095586596310767,0.4232337399157122,0.18632491971536447,87.52266105089612,83.79730868026388,4.348999566691685,0.006444362904044348,-0.0036383991036563756,0.013859882286336056,0.02652825836238981,0
2019-03-20,86.9027356278,87.0823710862,85.2533555097,85.3431732389,14920658,85.61221816413999,84.647657404982,85.57886076444044,50.08491794978575,0.5138337858155353,0.4413537490956769,0.07248003671985842,87.45584711000629,83.76858921827369,4.306929514036426,0.008039634776467425,-0.02134831460751352,-0.019052088221520158,0.0012453300122003963,0
2019-03-21,84.5021526837,84.5021526837,83.5141576624,83.9959073009,19751044,85.50606993872,84.685217546286,85.4281032917223,42.74478223155734,0.3255058037456138,0.4181841600256643,-0.0926783562800505,87.4618435670041,83.55029631043591,4.574584306554481,0.008733355905812779,-0.015786452353120373,-0.040302267002081504,-0.023447883045265017,0
2019-03-22,83.1385562494,83.5468186549,81.2605491843,81.4565151389,31115189,85.292140438255,84.674766028706,85.04985680097731,32.94445496444473,-0.028326671525633174,0.32888199371540483,-0.357208665241038,87.92107074359353,82.66321013291648,6.164531202594624,0.010876457774041648,-0.030232332069502932,-0.0659176029964248,-0.06372595025755334,0
2019-03-25,81.317705921,82.1179002357,80.0929187046,80.7787995458,21032295,84.999416293535,84.65092350422601,84.64308944334138,30.907753848914382,-0.35928581859198516,0.19124843125392685,-0.550534249845912,88.20610331897794,81.79272926809207,7.545197756109367,0.010501844555453185,-0.008319967923306804,-0.05348258706438069,-0.07705942718512782,1
2019-03-26,81.5055066275,81.9790910179,80.6889818166,81.5871591086,15987129,84.780179381795,84.651086809188,84.3520484590803,35.99085536889784,-0.5500053468269641,0.042997675637748645,-0.5930030224647127,88.27734084876012,81.28301791482987,8.249950619274289,0.01086554108540495,0.010007075709780544,-0.028676970934680135,-0.06441947565617023,0
2019-03-27,81.5544981162,82.0199172584,80.9012782675,81.3095406729,12753234,84.552368959545,84.62887733432999,84.0622858127774,35.037486810460805,-0.7153078114335614,-0.10866342177651335,-0.606644389657048,88.32011659589611,80.7846213231939,8.912222526027207,0.010862464223245407,-0.003402722177523909,-0.0018043303933317212,-0.04726368159183281,1
2019-03-28,81.6524810935,82.3057009423,81.4401846427,82.2322137093,12454070,84.40335318154999,84.61303675299801,83.88799323149385,40.66319290972188,-0.7630630863676942,-0.23954335469474952,-0.5235197316729446,88.28878252629717,80.51792383680281,9.20681275870568,0.011229340298152701,0.011347660173260943,0.01799251996405249,-0.020997375327846513,1
2019-03-29,82.9099293024,83.2773654673,82.134230732,82.656806611,14523395,84.2727092118,84.5922970228,83.77073736287538,43.10492752646505,-0.7579116533586046,-0.3432170144275205,-0.41469463893108405,88.20822293655951,80.3371954870405,9.339948274045627,0.011324175233155053,0.005163340284149109,0.013110488391637531,0.014735364876010904,1
2019-04-01,83.408009437,85.4738172087,83.3835136927,85.4411562163,17499280,84.29108102005,84.620385476298,83.92982487272533,55.916125971635914,-0.5231251016795966,-0.37919863187793573,-0.14392646980166085,88.24476894297496,80.33739309712504,9.381035039720294,0.01378153542740505,0.03368566630457592,0.050813416349516416,0.05771757808627176,1
