Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_width,Volatility_20,Return_1d,Return_3d,Return_5d,Target
2022-01-21,63.865,67.16,60.51,64.51,19344685,88.24000000000001,105.9876,84.95014474830671,25.936063754876628,-10.355870736432678,-8.159088938437412,-2.196781797995266,114.7490014900599,61.73099850994012,60.083865571305274,0.049533286757127565,-0.007843740387572962,-0.11823400765445591,-0.19673764163865015,0
2022-01-24,60.11,64.3,55.1,63.9,24134813,86.59299999999999,105.251,82.9453690579918,25.630599398183392,-10.734735888937678,-8.674218328537465,-2.0605175604002124,114.79888314518793,58.38711685481205,65.14587355834293,0.049269404453361094,-0.00945589831033955,-0.07925072046109516,-0.20075046904315197,0
2022-01-25,61.1053,61.93,58.0,59.61,16557239,84.21900000000001,103.9834,80.72295295723067,23.531565564045323,-11.251456610826935,-9.18966598499536,-2.0617906258315752,113.10878013069669,55.32921986930333,68.60632429902202,0.0405324074349256,-0.06713615023474173,-0.08320516764072583,-0.18521049753963914,1
2022-01-26,62.35,68.07,59.01,60.27,23694075,82.08900000000001,102.5898,78.77505267558965,24.555238201092862,-11.475423482838991,-9.646817484564085,-1.8286059982749059,111.44220691168168,52.735793088318346,71.51556703500265,0.04135202473053463,0.011071967790639237,-0.06572624399317939,-0.1315561959654179,0
2022-01-27,61.33,61.7,53.331,53.94,23416377,79.81899999999999,100.68140000000001,76.40980956362874,21.5724475365938,-12.025079311534043,-10.122469849958076,-1.9026094615759668,110.47765287321013,49.16034712678985,76.82043842496184,0.04500386253841372,-0.10502737680438035,-0.15586854460093902,-0.17040910489080285,1
2022-01-28,53.6,57.3,50.0,57.12,23965079,77.50399999999999,98.3836,74.57268484328314,26.40874417950654,-12.06500818801554,-10.510977517569568,-1.5540306704459717,107.67291738196774,47.335082618032246,77.85125253397953,0.04661951030918084,0.05895439377085654,-0.04177151484650232,-0.11455588280886697,1
2022-01-31,58.65,65.93,57.92,65.74,18684866,75.60650000000001,96.777,73.73147676297046,37.63533058109029,-11.271163197361261,-10.663014653527908,-0.6081485438333534,103.64751586961492,47.5654841303851,74.1762040819636,0.06126692499940119,0.15091036414565817,0.09075825452132058,0.028794992175273704,1
2022-02-01,67.28,71.46,62.35,69.62,24476526,73.9515,95.7018,73.33990754744946,41.92956484225362,-10.211242897590978,-10.572660302340523,0.3614174047495453,99.16026298036051,48.74273701963948,68.17647506909398,0.06379263024259113,0.05902038332826298,0.29069336299592163,0.16792484482469394,0
2022-02-02,69.39,69.9,63.55,64.32,15610304,72.098,94.41619999999999,72.48086873340665,38.07306130929431,-9.687245592670209,-10.395577360406461,0.7083317677362526,94.22759068758377,49.96840931241623,61.38752999412957,0.06511412177155554,-0.07612754955472578,0.12605042016806722,0.06719761075161745,0
2022-02-03,60.8268,63.9193,59.0,60.36,19776330,70.6155,93.2612,71.32650028260602,35.44952095457549,-9.482207868385615,-10.212903462002293,0.7306955936166784,91.6942983291267,49.536701670873306,59.70020272922147,0.062280909646368204,-0.06156716417910435,-0.0818375418314572,0.11902113459399333,1
