feature,mean_abs_shap
Return_1d,0.06284437
Return_5d,0.06009585
MACD,0.055530854
BB_width,0.052383322
MACD_diff,0.04915428
sentiment_lag3,0.048132017
Return_3d,0.047969148
Volume,0.043899428
SMA_50,0.042709842
BB_lower,0.041955024
RSI_14,0.04108945
BB_upper,0.036100935
sentiment_lag5,0.03579651
MACD_signal,0.035540726
Volatility_20,0.03413297
Close,0.03132481
news_count_log,0.025340743
EMA_20,0.02292055
SMA_20,0.02181787
sentiment_mean,0.020891817
sentiment_lag1,0.012740594
sentiment_neg_ratio,0.0086681545
sentiment_pos_ratio,0.0070277043
