ticker,date,target
AAPL,2019-03-20,1
AVGO,2019-03-20,1
MSFT,2019-03-20,1
MU,2019-03-20,1
GS,2019-03-20,1
TGT,2019-03-20,1
PYPL,2019-03-20,1
UNH,2019-03-20,1
INTC,2019-03-20,1
GOOGL,2019-03-20,1
BLK,2019-03-20,1
NVDA,2019-03-20,1
ENPH,2019-03-20,1
MDB,2019-03-20,1
WMT,2019-03-20,1
META,2019-03-20,1
ISRG,2019-03-20,1
AMAT,2019-03-20,1
DXCM,2019-03-20,0
QCOM,2019-03-20,1
TSLA,2019-03-20,1
EBAY,2019-03-20,1
V,2019-03-20,1
NOW,2019-03-20,1
AMZN,2019-03-20,1
MS,2019-03-20,1
AMD,2019-03-20,1
FSLR,2019-03-20,0
MA,2019-03-20,1
NFLX,2019-03-20,1
SHOP,2019-03-20,1
JPM,2019-03-20,0
BAC,2019-03-20,0
CRM,2019-03-20,1
COST,2019-03-20,1
WFC,2019-03-20,0
TGT,2019-03-21,0
MS,2019-03-21,0
MDB,2019-03-21,0
TSLA,2019-03-21,0
MU,2019-03-21,0
V,2019-03-21,0
MA,2019-03-21,0
BAC,2019-03-21,0
UNH,2019-03-21,0
INTC,2019-03-21,0
FSLR,2019-03-21,0
NOW,2019-03-21,0
AMD,2019-03-21,0
AMZN,2019-03-21,0
SHOP,2019-03-21,0
NFLX,2019-03-21,0
JPM,2019-03-21,0
CRM,2019-03-21,0
WMT,2019-03-21,0
COST,2019-03-21,0
QCOM,2019-03-21,0
AVGO,2019-03-21,0
MSFT,2019-03-21,0
GS,2019-03-21,0
PYPL,2019-03-21,0
BLK,2019-03-21,0
ENPH,2019-03-21,0
META,2019-03-21,0
DXCM,2019-03-21,0
GOOGL,2019-03-21,0
NVDA,2019-03-21,0
WFC,2019-03-21,0
AMAT,2019-03-21,0
AAPL,2019-03-21,0
EBAY,2019-03-21,0
ISRG,2019-03-21,0
BLK,2019-03-22,0
DXCM,2019-03-22,0
QCOM,2019-03-22,0
WMT,2019-03-22,0
WFC,2019-03-22,0
GOOGL,2019-03-22,0
EBAY,2019-03-22,1
AVGO,2019-03-22,0
INTC,2019-03-22,0
FSLR,2019-03-22,0
MSFT,2019-03-22,1
PYPL,2019-03-22,1
GS,2019-03-22,0
META,2019-03-22,1
NVDA,2019-03-22,0
V,2019-03-22,0
ISRG,2019-03-22,1
MU,2019-03-22,0
TSLA,2019-03-22,0
MA,2019-03-22,0
SHOP,2019-03-22,1
NFLX,2019-03-22,1
AAPL,2019-03-22,0
NOW,2019-03-22,1
JPM,2019-03-22,0
AMD,2019-03-22,0
ENPH,2019-03-22,0
TGT,2019-03-22,1
AMZN,2019-03-22,1
BAC,2019-03-22,0
UNH,2019-03-22,0
CRM,2019-03-22,0
AMAT,2019-03-22,0
COST,2019-03-22,0
MDB,2019-03-22,0
MS,2019-03-22,0
NOW,2019-03-25,1
META,2019-03-25,1
MS,2019-03-25,1
NVDA,2019-03-25,1
INTC,2019-03-25,1
FSLR,2019-03-25,0
WFC,2019-03-25,1
ISRG,2019-03-25,1
MDB,2019-03-25,0
BAC,2019-03-25,1
TGT,2019-03-25,1
MU,2019-03-25,0
MA,2019-03-25,1
ENPH,2019-03-25,0
WMT,2019-03-25,1
AAPL,2019-03-25,0
GS,2019-03-25,1
AMD,2019-03-25,0
CRM,2019-03-25,0
DXCM,2019-03-25,0
QCOM,2019-03-25,1
BLK,2019-03-25,1
GOOGL,2019-03-25,0
AVGO,2019-03-25,1
MSFT,2019-03-25,1
AMZN,2019-03-25,1
JPM,2019-03-25,1
V,2019-03-25,1
COST,2019-03-25,1
EBAY,2019-03-25,1
TSLA,2019-03-25,1
UNH,2019-03-25,0
