ticker,date,time,headline,url,source,sentiment
COST,Today,11:29AM,"LGBTQ consumers cut spending at Target, Walmart, Amazon over DEI",https://finance.yahoo.com/m/7abea1ee-dad6-38eb-aa5b-1e593b237b47/lgbtq-consumers-cut-spending.html,finviz,-0.1027
COST,Jun-15-26,04:00PM,The Number That Could Test Walmart Stock,https://finance.yahoo.com/m/10481c6a-2921-313e-8f3a-b1791063d02f/the-number-that-could-test.html,finviz,0.0772
COST,Jun-15-26,05:04AM,Costcos dominance shows why its Pensacola debut matters,https://finance.yahoo.com/m/7240145f-237c-302a-b4eb-80eb4ac49dde/costco%E2%80%99s-dominance-shows-why.html,finviz,0.2263
COST,Jun-12-26,05:28PM,Beyond the Orange Apron: Home Depot Stock's Pro-Grade Opportunity,https://finance.yahoo.com/m/259d5e9e-ed53-37ec-b48c-a28fd3eee2e6/beyond-the-orange-apron%3A-home.html,finviz,0.4215
COST,Jun-12-26,06:00AM,Higher Costs for Plastics Used Everywhere Are Becoming Next Inflation Headache,https://finance.yahoo.com/economy/articles/higher-costs-plastics-used-everywhere-100000651.html,finviz,0.0
COST,Jun-11-26,06:03PM,How Casey's Broke The Old Rules Of Gas Pricing,https://finance.yahoo.com/m/ced815de-c433-37ef-8722-d43f9e3d2f94/how-casey%27s-broke-the-old.html,finviz,-0.4215
COST,Jun-11-26,04:09PM,What Could Go Wrong For Costco Wholesale Stock,https://finance.yahoo.com/m/67fef04e-f53b-30b1-9087-e62870a68354/what-could-go-wrong-for.html,finviz,-0.4767
COST,Jun-11-26,01:55PM,Costco says lawsuit over rotisserie chicken is 'fatally flawed',https://finance.yahoo.com/m/c226e416-9e1e-38c6-a5d6-110742340eb7/costco-says-lawsuit-over.html,finviz,-0.8481
COST,Jun-11-26,09:00AM,"DoorDash Built an AI Chatbot to Help With Orders, Reservations and Grocery Lists",https://finance.yahoo.com/sectors/technology/articles/doordash-built-ai-chatbot-help-130032911.html,finviz,0.4019
COST,Jun-09-26,11:15AM,Pensacola Costco to open as prices drop on Kirkland Signature items,https://finance.yahoo.com/m/fe5a55be-9ec6-3e1d-a605-361114448de7/pensacola-costco-to-open-as.html,finviz,-0.2732
COST,Jun-09-26,06:51AM,AI Bulls Are Back in the Driving Seat as Stock Market Sidelines Bubble Fears,https://www.barrons.com/articles/ai-stock-market-things-to-know-today-47d5a263?mod=bar_FV,finviz,-0.4215
COST,Jun-08-26,08:12PM,"Mama's Creations, Inc. Q1 2027 Earnings Call Summary",https://finance.yahoo.com/m/6bebf21c-1c1e-3cd9-9c74-aaaf6ffee271/mama%27s-creations%2C-inc.-q1.html,finviz,0.3818
COST,Jun-08-26,03:41PM,Costco's Lowered Prices Show Why Shoppers Keep Returning,https://www.barrons.com/articles/costcos-prices-shoppers-stock-fced1168?mod=bar_FV,finviz,-0.128
COST,Jun-08-26,08:01AM,"Costco is slashing prices on Kirkland Signature wings, sheets, and more",https://qz.com/costco-kirkland-signature-price-cuts-052826,finviz,-0.2732
COST,Jun-08-26,08:01AM,Costco cuts Kirkland Signature prices Q3 2026 earnings,https://finance.yahoo.com/m/299832e6-7269-37e9-86d9-928220ba9566/costco-cuts-kirkland.html,finviz,-0.296
COST,Jun-05-26,12:18PM,Make It Make Sense: How does Costco sell cheaper gas?,https://finance.yahoo.com/m/8bdcfe4a-9045-3ab0-ac88-abcc7d694419/make-it-make-sense%3A-how-does.html,finviz,0.0
COST,Jun-03-26,04:15PM,Costco Wholesale Corporation Reports May Sales Results,/news/359439/costco-wholesale-corporation-reports-may-sales-results,finviz,0.0
COST,Jun-03-26,02:54PM,"Less Gas, More DealsHeres How High Gas Prices Are Changing the Way Americans Spend",https://finance.yahoo.com/m/c647571b-0795-3784-813a-6b3b1a5fff7d/less-gas%2C-more-deals%E2%80%94here%E2%80%99s.html,finviz,0.0
COST,Jun-03-26,02:40PM,Consumer Stocks Have Fallen Behind. These Retail Names Still Stand Out.,https://www.barrons.com/articles/consumer-stocks-viking-tjx-ubs-favorites-048cffda?mod=bar_FV,finviz,-0.3612
COST,Jun-03-26,08:22AM,"Costco Delivers Strong Quarter, but Valuation Stays High",https://finance.yahoo.com/markets/stocks/articles/costco-delivers-strong-quarter-valuation-122223114.html,finviz,0.2846
COST,Jun-03-26,05:28AM,Costco fuel strategy delivers retail advantage,https://finance.yahoo.com/m/1a1171f9-93a5-3214-81fb-97b4ce23d949/costco-fuel-strategy-delivers.html,finviz,0.25
COST,Jun-03-26,01:00AM,Too Close for Comfort: How Over-Expansion Is Hurting Major Retailers,https://www.barrons.com/articles/dollar-general-target-walmart-retail-stores-overexpansion-c8af4c0c?mod=bar_FV,finviz,-0.0516
COST,Jun-02-26,12:02PM,Dollar General earnings beat: How high-income consumers factor in,https://finance.yahoo.com/video/dollar-general-earnings-beat-high-160203174.html,finviz,0.0
COST,Jun-01-26,04:08PM,"Costco's value strategy, membership growth support outlook after strong quarter, says Jefferies",https://finance.yahoo.com/m/d917d4b1-3235-3d38-a6a8-8d194a0d062f/costco%27s-value-strategy%2C.html,finviz,0.875
COST,Jun-01-26,03:24PM,Costco Stock Slumps-and It Looks Like a Buying Opportunity,https://www.barrons.com/articles/costco-stock-price-buy-f6999cc8?mod=bar_FV,finviz,0.6486
COST,Jun-01-26,01:54PM,Costco Shares Are Falling. It's Playing the Long Game.,https://www.barrons.com/articles/costco-stock-price-drop-f6999cc8?mod=bar_FV,finviz,0.34
COST,Jun-01-26,10:26AM,Costcos digital personalization effort drives $500M in digital sales,https://finance.yahoo.com/m/c8d2535a-db4c-300f-ab2d-a6395c364218/costco%E2%80%99s-digital.html,finviz,0.0
COST,Jun-01-26,09:00AM,Costco just broke gas station sales records  but a $65 membership might not save you as much as you think,https://finance.yahoo.com/sectors/energy/articles/costco-just-broke-gas-station-130000023.html,finviz,-0.6533
COST,Jun-01-26,07:20AM,Costco records strong results as it bulks up on protein sales,https://finance.yahoo.com/m/4802265b-61e0-3b87-a933-47a2aa1f24b7/costco-records-strong-results.html,finviz,0.5106
COST,May-31-26,08:00AM,Business equivalent of taking heroin: Why Costco refuses to raise prices even if no one will notice,https://finance.yahoo.com/markets/stocks/articles/business-equivalent-taking-heroin-why-120000693.html,finviz,-0.6597
COST,May-29-26,04:14PM,Bonds May Finally Be Ready to Give Stocks a Run for Their Money,https://www.barrons.com/articles/bonds-stock-market-selloff-de6bcc3f?mod=bar_FV,finviz,0.3612
COST,May-29-26,04:00PM,Costco says Americans are panic-buying one thing againand its not toilet paper,https://finance.yahoo.com/m/4a87a19e-bd2e-3150-873e-6ea84dee9a27/costco-says-americans-are.html,finviz,0.0
COST,May-29-26,02:49PM,More Drivers Are Joining the High Miles Club. This Stock Could Pull Ahead.,https://www.barrons.com/articles/autozone-stock-car-sales-0298e58a?mod=bar_FV,finviz,0.0
COST,May-29-26,02:41PM,Costco Sales Jump 9.8% As Tariff Refund Plan Takes Shape,https://finance.yahoo.com/economy/policy/articles/costco-sales-jump-9-8-184119912.html,finviz,0.0
COST,May-29-26,01:31PM,Costco says its gas stations set all-time volume records as consumers seek lower-priced fuel,https://finance.yahoo.com/m/5b917db5-1b41-3995-80a8-6af664b46d65/costco-says-its-gas-stations.html,finviz,0.0
COST,May-29-26,12:54PM,COST Stock Draws Price Target Hikes From Wall Street Post Earnings  A Look At What Keeps Analysts Happy And A Bit Worried,https://finance.yahoo.com/m/93f8b357-19da-3fae-80be-1bf4c4dfe202/cost-stock-draws-price-target.html,finviz,0.3612
COST,May-29-26,09:04AM,Costcos Premium Valuation Makes More Sense Than You Think,https://finance.yahoo.com/m/3245b4e9-aab4-3927-a1de-2bd4f04afd75/costco%E2%80%99s-premium-valuation.html,finviz,0.0
COST,May-29-26,08:19AM,Costco Targets $6.5B CapEx as Expansion Continues,https://finance.yahoo.com/markets/stocks/articles/costco-targets-6-5b-capex-121926070.html,finviz,0.0
COST,May-29-26,07:22AM,"Costco Q3 2026 earnings beat on record gas sales, e-commerce",https://finance.yahoo.com/m/fad6a905-3a7e-3323-9a2b-c98a2fdfa44d/costco-q3-2026-earnings-beat.html,finviz,0.0
COST,May-29-26,06:55AM,AI and Space Stocks Are Going Stellar. One Play Is a Safer Bet.,https://www.barrons.com/articles/ai-space-stocks-things-to-know-today-7914c1dc?mod=bar_FV,finviz,0.6369
COST,May-29-26,04:50AM,"Costco Wholesale Sees a Mixed Quarter, Misses Earnings Estimates",https://www.barrons.com/articles/costco-wholesale-earnings-stock-price-7e18eecf?mod=bar_FV,finviz,-0.2263
COST,May-29-26,04:48AM,Costco reports higher revenues and net income in Q3,https://finance.yahoo.com/m/2f5fec7b-1261-3469-b039-1f55e58a891e/costco-reports-higher.html,finviz,0.0
COST,May-29-26,02:01AM,COST Stock In Focus: Costcos Record Fuel Sales Have Wall Street Worried About Inflation Again,https://finance.yahoo.com/m/61d87d29-4416-331a-a19f-2fcd01b878c1/cost-stock-in-focus%3A-costco%E2%80%99s.html,finviz,-0.296
COST,May-29-26,01:01AM,Costco Wholesale Corp (COST) Q3 2026 Earnings Call Highlights: Strong Sales Growth and Digital ...,https://finance.yahoo.com/markets/stocks/articles/costco-wholesale-corp-cost-q3-050102696.html,finviz,0.7096
COST,May-28-26,07:49PM,COST Edges Marginally Higher After-Hours Following Earnings Beat  Jim Cramer Weighs In,https://finance.yahoo.com/m/7075e007-c7fd-3b5c-b166-c5a13eb53744/cost-edges-marginally-higher.html,finviz,0.0
COST,May-28-26,05:29PM,Costco sells 'record-breaking' amounts of gas as fuel costs soar amid US-Iran war,https://finance.yahoo.com/markets/stocks/article/costco-sells-record-breaking-amounts-of-gas-as-fuel-costs-soar-amid-us-iran-war-212955827.html,finviz,-0.5994
COST,May-28-26,05:07PM,Costco rides consumer spending surge to stellar Q3 earnings,https://finance.yahoo.com/markets/stocks/articles/costco-rides-consumer-spending-surge-210747519.html,finviz,0.0
COST,May-28-26,05:06PM,Higher gas prices are driving people to membership retailers - and Costco is the latest to benefit,https://www.marketwatch.com/story/higher-gas-prices-are-driving-people-to-membership-retailers-and-costco-is-the-latest-to-benefit-3566c533?mod=mw_FV,finviz,0.4588
COST,May-28-26,04:41PM,Costco reports strong sales growth in fiscal third quarter,https://finance.yahoo.com/m/dcbe3816-dd46-3c6d-a032-97200516ca96/costco-reports-strong-sales.html,finviz,0.7096
COST,May-28-26,04:35PM,"Costco Tops Sales Views But Earnings, Membership Numbers Fall Short",https://www.investors.com/news/costco-stock-earnings-q3-2026-retail-sales-consumer-spending-cost-stock?mod=IBD_FV,finviz,0.2846
COST,May-28-26,04:33PM,Costco Profit Rises as Value Offerings Draw Pressured Consumers,https://www.wsj.com/business/earnings/costco-profit-rises-as-value-offerings-draw-pressured-consumers-30fde86f?mod=wsj_FV,finviz,0.5267
COST,May-28-26,04:15PM,Costco Wholesale Corporation Reports Third Quarter and Year-To-Date Operating Results For Fiscal 2026,/news/357976/costco-wholesale-corporation-reports-third-quarter-and-year-to-date-operating-results-for-fiscal-2026,finviz,0.0
COST,May-28-26,11:29AM,"Costco CEO Ron Vachris says tech is elevating workers, not replacing themas IBM and Delta bosses make the same bet on humans",https://finance.yahoo.com/sectors/technology/articles/costco-ceo-says-ai-not-152952694.html,finviz,0.0
COST,May-28-26,10:36AM,"Which retail giant  Walmart, Costco, or Best Buy  is built to win 2026?",https://finance.yahoo.com/video/which-retail-giant--walmart-costco-or-best-buy--is-built-to-win-2026-143629881.html,finviz,0.8402
COST,May-28-26,08:50AM,"Invasive insects found in Costco plants could 'devastate' California's wine country, costing millions",https://finance.yahoo.com/sectors/energy/articles/invasive-insects-found-costco-plants-125000161.html,finviz,-0.6249
COST,May-28-26,05:35AM,Costco's aisles are more packed than ever  and 34-cent gas savings and 21% cheaper groceries explain why,https://finance.yahoo.com/economy/articles/costcos-aisles-more-packed-ever-093500540.html,finviz,0.0
COST,May-28-26,04:33AM,Dell earnings arrive following stock's surge,https://www.marketwatch.com/livecoverage/stock-market-today-dow-jones-s-p-500-nasdaq-oil-prices-iran-us-strikes-pce-inflation/card/dell-earnings-arrive-following-stock-s-surge-4hNgLqr8fdneEIEiUXzE?mod=mw_FV,finviz,0.0
COST,May-28-26,03:33AM,"Stock Market Today: Dow, S&P 500 and Nasdaq set to fall as oil rises after U.S. and Iran strike one another; PCE inflation on tap",https://www.marketwatch.com/livecoverage/stock-market-today-dow-jones-s-p-500-nasdaq-oil-prices-iran-us-strikes-pce-inflation?mod=mw_FV,finviz,-0.128
COST,May-27-26,07:00PM,"Costco earnings, April inflation data, Fedspeak: What to Watch",https://finance.yahoo.com/video/costco-earnings-april-inflation-data-230000733.html,finviz,0.0
COST,May-27-26,03:31PM,Forget the K-Shaped Recovery. Ed Yardeni Says It's Now a 'G' Thang.,https://www.barrons.com/articles/k-shaped-recovery-ed-yardeni-affordability-crisis-263c25c0?mod=bar_FV,finviz,-0.2263
COST,May-27-26,02:00PM,The next phase of the bull market,https://finance.yahoo.com/video/the-next-phase-of-the-bull-market-180000042.html,finviz,0.0
COST,May-27-26,01:25PM,Why Walmarts Post-Earnings Dip Is A Diversification Play,https://finance.yahoo.com/m/839fdbff-e600-38f0-b75d-3013c95ff1d5/why-walmart%E2%80%99s-post-earnings.html,finviz,0.34
COST,May-27-26,11:53AM,Costco Stock Pulls Back from Record Before Earnings,/news/357443/costco-stock-pulls-back-from-record-before-earnings,finviz,0.0
COST,May-27-26,08:37AM,Costco Faces High Bar Into Earnings,https://finance.yahoo.com/markets/stocks/articles/costco-faces-high-bar-earnings-123709671.html,finviz,0.0
COST,May-27-26,07:51AM,Earnings live updates: Zscaler stock plunges 31% on cautious guidance,https://finance.yahoo.com/markets/live/earnings-live-updates-zscaler-stock-plunges-31-on-cautious-guidance-115127526.html,finviz,-0.1027
