ticker,date,time,headline,url,source,sentiment
ISRG,Jun-04-26,06:00AM,Medtronic seeks clearance for Hugo surgical robot in more indications,https://finance.yahoo.com/m/5ab2422a-c8b6-3f15-9b4b-d5b79a27df0c/medtronic-seeks-clearance-for.html,finviz,0.0
ISRG,May-28-26,04:30PM,Intuitive Announces New Chief Commercial and Marketing Officer Taylor Patton,/news/357992/intuitive-announces-new-chief-commercial-and-marketing-officer-taylor-patton,finviz,0.0
ISRG,May-28-26,08:03AM,BSX Stock: Don't Try To Catch The Falling Knife,https://finance.yahoo.com/m/5e1f9104-9e91-3ed7-af1f-ebf45a833ab3/bsx-stock%3A-don%27t-try-to-catch.html,finviz,-0.1531
ISRG,May-21-26,09:15AM,Intuitive Announces Innovations to Advance Quintuple Aim,/news/356375/intuitive-announces-innovations-to-advance-quintuple-aim,finviz,0.0
ISRG,May-19-26,11:52AM,Is BSX Stock A Value Trap Or A Rebound Play?,https://finance.yahoo.com/m/df9784f5-611d-365e-bf2a-e17c4ebb3481/is-bsx-stock-a-value-trap-or.html,finviz,0.3612
ISRG,May-11-26,04:30PM,Intuitive Surgical Inc. stock underperforms Monday when compared to competitors,https://www.marketwatch.com/data-news/intuitive-surgical-inc-stock-underperforms-monday-when-compared-to-competitors-38f9aea9-e136983424e2?mod=mw_FV,finviz,0.0
ISRG,Apr-24-26,07:00AM,J&J lands CE mark for surgical stapler that works with Ottava robot,https://finance.yahoo.com/m/59f45082-b50a-3562-a405-de429f075d6c/j%26j-lands-ce-mark-for.html,finviz,0.0
ISRG,Apr-23-26,11:54AM,Why BSX Stock's Q1 Beat Is A Lagging Indicator,https://finance.yahoo.com/m/18ed9fdd-a0ed-32e0-8695-bb20caaa04f9/why-bsx-stock%27s-q1-beat-is-a.html,finviz,-0.2732
ISRG,Apr-22-26,01:13PM,Intuitive Surgical Jumps 7% on Earnings Beat and Raised Full-Year Outlook,https://finance.yahoo.com/markets/stocks/articles/intuitive-surgical-jumps-7-earnings-171327094.html,finviz,0.0
ISRG,Apr-22-26,12:47PM,Intuitive Surgical Q1 results top estimates as robotic surgery demand accelerates,https://finance.yahoo.com/m/4aa63a31-a84a-3394-9c34-7d377e958436/intuitive-surgical-q1-results.html,finviz,0.0772
ISRG,Apr-22-26,11:28AM,How ISRG Just Secured The U.S. Market,https://finance.yahoo.com/m/6098823d-3c03-3fc8-a020-13b181d9cfd8/how-isrg-just-secured-the.html,finviz,0.4019
ISRG,Apr-22-26,03:04AM,Intuitive Surgical Inc (ISRG) Q1 2026 Earnings Call Highlights: Robust Revenue Growth and ...,https://finance.yahoo.com/sectors/healthcare/articles/intuitive-surgical-inc-isrg-q1-070409934.html,finviz,0.6124
ISRG,Apr-21-26,05:14PM,Intuitive Surgical Earnings Show Big Beats Don't Always Spark Stock Rallies,https://www.barrons.com/articles/intuitive-surgical-earnings-stock-price-dd043033?mod=bar_FV,finviz,-0.1695
ISRG,Apr-21-26,04:38PM,Intuitive Announces First Quarter Earnings,/news/346419/intuitive-announces-first-quarter-earnings,finviz,0.0
ISRG,Apr-09-26,08:11PM,Can 13-15% Procedure Growth in 2026 Sustain ISRG's Premium Valuation?,https://qz.com/can-13-15-procedure-growth-in-2026-sustain-isrg-s-premium-valuation,finviz,0.3818
ISRG,Apr-08-26,09:31AM,Tired of AI and Oil? Buy the Robot.,https://finance.yahoo.com/m/0646b51b-c666-3863-9c97-f3d5c5ce0e7b/tired-of-ai-and-oil%3F-buy-the.html,finviz,-0.4404
ISRG,Apr-03-26,07:38AM,Restore Robotics cleared to remanufacture 2 more da Vinci Xi instruments,https://finance.yahoo.com/m/c9140bcd-5a7f-3cb7-a049-cf4904b4a6fd/restore-robotics-cleared-to.html,finviz,0.3818
ISRG,Mar-31-26,06:30AM,Can Boston Scientific Stock Surge 40% From Here?,https://finance.yahoo.com/m/f1fce0e3-3327-32ba-9d13-669956e8bcba/can-boston-scientific-stock.html,finviz,0.0
