ticker,date,time,headline,url,source,sentiment
META,Today,11:23AM,"Snaps new AR glasses need lower prices to reach consumers, analysts say",https://finance.yahoo.com/technology/articles/snap-ar-glasses-lower-prices-152320803.html,finviz,-0.2732
META,Today,10:33AM,SpaceX Shares Fall for First Time Since Blockbuster Debut,https://finance.yahoo.com/markets/stocks/articles/spacex-heads-toward-fourth-day-082223913.html,finviz,0.7269
META,Today,10:15AM,Is It Time to Sell Microsoft Stock? Why This Analyst Is Warning Investors to Exit.,https://www.barrons.com/articles/microsoft-stock-sell-warning-9646e0d8?mod=bar_FV,finviz,-0.34
META,Today,09:55AM,Wall Street ticks up ahead of first Fed policy decision under Warsh,https://finance.yahoo.com/markets/stocks/articles/p-nasdaq-futures-inch-ahead-102857417.html,finviz,0.0
META,Today,09:41AM,"Apple Investors Are Tired of AI Promises, Want Tangible Progress",https://finance.yahoo.com/technology/ai/articles/apple-investors-tired-ai-promises-112159204.html,finviz,0.4215
META,Today,09:29AM,AI startup Genspark valued at $2.6 billion in latest funding round,https://finance.yahoo.com/technology/ai/articles/genspark-ai-valued-2-6-132914723.html,finviz,0.4404
META,Today,08:55AM,SpaceX just obliterated Facebook's 14-year options record by more than 4X  1.6 million bets in a single day,https://finance.yahoo.com/markets/options/articles/spacex-just-obliterated-facebooks-14-125500042.html,finviz,-0.4767
META,Today,08:21AM,SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day,https://finance.yahoo.com/markets/article/spacexs-near-3-trillion-rally-comes-with-one-big-catch-chart-of-the-day-122114608.html,finviz,0.0
META,Today,08:09AM,What History Suggest About SpaceX's Explosive IPO Debut,/news/362321/what-history-suggest-about-spacexs-explosive-ipo-debut,finviz,0.0
META,Today,07:38AM,"OpenAIs Financials Leaked. Theyre Not Bad, but Theyre Not Great.",https://finance.yahoo.com/m/09d42d42-573e-3f60-a622-9695f37aa88e/openai%E2%80%99s-financials-leaked..html,finviz,-0.6329
META,Today,07:00AM,Nvidia Stock Braced for AI Funding Squeeze,https://www.barrons.com/articles/nvidia-stock-price-ai-chips-5af3e659?mod=bar_FV,finviz,0.0
META,Today,03:14AM,General Atlantic in Talks to Lead Round for Chinas Kling AI,https://finance.yahoo.com/technology/ai/articles/general-atlantic-talks-lead-funding-013911719.html,finviz,0.0
META,Today,02:30AM,"Social Media Has a Political Problem. This Time, It's Not Going Away.",https://www.barrons.com/articles/instagram-under-16-social-media-ban-7e0f8e15?mod=bar_FV,finviz,-0.4019
META,Today,01:00AM,Looking to Ride SpaceX Stock Higher? Consider Using Options.,https://www.barrons.com/articles/spacex-stock-higher-options-245a8237?mod=bar_FV,finviz,0.0
META,Jun-16-26,10:08PM,"SNAP Stock Rebounds Overnight: CEO Defends Premium Specs Against META's Cheaper Glasses, But Analyst Sees A Tough Sell",https://finance.yahoo.com/m/ed83c9dc-1ad4-3211-bfde-410a70353ac7/snap-stock-rebounds.html,finviz,-0.1901
META,Jun-16-26,08:01PM,Meta CTO Flags Employee Morale Concerns After Recent Layoffs: Report,https://finance.yahoo.com/m/98eee02e-7604-3a59-9c06-d7e3303ac4ed/meta-cto-flags-employee.html,finviz,0.0
META,Jun-16-26,08:00PM,The Smartest Way to Play the AI Boom in 2026,https://finance.yahoo.com/technology/ai/articles/smartest-way-play-ai-boom-000000659.html,finviz,0.7506
