ticker,date,time,headline,url,source,sentiment
WMT,Today,11:29AM,"LGBTQ consumers cut spending at Target, Walmart, Amazon over DEI",https://finance.yahoo.com/m/7abea1ee-dad6-38eb-aa5b-1e593b237b47/lgbtq-consumers-cut-spending.html,finviz,-0.1027
WMT,Today,09:35AM,US Retail Sales Rise in Broad Gain Despite Higher Gas Prices,https://finance.yahoo.com/economy/articles/us-retail-sales-rise-broad-133510195.html,finviz,0.5267
WMT,Today,06:00AM,AI vs. inflation: why Wall Street is ignoring soaring rates,https://finance.yahoo.com/video/ai-vs-inflation-why-wall-100000624.html,finviz,-0.4019
WMT,Jun-16-26,04:57PM,Analysts' Top S&P 500 Stocks to Buy Now,https://finance.yahoo.com/m/e9c76bf1-e609-37c2-a180-ded6380a141c/analysts%27-top-s%26p-500-stocks.html,finviz,0.2023
WMT,Jun-16-26,10:37AM,Oil and US gas prices retreat on US-Iran ceasefire,https://finance.yahoo.com/video/oil-and-us-gas-prices-retreat-on-us-iran-ceasefire-143704940.html,finviz,0.2023
WMT,Jun-16-26,10:17AM,Instacart Leads on Price Cuts as Grocery Delivery Competition Heats Up,https://finance.yahoo.com/markets/stocks/articles/instacart-leads-price-cuts-grocery-141712006.html,finviz,-0.296
WMT,Jun-16-26,08:00AM,"The Fox-Roku Combo: Regulatory, OS, FAST Issues",https://finance.yahoo.com/m/bc195f6e-5a0e-3c61-8b02-098c8cc66ad8/the-fox-roku-combo%3A.html,finviz,0.0
WMT,Jun-16-26,12:01AM,"Heritage Brands Are Driving Walmarts Online Beauty Business, Data Shows",https://finance.yahoo.com/m/d91fd0f9-054b-34cf-b551-9bb42199c3bb/heritage-brands-are-driving.html,finviz,0.5859
WMT,Jun-15-26,04:00PM,The Number That Could Test Walmart Stock,https://finance.yahoo.com/m/10481c6a-2921-313e-8f3a-b1791063d02f/the-number-that-could-test.html,finviz,0.0772
WMT,Jun-15-26,03:15PM,Are You Pricing Amazon Stock For The Past Or The Future?,https://finance.yahoo.com/m/f714765c-5968-33be-92af-ba395f0a8abe/are-you-pricing-amazon-stock.html,finviz,0.1779
WMT,Jun-15-26,11:27AM,Payoneer to be acquired by Nuvei in $2.75B all-cash deal,https://finance.yahoo.com/m/24bf5832-a4fc-310b-b034-9822f7d50558/payoneer-to-be-acquired-by.html,finviz,0.0
WMT,Jun-15-26,08:01AM,Canada's Nuvei to buy Payoneer for $2.75 billion in cross-border payments push,https://finance.yahoo.com/markets/stocks/articles/canadas-nuvei-buy-payoneer-2-120127235.html,finviz,0.0
WMT,Jun-14-26,05:04PM,How agentic is AI shopping today,https://finance.yahoo.com/m/1ea3bde5-29d2-3910-9f56-a7f3f09e45b3/how-%E2%80%98agentic%E2%80%99-is-ai-shopping.html,finviz,0.0
