Date,Open,High,Low,Close,Volume
2019-01-02,36.7514992266,37.6911075741,36.5948978354,37.4704419773,148158948
2019-01-03,34.1628307744,34.5756889877,33.6930266007,33.7381088194,365248780
2019-01-04,34.2933319338,35.2471767714,34.1201213041,35.1783670692,234428280
2019-01-07,35.2827679966,35.3136137252,34.618398458,35.1000663735,219111056
2019-01-08,35.4868243549,36.0230654825,35.2400585263,35.7691814088,164101256
2019-01-09,35.8973098199,36.666080286,35.5034335934,36.376604987,180396324
2019-01-10,36.1844123705,36.5332063782,35.7952816407,36.4928696563,143122680
2019-01-11,36.2745768079,36.4691421727,35.9495102836,36.1345846551,108092964
2019-01-14,35.7929088924,35.8925643232,35.406150911,35.5912252824,129756744
2019-01-15,35.6552894879,36.3955869738,35.6030890242,36.3196590265,114841296
2019-01-16,36.3220317749,36.9864013135,36.3030497881,36.7633629684,122278824
2019-01-17,36.5877795903,37.4087505202,36.3647412452,36.9816558168,119284640
2019-01-18,37.3707865466,37.4609509839,37.010128797,37.2094396586,135004092
2019-01-22,37.1121569762,37.1880849234,36.2128853507,36.3742322386,121575880
2019-01-23,36.5759158486,36.8108179354,35.9945925023,36.5213426365,92522280
2019-01-24,36.5664248552,36.6542165442,36.0040834957,36.2318673375,101766196
2019-01-25,36.8914913794,37.5202696927,36.6162525706,37.4324780037,134191572
2019-01-28,36.9650465783,37.0931749893,36.4596511793,37.0860567443,104768232
2019-01-29,37.0741930025,37.5202696927,36.5664248552,36.7016715112,166348956
2019-01-30,38.735116849,39.4232138712,38.0185468467,39.2096665195,244439120
2019-01-31,39.4137228778,40.0994471515,39.0459468832,39.4920235734,162958596
2019-02-01,39.6154064877,40.0947016548,39.3710134074,39.5110055602,130672552
2019-02-04,39.7221801635,40.7305982132,39.691334435,40.6333155308,125982328
2019-02-05,41.0153280155,41.5420781497,40.8943178495,41.328530798,144406512
2019-02-06,41.4400499705,41.6583428189,41.0129552671,41.3427672881,112958364
2019-02-07,40.9061815913,41.2715848375,40.4173954307,40.5597603319,126966760
2019-02-08,40.2688416957,40.6667881164,40.1330156719,40.6072152989,95279864
2019-02-11,40.7597217116,40.7978483148,40.3307974258,40.3736898544,83973700
2019-02-12,40.5333450052,40.7478071481,40.4380284973,40.7215951084,89134092
2019-02-13,40.8407407434,41.1004782275,40.4904525767,40.5524083068,89960932
2019-02-14,40.44041141,40.8097628783,40.3617752909,40.7001488942,87342988
2019-02-15,40.8073799656,40.914611037,40.4499430608,40.6095982116,98507256
2019-02-19,40.44041141,40.8526553069,40.3879873306,40.7311267592,75891304
2019-02-20,40.7930824894,41.3006428942,40.7454242354,40.9932471561,104457448
2019-02-21,40.938440164,41.0742661878,40.5810032592,40.7621046243,68998680
2019-02-22,40.8860160847,41.2243896879,40.8383578307,41.2172409498,75652616
2019-02-25,41.5008075609,41.9082856324,41.4507663942,41.5174879498,87493432
2019-02-26,41.3935764895,41.7724596086,41.2648992037,41.5413170768,68280844
2019-02-27,41.2744308545,41.7009722276,41.160051045,41.6699943625,111341556
2019-02-28,41.5389341641,41.6795260133,41.2053263863,41.2601333783,112861664
2019-03-01,41.5294025133,41.7367159181,41.1981776482,41.6938234895,103544668
2019-03-04,41.8653932038,42.3562732198,41.4555322196,41.903519807,109744812
2019-03-05,41.9249660213,41.9392634975,41.5913582435,41.8272666006,78949676
2019-03-06,41.6223361086,41.8177349499,41.4483834815,41.5865924181,83241536
2019-03-07,41.4317030927,41.5675291165,40.9908642434,41.1052440529,99185496
2019-03-08,40.5857690846,41.2410700768,40.3903702433,41.2029434736,95997432
2019-03-11,41.8177349499,42.6827322595,41.7843741721,42.6303081801,128044136
2019-03-12,42.892428577,43.5286662675,42.742305077,43.1092736326,129870336
2019-03-13,43.4285839342,43.6787897676,43.1116565453,43.2999066485,124130096
2019-03-14,43.8217645295,43.8694227834,43.5024542278,43.7812550136,94318032
2019-03-15,44.0481412359,44.6391035851,43.7836379263,44.3507711486,156171648
2019-03-18,44.2745179422,44.8916923312,44.2721350295,44.8035245613,104879328
2019-03-19,44.8821606804,45.0346670931,44.3031128946,44.4484705692,126585476
2019-03-20,44.3769831883,45.1538127281,44.0195462835,44.8368853391,124140924
2019-03-21,45.2801071011,46.783725014,45.2300659344,46.4882438393,204136948
2019-03-22,46.5478166568,47.107801141,45.4612084662,45.5255471091,169630664
2019-03-25,45.6351610932,45.74715799,44.4651509581,44.9750942757,175381172
2019-03-26,45.6709047837,45.9616201329,43.983802593,44.5104262994,199202152
2019-03-27,44.9774771884,45.2181513709,44.4532363946,44.9107556328,119393708
2019-03-28,45.0251354423,45.170493117,44.6867618391,44.9703284503,83121452
2019-03-29,45.2348317598,45.2944045773,44.9274360217,45.2634267122,94255844
2019-04-01,45.6661389583,45.6756706091,44.8893094185,45.5708224503,111447856
2019-04-02,45.5350787599,46.3381203393,45.5255471091,46.2332721806,91062928
2019-04-03,46.0497879028,46.8242345299,46.0259587758,46.5501995695,93087320
2019-04-04,46.4167564584,46.7932566648,46.0235758631,46.6312186013,76457100
2019-04-05,46.8123199664,46.9672092918,46.688408506,46.9433801648,74106576
2019-04-08,46.8051712283,47.7130609665,46.7861079267,47.6820831014,103526788
2019-04-09,47.7345071808,48.3373840936,47.4747696966,47.5391083395,143072948
2019-04-10,47.3437094982,47.8345895141,47.2245638632,47.8059945617,86781152
2019-04-11,47.8608015538,47.8965452443,47.2865195934,47.408048141,83603232
2019-04-12,47.4676209585,47.6916147522,46.7551300616,47.3889848395,111042672
2019-04-15,47.3198803712,47.6225102839,47.1840543474,47.4747696966,70146584
2019-04-16,47.5295766887,47.9847130141,47.3151145458,47.479535522,102785540
2019-04-17,47.5486399903,48.4636784666,47.3270291093,48.4041056491,115627120
2019-04-18,48.4017227364,48.6471627444,48.2587479745,48.5780582761,96783064
2019-04-22,48.3326182682,48.8354128476,48.2158555459,48.7377134269,77758180
2019-04-23,48.7138842999,49.5050113159,48.5875899269,49.4406726731,93291964
2019-04-24,49.4120777207,49.6789639429,49.338207427,49.3644194667,70162436
2019-04-25,49.2857833476,49.5073942286,48.8783052762,48.9164318793,74172824
2019-04-26,48.8258811968,48.8497103238,48.1634314665,48.6829064349,74596408
2019-04-29,48.7067355619,49.0808528556,48.5780582761,48.7567767285,88818864
2019-04-30,48.3874252602,48.468444292,47.4461747442,47.8179091252,186139692
2019-05-01,50.0125717208,51.3064933162,49.8576823953,50.1650781335,259309312
2019-05-02,50.00304007,50.6726385383,49.5955619985,49.8386190937,127985296
2019-05-03,50.2532459033,50.4796226097,50.0959736652,50.4581763954,83569512
2019-05-06,48.6805235222,49.7647488001,48.492273419,49.6789639429,129772452
2019-05-07,49.0594066413,49.4263751969,47.8560357284,48.3397670062,155054792
2019-05-08,48.1110073872,48.9307293555,48.0752636967,48.349298657,105358016
2019-05-09,47.7535704824,48.0585833078,46.862361133,47.8298236887,139634428
2019-05-10,47.227170106,47.5692572971,46.1147886807,47.1697568712,164834848
2019-05-13,44.9043263124,45.3277489195,43.7417083066,44.4282749068,229722492
2019-05-14,44.593337957,45.3803777181,44.3541161451,45.1315870338,146118708
2019-05-15,44.5598469033,45.8707824325,44.5000414503,45.6722283287,106178872
2019-05-16,45.4306142986,46.0430221371,45.1746469599,45.4712820067,132125456
2019-05-17,44.7177332992,45.6674438924,44.6770655911,45.2129224498,131516360
2019-05-20,43.9019869206,44.1005410245,43.12690825,43.7991215415,154449160
2019-05-21,44.3086640008,44.9737006379,44.1842686586,44.6387901012,113459392
2019-05-22,44.1746997861,44.4258826886,43.669941763,43.7249627798,118994224
2019-05-23,43.0120817803,43.1891059211,42.5360303746,42.9785907266,146118944
2019-05-24,43.1077705051,43.5718608201,42.7298000422,42.8135276764,94858744
2019-05-28,42.8015665858,43.2010670117,42.5599525558,42.6365035356,111792640
2019-05-29,42.2035120561,42.9044319649,42.1030388951,42.4331649955,113924660
2019-05-30,42.5695214283,42.8757253475,42.263317509,42.6532490624,84873648
2019-05-31,42.1580599118,42.5790903007,41.861424865,41.88056261,108174336
2019-06-03,42.0073501703,42.5623447739,40.7322979128,41.4571400029,161584276
2019-06-04,41.9690746804,43.0192584346,41.7489906134,42.9738062904,123871844
2019-06-05,44.0837954976,44.2536429841,43.3326390082,43.6675495449,119093708
2019-06-06,43.7967293233,44.3684694538,43.5742530383,44.3086640008,90105244
2019-06-07,44.6172601382,45.9114501406,44.4402359974,45.4880275335,122737572
2019-06-10,45.8851357413,46.7367653916,45.839683597,46.0693365364,104883404
2019-06-11,46.6147622676,46.8874751331,46.3133427846,46.602801177,107731528
2019-06-12,46.3970704187,46.8802984788,46.2631062041,46.4544836536,73012756
2019-06-13,46.5764867777,47.0764603645,46.3133427846,46.4449147811,86698500
2019-06-14,45.8229380702,46.3109505664,45.5239108053,46.1076120263,75045896
2019-06-17,46.1458875162,46.6386844488,45.9712555935,46.38271711,58676576
2019-06-18,46.8994362237,47.9137367062,46.6984899017,47.4735685723,106204016
2019-06-19,47.7678114009,47.8156557633,47.2008557067,47.3348199214,84496940
2019-06-20,47.9328744511,47.990287686,47.3730954113,47.7151826023,86055952
2019-06-21,47.5572962065,48.0477009209,47.4018020287,47.5525117702,191202356
2019-06-24,47.4950985354,47.8826378707,47.406586465,47.5046674078,72881684
2019-06-25,47.4687841361,47.6673382399,46.7176276467,46.784609754,84281336
2019-06-26,47.3108977402,48.0811919745,47.2104245792,47.7965180184,104270048
2019-06-27,47.9137367062,48.2199406254,47.7414970016,47.7821647097,83598868
2019-06-28,47.528589589,47.7247514748,47.1386580356,47.346781012,124442568
2019-07-01,48.6026955245,48.9184683162,47.9998565585,48.2151561892,109266956
2019-07-02,48.1816651355,48.593126652,48.1697040449,48.4974379272,67740868
2019-07-03,48.6290099238,48.9065072256,48.4878690548,48.8993305712,45448180
2019-07-05,48.6457554506,49.0596091852,48.5381056353,48.8562706451,69062072
2019-07-08,48.0381320484,48.1792729174,47.4639996998,47.849146817,101354512
2019-07-09,47.6529849312,48.2055873167,47.5596884246,48.1409974275,82312060
2019-07-10,48.2869227328,48.7366597391,48.2175484073,48.6170488332,71588552
2019-07-11,48.6361865781,48.894546135,48.2534316791,48.2630005516,80767368
2019-07-12,48.4304558199,48.8012496284,48.3706503669,48.63379436,70380848
2019-07-15,48.8227795914,49.2485944166,48.8012496284,49.0907080208,67789680
2019-07-16,48.9423904974,49.3060076515,48.6816387224,48.9208605343,67467264
2019-07-17,48.813210719,49.0620014033,48.6266177057,48.6457554506,56429800
2019-07-18,48.8012496284,49.2509866347,48.7294830848,49.1983578361,74328644
2019-07-19,49.2294566717,49.3993041581,48.4089258568,48.4639468736,83717228
2019-07-22,48.7175219942,49.5739360808,48.7079531217,49.5715438627,89111728
2019-07-23,49.8681789095,49.9758287248,49.5882893895,49.959083198,73420840
2019-07-24,49.679193678,50.0332419597,49.5595827721,49.91841549,59966268
2019-07-25,49.9710442886,50.0547719227,49.4543251749,49.5236995003,55638140
2019-07-26,49.6337415338,50.1719906106,49.5524061177,49.6959392049,70475496
2019-07-29,49.8681789095,50.3896824594,49.8633944732,50.16002952,86693556
2019-07-30,49.939945453,50.2748559897,49.5930738258,49.9447298893,135742872
2019-07-31,51.7723845322,52.9565325011,50.5475688553,50.963814808,277125444
2019-08-01,51.1695455662,52.1575316494,49.456717393,49.8610022551,216071688
2019-08-02,49.1672590006,49.3825586313,48.2342939341,48.8060340646,163448488
2019-08-05,47.3635265388,47.5214129347,46.0693365364,46.2511451135,209571876
2019-08-06,46.9616338948,47.3826642838,46.4186003818,47.126696945,143299148
2019-08-07,46.7463342641,47.7391047835,46.3659715832,47.6147094413,133457600
2019-08-08,47.8922067431,48.6888153768,47.6984370755,48.6648931956,108038092
2019-08-09,48.3398356363,48.6904375242,47.8571576948,48.2653927697,98478984
2019-08-12,47.936403327,48.5199393458,47.8235383357,48.1429222472,89927556
2019-08-13,48.2725969181,50.9429345846,48.1429222472,50.181696239,190159144
2019-08-14,48.7864928359,49.5741463922,48.6496140167,48.6880361414,146189772
2019-08-15,48.8585343197,49.2619666291,47.9484102409,48.4454964792,111533452
2019-08-16,49.0554477088,49.7470459534,48.9497868659,49.588554689,115254496
2019-08-19,50.5779244,51.0846161694,50.4362428152,50.5130870646,97727660
2019-08-20,50.6403603526,51.2335019027,50.5058829162,50.5154884474,107678116
2019-08-21,51.1470521221,51.3055433865,50.8132599138,51.0630037243,86258988
2019-08-22,51.195079778,51.4952526272,50.6091423763,51.019778834,89071276
2019-08-23,50.2921598475,50.9213221395,48.2677941525,48.6616209306,187531372
2019-08-26,49.4348661902,49.7542501018,49.2427555667,49.5861533062,104264520
2019-08-27,49.9151427489,50.0808381617,48.8753439993,49.0266311153,103589376
2019-08-28,49.0122228185,49.4012468311,48.8249149606,49.355620558,63830528
2019-08-29,50.0688312477,50.2657446368,49.6269768137,50.1913017702,84030608
2019-08-30,50.4674607915,50.5371008925,49.7566514846,50.1264644348,84650244
2019-09-03,49.5717450094,49.7038210631,49.041039412,49.3964440655,80238296
2019-09-04,50.042416037,50.3041667615,49.7854680781,50.2345266605,76867280
2019-09-05,50.9093152255,51.3823876359,50.7916474686,51.2166922231,95787936
2019-09-06,51.4015986982,51.4904498616,51.031785748,51.2118894575,77449176
2019-09-09,51.5913079389,51.9755291859,50.6859866257,51.4304152917,109237604
2019-09-10,51.3559724251,52.0571762009,50.8396751245,52.0379651385,127111724
2019-09-11,52.3669545813,53.7213344769,52.2853075663,53.6925178834,177158584
2019-09-12,53.9830852014,54.372109214,53.5172169394,53.5724487437,128906676
2019-09-13,52.8304214604,53.0201307011,52.1148093879,52.5302486112,159053184
2019-09-16,52.2853075663,52.8616394368,52.2444840588,52.8064076325,84632564
2019-09-17,52.8208159293,53.0273348495,52.6190997746,52.998518256,73545872
2019-09-18,53.0849680366,53.5148155566,52.695944024,53.4956044943,102572372
2019-09-19,53.313099402,53.7333413909,52.9192726238,53.0609542086,88751504
2019-09-20,53.161812286,53.4451754556,52.2228716136,52.2853075663,231908376
2019-09-23,52.5782762671,52.7919993357,52.2660965039,52.5230444628,77678592
2019-09-24,53.0777638882,53.4283657761,52.1556328954,52.2733006523,125737468
2019-09-25,52.4822209554,53.1906288795,52.1436259815,53.0777638882,89924024
2019-09-26,52.8304214604,53.056151443,52.5494596736,52.8040062497,76353248
2019-09-27,52.9600961313,53.0609542086,52.1772453406,52.5470582908,101445140
2019-09-30,53.0465459119,53.9302547799,53.0201307011,53.7837704295,105274332
