Date,Open,High,Low,Close,Volume
2019-01-02,320.3922886002,324.4371707422,319.4135609919,322.9966993546,926981
2019-01-03,319.3555008795,320.6162347479,312.9274170112,313.5080181348,781082
2019-01-04,319.4716211042,325.9079992743,316.8340331428,324.9873317783,647807
2019-01-07,324.257433223,330.2625077012,322.9966993546,325.8914106708,714596
2019-01-08,329.9141470271,332.4770862727,326.4637174926,330.0385615536,642949
2019-01-09,331.3573555343,334.3847756787,327.8737487928,331.9296623561,640547
2019-01-10,331.0421720672,332.535146385,327.8073943786,331.3573555343,487124
2019-01-11,327.6332140416,331.4651814573,323.2040568988,330.0385615536,706493
2019-01-14,325.8582334637,331.7305991138,324.398436353,328.8027105905,919688
2019-01-15,328.9105365135,332.7010324203,326.2978314573,332.3609660479,846997
2019-01-16,333.5055796916,349.8785313768,332.9581557751,342.5878401249,1331488
2019-01-17,340.8958025647,345.8226178134,334.8326679741,342.1565364331,917150
2019-01-18,345.9387380382,348.8251550526,343.044026722,347.9044875566,1031832
2019-01-22,345.3830198199,347.6971300125,340.9704512806,343.0523210237,905609
2019-01-23,342.5795458231,343.856868295,334.8907280864,338.8056385198,660154
2019-01-24,338.3328633191,341.169514523,333.2650449404,337.2131325808,838386
2019-01-25,341.0782772035,343.4421532067,339.3613567381,340.0249008793,572987
2019-01-28,336.6242371554,338.3079804138,333.7627030463,336.2178163689,640436
2019-01-29,341.310517653,341.7252327413,336.9891864331,338.0923285679,602780
2019-01-30,339.4028282469,340.8460367541,333.2816335439,338.6812239933,869856
2019-01-31,336.9311263208,345.0097762404,336.9311263208,344.2798776851,750070
2019-02-01,346.2373329017,346.3534531264,341.8247643624,345.7147918905,585852
2019-02-04,345.4576685358,347.3155921312,342.6956660478,346.6852251971,534750
2019-02-05,346.8013454218,347.6473642019,343.4255646032,346.3368645229,523368
2019-02-06,347.0667630783,349.0076296914,344.2715833833,345.3664312163,424661
2019-02-07,343.6743936562,346.6022821794,340.0746666899,344.2218175727,469360
2019-02-08,341.8496472677,343.4255646032,336.8564776049,341.5261694989,567035
2019-02-11,343.1767355502,344.105697348,340.8958025647,342.3058338648,595642
2019-02-12,345.200545181,353.1298976689,344.5701782468,352.9308344265,617426
2019-02-13,353.9178563366,359.7653390814,353.4201982307,354.5399289691,803494
2019-02-14,352.0184612323,352.7317711842,346.6603422918,351.1641481505,542539
2019-02-15,352.66541677,358.8363772836,352.66541677,358.2723647636,600252
2019-02-19,355.3527705421,359.1432664489,355.1371186962,357.5424662082,438014
2019-02-20,358.1313616335,362.8674079417,356.4642069787,362.643461794,563283
2019-02-21,362.1292150845,362.9503509593,359.0188519225,360.8187154056,451887
2019-02-22,361.2334304939,362.4195156463,359.5165100284,362.2287467057,400264
2019-02-25,364.3520879577,368.9305425323,363.3235945388,364.0617873959,516304
2019-02-26,363.0167053735,367.4458625163,361.3744336239,365.3888756784,472041
2019-02-27,365.0902808149,368.8475995147,364.0203158871,366.6164323397,461092
2019-02-28,366.6164323397,368.8641881182,365.2727554537,367.6200428534,512124
2019-03-01,371.2197698196,374.8360853894,366.6910810556,368.0762294505,657238
2019-03-04,369.8346214248,370.7552889207,360.0224624361,362.7346991134,686154
2019-03-05,362.9281217243,364.1483291111,360.3372704236,361.4822595468,433502
2019-03-06,361.4822595468,362.7191821033,358.8663354916,359.2591419791,272773
2019-03-07,363.0869158363,363.5382254177,351.4698729072,353.6846328901,467435
2019-03-08,351.4949456617,352.5981468608,348.6867971551,352.11340694,587066
2019-03-11,354.3699548471,358.8663354916,353.4589780994,357.7882070471,593087
2019-03-12,359.0669175278,360.2286218207,356.7685816965,357.5709098412,504680
2019-03-13,359.6519484666,362.2177270128,356.4509934725,360.9139437776,606702
2019-03-14,363.9393894901,363.9393894901,360.3038400842,362.4099514642,501687
2019-03-15,362.577103161,366.7475379967,361.8274278008,362.3430907855,1756866
2019-03-18,364.3906990715,368.360551871,364.3405535625,368.1348970803,550707
2019-03-19,369.8649171424,370.5418815146,362.4266666339,363.1955644393,948487
2019-03-20,362.8863338001,363.3042130422,357.3368974657,359.3092874881,881646
2019-03-21,358.1977287043,362.4684545581,354.528748959,359.6770212212,472425
2019-03-22,356.4593510573,358.0640073468,346.9484195082,348.8121609277,585339
2019-03-25,349.3470463576,350.6006840837,345.4189814823,347.1824318837,411020
2019-03-26,351.4949456617,353.7849239082,350.1326593326,353.2500384784,494947
2019-03-27,354.0272938686,355.6403077429,349.1046763972,350.7176902715,425001
2019-03-28,352.1886252035,355.7322411762,351.2107877771,355.1722829918,342714
2019-03-29,359.1337782065,361.0476651351,356.1919083424,357.1781033537,455908
2019-04-01,360.7050041566,367.4328599537,358.8746930764,366.3881618486,498932
2019-04-02,366.3881618486,367.8173088564,363.947747075,364.7667903894,423113
2019-04-03,367.0818413904,370.0738567635,365.4855426857,366.9564776177,337841
2019-04-04,367.0400534662,369.9902809151,366.8311138451,369.2715286187,375170
2019-04-05,370.3830874026,373.4419634544,368.2435456833,371.9961012769,458386
2019-04-08,371.5280765258,374.1523581659,370.3245843087,372.8652901004,398399
2019-04-09,372.255186407,372.6981384036,366.4968104515,367.574938896,460873
2019-04-10,369.0709465825,370.1908629512,367.0400534662,370.0404264241,402895
2019-04-11,371.9125254285,375.0466197439,370.1323598574,372.8402173459,412742
2019-04-12,374.9964742349,382.2174275376,374.9964742349,379.7268672549,628678
2019-04-15,381.406741808,382.0252030862,375.8990933977,377.6458286295,591033
2019-04-16,378.6821691498,390.2072786457,378.5985933014,389.9147631762,1030704
2019-04-17,390.2824969092,391.7868621806,386.4714382217,390.7087337361,628250
2019-04-18,391.7868621806,392.2799596862,389.2043684647,389.2043684647,530369
2019-04-22,387.5829970056,389.1792957102,386.245783431,387.8086517963,432873
2019-04-23,387.7919366266,396.1745942222,387.7083607782,396.1745942222,687385
2019-04-24,396.1745942222,403.1448199797,394.9878171748,401.3061513146,1008544
2019-04-25,399.4006219709,401.5652364447,394.9878171748,396.5256127855,598714
2019-04-26,397.077213385,400.7127627909,394.3543122438,400.3115987185,469042
2019-04-29,401.1640723723,402.4845707772,400.0023680794,401.0303510149,366911
2019-04-30,400.9467751665,406.0532595044,399.1331792559,405.5434468291,567635
2019-05-01,406.8806604036,407.3904730789,400.0859439278,400.4369624912,488613
2019-05-02,400.7545507151,401.3061513146,394.0350525029,398.1636994144,436131
2019-05-03,398.2472752628,403.5877719762,398.1636994144,403.2534685826,403293
2019-05-06,395.2469023048,400.0107256643,392.6978389283,398.130269075,434380
2019-05-07,395.8235756589,396.0910183738,383.6632897151,387.5997121752,709484
2019-05-08,386.2708561855,392.3551779498,384.1313144662,389.0205015982,454830
2019-05-09,383.3874894153,388.1763855293,379.568073143,387.9758034931,435546
2019-05-10,385.9950558858,389.1625805405,378.8075329224,386.9561781425,484262
2019-05-13,378.6988843195,379.7602975943,367.8925271199,370.0571415938,703857
2019-05-14,371.3776399987,376.9772218422,371.3776399987,372.6312777248,426794
2019-05-15,368.9790131493,373.0742297214,367.257350672,371.3776399987,424222
2019-05-16,373.1745207395,376.6596336183,372.5560594613,373.7846244329,449091
2019-05-17,369.2631710339,373.884915451,367.9343150442,369.0375162432,496878
2019-05-20,367.3994296143,367.9677453835,363.1203461757,366.1374343033,465677
2019-05-21,368.4190549649,371.3442096593,367.8925271199,369.1210920916,306992
2019-05-22,367.8674543654,369.4721106549,364.7082872955,367.0149807116,331006
2019-05-23,363.4379343996,363.4379343996,358.6239655312,362.6272486701,577553
2019-05-24,365.2264575556,366.2544404911,363.3877888906,364.1901170353,277330
2019-05-28,364.5327780138,364.9757300104,358.7994748128,358.7994748128,462829
2019-05-29,356.3590600392,358.0807225165,353.216608139,357.6461281048,390709
2019-05-30,358.105795271,360.6130707234,354.2028031502,356.5262117361,412411
2019-05-31,351.6453821889,351.6453821889,346.8564860749,347.3077956563,534635
2019-06-03,347.433159429,352.5897892759,346.9985650172,350.9349874774,581372
2019-06-04,362.2219058053,363.3877888906,353.6512025507,363.1621340999,558448
2019-06-05,365.1647642163,370.915987155,360.2387533537,368.9455828099,605831
2019-06-06,369.0718907808,371.8590866705,367.345681846,369.8550001999,675288
2019-06-07,370.4949605855,374.2105200609,369.2669102877,373.9642195178,503954
2019-06-10,376.3135477753,378.081859367,373.4253055089,373.7116035761,525014
2019-06-11,377.3071704792,377.5261042953,370.4275963344,373.1305869103,536789
2019-06-12,373.4000439147,377.2061241026,371.3959574441,375.766213235,430122
2019-06-13,376.2798656498,378.4186806226,375.2946634772,377.475581107,325862
2019-06-14,378.1997468065,378.1997468065,374.40208715,376.372491495,343538
2019-06-17,376.1198755534,377.0713956003,370.1749803927,370.6044274936,346387
2019-06-18,373.298997538,384.0688571846,372.5243086503,378.3428958401,535435
2019-06-19,379.9343762726,384.1614830299,378.3176342459,383.0920755435,544286
2019-06-20,384.3972579088,393.1082976307,384.3972579088,392.04310041,729137
2019-06-21,391.6557559661,397.6006511268,390.4768815717,394.2829617595,1056899
2019-06-24,393.9714020981,396.5396641717,388.6075236033,390.2074245672,397571
2019-06-25,389.8958649058,389.9042854372,383.9678108079,385.9634767471,454082
2019-06-26,387.4707518658,388.5822620091,383.5299431757,388.1528149083,434348
2019-06-27,389.4327356794,393.3146006498,388.4980566952,391.1168419572,352878
2019-06-28,394.5524187639,397.7522206918,392.0683620042,395.1755380867,634256
2019-07-01,399.8741946018,401.7772346957,394.8892400195,398.2321909809,471628
2019-07-02,398.2658731065,398.3753400146,393.8029914703,395.6555083759,346991
2019-07-03,396.9101675529,401.7267115074,396.7754390506,400.2699595771,343881
2019-07-05,400.2278569201,403.1413607807,397.6259127209,403.082417061,383113
2019-07-08,399.1837110279,401.8361784154,397.4069789048,397.8195849429,414631
2019-07-09,395.9839091001,401.0193868707,394.2324385712,398.9816182746,445512
2019-07-10,398.9816182746,401.3646286577,397.7606412232,400.4299496735,505079
2019-07-11,401.6593472563,404.7833644016,399.4784296265,404.2444503927,390571
2019-07-12,402.6529699602,406.5685170561,401.3056849379,406.2569573947,472362
2019-07-15,406.6021991816,406.7116660897,403.5287052246,405.6169970091,416403
