Date,Open,High,Low,Close,Volume
2019-01-02,131.0942938349,134.4650091861,130.7503432888,133.2071329034,4783943
2019-01-03,131.1729111026,132.4504417022,127.8513315436,128.1461462974,6365650
2019-01-04,131.1925654195,136.9119716423,129.9346891368,135.5754780919,6650568
2019-01-07,138.5825885802,140.9116251348,136.391132244,139.7618475952,9064840
2019-01-08,142.2284643682,143.9285627815,140.4202672119,143.2013530556,9057281
2019-01-09,144.3511305953,144.9505872612,142.0319211991,143.466686334,5445930
2019-01-10,141.2850571562,144.6655996659,141.2752299978,144.4985379721,5116851
2019-01-11,144.0268343661,145.4714266595,143.0932543126,144.9997230535,5185239
2019-01-14,143.230834531,144.1938960599,142.1989828929,143.5256492848,5815495
2019-01-15,143.8204640385,147.2697966574,143.2799703233,146.6113770407,5350387
2019-01-16,146.5720684069,147.2010065482,145.245402015,145.9726117409,3936819
2019-01-17,145.9726117409,148.1149322848,145.1373032719,147.2304880236,3743179
2019-01-18,149.2057468737,150.6208576917,147.6432286788,149.8739936489,6151237
2019-01-22,147.7415002634,148.7635247431,144.8523156766,146.3755252377,5203299
2019-01-23,147.1420435974,148.1935495525,145.0979946381,147.1616979144,3335360
2019-01-24,147.3582410835,147.8987347987,143.9875257323,144.3314762783,6734711
2019-01-25,145.9627845824,147.2992781328,144.9997230535,147.1518707559,4601702
2019-01-28,145.6090068779,145.6384883533,143.574785077,144.7835255674,4054718
2019-01-29,144.5280194475,145.4419451841,142.1400199421,142.6706864989,3915058
2019-01-30,144.645945349,147.1027349636,143.5551307601,146.5818955653,4653365
2019-01-31,146.4443153469,150.7289564348,146.1396734347,149.3433270921,8615902
2019-02-01,149.7658949058,153.2545361586,148.4588828309,153.1759188909,5959186
2019-02-04,153.3233262678,156.1535479038,152.7238696018,154.9939432057,5264678
2019-02-05,155.6032270301,157.1166094327,155.0922147903,156.2419923299,4575588
2019-02-06,156.2518194884,156.3500910729,152.3995733727,155.3968567025,4205093
2019-02-07,153.264363317,154.3453507474,150.7093021178,152.2521659958,4545469
2019-02-08,150.2670799872,153.9915730429,150.070536818,153.9620915676,3018703
2019-02-11,155.4656468117,158.708609103,154.8465358288,157.1460909081,7125450
2019-02-12,158.4629301415,160.5659420516,157.2640168096,159.9763125441,5631693
2019-02-13,160.6150778439,160.7428309038,157.4998686126,157.6276216725,5295969
2019-02-14,156.7136959359,157.6669303064,154.0014002014,156.7136959359,5061105
2019-02-15,158.2074240216,158.4334486661,155.3575480687,156.3009552807,5281967
2019-02-19,156.9004119466,158.688954786,156.3893997068,157.8339920002,3883224
2019-02-20,157.5588315633,158.6987819445,154.4927581243,155.7997701993,7047244
2019-02-21,154.9742888888,157.7062389402,154.5812025504,156.8709304712,4463028
2019-02-22,157.6964117817,158.9149794306,157.4310785034,158.5218930923,4175005
2019-02-25,159.7011521073,160.2416458225,158.1484610708,158.5710288845,5076691
2019-02-26,158.0305351693,160.5561148931,157.1067822742,160.1826828717,4496279
2019-02-27,159.4849546212,160.70352227,157.7258932571,160.3006087732,4278257
2019-02-28,160.1826828717,161.7550282251,159.3670287197,160.8214481715,6908054
2019-03-01,162.2955219403,163.2782377861,158.9542880644,161.6862381159,6919941
2019-03-04,162.6984354371,162.9244600816,152.7336967603,155.7604615654,17886304
2019-03-05,157.1559180665,158.0993252785,152.1244129358,154.2569063213,16042915
2019-03-06,154.4141408566,157.4802142957,153.5788323877,154.0800174691,7436333
2019-03-07,153.392116377,154.8661901457,152.1342400943,152.9105856125,6916457
2019-03-08,149.3924628844,152.7238696018,147.6530558373,152.3799190558,4800711
2019-03-11,153.2054003663,155.043078998,150.778092227,154.9251530965,5699541
2019-03-12,155.2691036425,156.6154243513,154.443622332,155.5442640794,4082085
2019-03-13,156.1044121115,159.1999670259,155.8685603085,157.0478193235,5230611
2019-03-14,158.1681153878,158.7970535291,156.9790292143,157.8929549509,3247216
