Date,Open,High,Low,Close,Volume
2019-01-02,29.2525,29.5925,28.5,28.795,4609580
2019-01-03,28.5725,29.0975,27.5825,28.065,3062672
2019-01-04,28.545,29.57,28.2525,29.06,8610752
2019-01-07,31.3825,33.195,31.0,32.4875,8133068
2019-01-08,32.865,34.05,32.6525,32.88,6603112
2019-01-09,33.2175,34.79,33.2175,34.6875,4766464
2019-01-10,34.6875,35.505,34.5225,35.475,10434620
2019-01-11,35.475,35.685,34.95,35.275,3522420
2019-01-14,35.1075,35.8275,35.0025,35.685,4968612
2019-01-15,35.87,37.1,35.5,36.7625,5554936
2019-01-16,36.9625,37.3575,36.41,36.7625,3957736
2019-01-17,36.805,37.745,36.6575,37.375,3473792
2019-01-18,37.6875,38.1725,37.295,37.38,5362272
2019-01-22,37.25,38.11,36.85,37.705,6538960
2019-01-23,37.5,37.865,35.69,36.635,5393508
2019-01-24,36.795,36.975,35.9475,36.02,6266820
2019-01-25,36.1525,36.82,35.6925,36.2525,4913388
2019-01-28,36.0725,36.2475,35.0275,35.34,3203028
2019-01-29,35.265,35.535,34.575,35.0125,2878828
2019-01-30,35.2075,36.1025,35.1325,35.9025,2724944
2019-01-31,36.0575,36.5825,34.945,35.2575,5846416
2019-02-01,35.175,35.465,34.195,35.445,3065416
2019-02-04,35.4575,36.155,35.2775,36.1225,2296176
2019-02-05,36.3575,37.365,36.25,37.185,4432748
2019-02-06,37.0075,37.4425,36.01,36.29,3194744
2019-02-07,36.0775,36.4425,35.55,35.99,2928788
2019-02-08,35.69,36.6775,35.6875,36.3825,2861740
2019-02-11,36.915,38.33,36.8225,37.8075,6632920
2019-02-12,38.33,38.9625,37.515,38.1825,6070968
2019-02-13,38.13,38.4125,36.2725,37.2625,6465368
2019-02-14,37.075,37.4075,36.7275,36.9575,2959504
2019-02-15,37.4775,37.5625,36.835,37.1225,3824952
2019-02-19,37.265,37.5475,36.8375,36.975,3955328
2019-02-20,36.7725,37.045,36.1075,36.385,5156492
2019-02-21,36.385,36.875,35.975,36.5625,5069472
2019-02-22,38.4225,39.04,33.805,34.215,14853784
2019-02-25,34.4875,35.3675,34.4875,35.225,7961296
2019-02-26,35.075,35.17,34.1725,34.8975,4419944
2019-02-27,35.025,35.9425,34.88,35.0225,5575756
2019-02-28,35.005,35.66,34.7975,34.8325,4728032
2019-03-01,35.13,36.01,34.525,35.8725,6401760
2019-03-04,35.9725,36.225,34.5125,35.375,5886440
2019-03-05,35.4075,37.4575,34.75,36.7425,5430044
2019-03-06,36.74,37.0175,35.6125,35.8525,5226444
2019-03-07,35.895,36.4925,35.175,35.7675,2582112
2019-03-08,35.39,35.8525,34.9,35.81,2963944
2019-03-11,35.75,36.2625,35.4825,36.0225,3807468
2019-03-12,35.9825,36.1675,35.0875,35.9475,5831184
2019-03-13,35.56,37.5375,35.3775,36.865,6711816
2019-03-14,36.805,36.8825,36.12,36.7125,5398140
2019-03-15,36.7375,38.07,36.5,37.75,12289844
2019-03-18,38.005,38.72,36.3775,36.5375,6015064
2019-03-19,36.555,36.905,36.125,36.735,5968004
2019-03-20,36.75,37.02,36.2775,36.54,3434644
2019-03-21,36.375,36.895,35.08,35.54,7523028
2019-03-22,35.17,35.2375,31.975,32.2575,15786480
2019-03-25,32.0,32.06,30.375,31.02,8975308
2019-03-26,31.1775,31.4,30.035,30.2375,6966312
2019-03-27,30.165,30.23,28.6925,28.885,9857656
2019-03-28,28.825,29.9725,28.16,29.595,6801880
2019-03-29,29.75,29.9725,29.28,29.775,4223604
2019-04-01,29.9875,30.2475,28.5,28.7925,7687080
2019-04-02,28.8375,29.4275,28.3775,29.245,6790260
2019-04-03,29.4625,29.6975,28.73,29.4225,7589740
2019-04-04,29.6125,29.785,29.0275,29.29,3348180
2019-04-05,29.4525,29.6375,29.075,29.23,3912724
2019-04-08,29.2875,29.4275,28.39,28.7375,4508632
2019-04-09,28.55,29.04,28.5,28.805,3036476
2019-04-10,28.7625,29.9525,28.5625,29.72,4485840
2019-04-11,29.8025,30.3625,29.37,29.825,4505004
2019-04-12,29.88,30.0725,29.45,29.47,2690072
2019-04-15,29.3675,30.0025,29.1675,29.7425,3651700
2019-04-16,30.17,30.2175,29.22,29.44,3778700
2019-04-17,29.45,29.45,27.44,27.845,8180576
2019-04-18,27.965,28.7025,26.86,28.5725,6113848
2019-04-22,28.4325,29.215,28.3,29.1525,2887480
2019-04-23,29.3125,29.84,28.5775,29.5075,5424888
2019-04-24,29.445,29.96,29.0575,29.705,2829716
2019-04-25,29.815,30.03,29.3125,29.53,3254524
2019-04-26,29.715,31.12375,29.715,31.0425,5118672
2019-04-29,31.2075,31.36,30.3825,31.1075,3883976
2019-04-30,31.04,31.435,30.24,30.2675,4679540
2019-05-01,30.63,31.1975,29.3075,29.655,7105128
2019-05-02,29.6175,30.925,29.5,30.0925,9842380
2019-05-03,30.3625,31.44,29.9125,30.7375,6056368
2019-05-06,29.6625,30.8925,29.6625,30.5525,5241544
2019-05-07,30.2775,30.5425,29.4125,29.9025,4250968
2019-05-08,29.74,30.2,29.275,29.5575,2812204
2019-05-09,29.1975,29.58,28.875,29.3025,3387684
2019-05-10,29.23,29.805,28.61,29.6975,4139612
2019-05-13,29.04,29.3325,28.685,29.0625,3985768
2019-05-14,29.1375,30.3,29.1375,30.0625,5315200
2019-05-15,29.7275,30.845,29.5975,30.3725,4237728
2019-05-16,30.2425,30.84,29.8025,29.8525,3519268
2019-05-17,29.6625,29.8425,29.1625,29.51,2631624
2019-05-20,29.2525,29.945,28.855,29.6175,2754608
2019-05-21,29.8275,30.21,29.6425,29.6475,2843684
2019-05-22,29.4675,29.7275,29.3425,29.6875,3911252
2019-05-23,29.425,29.45,28.4075,28.615,2504924
2019-05-24,28.79,29.7475,28.5975,29.7425,2794624
2019-05-28,29.75,30.7125,29.75,30.1775,5816140
2019-05-29,29.8275,29.925,28.975,29.65,4685988
2019-05-30,29.6525,30.2725,29.2075,29.975,3237064
2019-05-31,29.7475,30.58,29.2675,30.325,3173392
2019-06-03,30.27,30.835,29.97,30.24,4742940
2019-06-04,30.3775,31.2175,30.2275,31.1875,3824408
2019-06-05,31.25,31.6825,30.755,30.865,4455204
2019-06-06,30.7575,30.8125,29.605,30.175,7117608
2019-06-07,30.3125,31.6625,30.10875,31.495,6620776
2019-06-10,31.7575,35.32,31.625,34.61,17191180
2019-06-11,34.1425,35.0,34.1425,34.6325,5289788
2019-06-12,34.8025,36.3275,34.8025,36.3175,8870524
2019-06-13,36.25,36.875,36.115,36.58,8174528
2019-06-14,36.58,37.12,36.2825,37.01,5128656
2019-06-17,37.1475,37.8425,37.0,37.585,4783732
2019-06-18,38.0475,38.3475,37.735,38.135,5094236
2019-06-19,38.2125,38.525,37.685025,38.445,3251808
2019-06-20,38.74,39.375,38.54095,38.915,3701464
2019-06-21,38.525,38.7875,37.5825,37.7,4741612
2019-06-24,37.7075,37.99,36.75,36.915,4045556
2019-06-25,37.0075,37.0275,35.8325,35.88,4330824
2019-06-26,36.0675,36.25,34.8075,35.3825,3986792
2019-06-27,35.6175,36.77,35.565,36.4575,3321072
2019-06-28,36.675,37.5775,36.4575,37.46,5201812
2019-07-01,37.8725,38.2675,37.735,37.8575,3826764
2019-07-02,37.955,37.955,36.085,36.4175,4569192
2019-07-03,36.4975,36.745,35.8025,35.84,3551416
2019-07-05,35.5275,36.8325,35.3275,36.7475,2286936
2019-07-08,36.62,37.125,36.0325,36.405,3269700
2019-07-09,36.2275,36.9725,35.9925,36.945,2200980
2019-07-10,37.0225,38.2375,37.02,37.72,4376720
2019-07-11,37.88,38.21,37.225,38.125,2484184
2019-07-12,38.085,38.1375,36.4725,37.2925,3674272
2019-07-15,37.43,38.0725,37.015,37.7775,3604016
2019-07-16,37.8825,38.25,37.2,37.4625,3170092
2019-07-17,37.4025,37.4025,36.1925,36.8925,2847136
2019-07-18,36.92,38.9975,36.605,38.3475,3644828
2019-07-19,38.4275,38.76,37.975,38.145,2204972
2019-07-22,38.1325,39.25,38.1325,38.7775,3127392
2019-07-23,38.7625,39.1175,37.88,37.9875,1857412
2019-07-24,38.1325,38.4675,37.55,38.24,2145100
2019-07-25,38.0025,38.365,37.67,37.8725,1609056
2019-07-26,38.23,38.7825,37.805,38.4425,2022364
2019-07-29,38.4625,38.745,37.48,38.385,1849044
2019-07-30,38.025,39.275,38.025,39.0975,2474004
2019-07-31,39.3725,40.0,38.62,39.2175,6158508
2019-08-01,39.2525,40.325,35.125,37.08,13305728
