Date,Open,High,Low,Close,Volume
2019-01-02,138.3113609999,144.9773743823,137.4865260107,144.7922073439,3999444
2019-01-03,143.6391216957,144.5733735712,141.6443676911,142.6712030859,4060393
2019-01-04,145.600208966,148.1336307186,144.0094557725,147.3340457801,3788312
2019-01-07,147.4855460842,149.6738838107,144.9942077494,148.1504640857,3152092
2019-01-08,149.6318003929,149.901134267,145.5244588139,147.6033796541,2692684
2019-01-09,148.2177975542,149.5560502409,147.2162122102,148.5292148461,3321697
2019-01-10,147.8474634775,149.8758842163,147.7127965404,148.1336307186,2808732
2019-01-11,147.3761291979,149.0089658092,145.1204580029,148.91638229,3183036
2019-01-14,146.8879615512,151.1131367001,146.5344608415,150.4229686479,3361688
2019-01-15,150.0863013054,151.4918874605,148.4702980612,151.424553992,2911802
2019-01-16,157.3919826385,166.7765848119,156.2136469396,165.8759996706,15194227
2019-01-17,164.9249144279,168.1653375999,162.2989091561,167.5677530669,8176998
2019-01-18,168.6535052466,170.8586763402,165.73291605,170.4715088963,5650934
2019-01-22,168.7545054493,169.570923755,164.8996643772,166.3810006844,4648472
2019-01-23,166.2715837981,166.7260847105,163.7297453619,165.7244993664,3410681
2019-01-24,165.1521648841,168.0643373971,164.7649974402,166.4820008872,2632011
2019-01-25,168.1905876506,169.3352566152,167.8455036245,168.9565058549,3275461
2019-01-28,166.6419178749,168.3925880561,165.8928330377,168.0980041314,2369554
2019-01-29,167.4920029148,169.9917579332,166.5409176721,168.7545054493,2694125
2019-01-30,169.0911727919,171.1027601636,168.0390873464,170.4210087949,2773366
2019-01-31,168.4178381068,170.3115919086,165.7665827843,166.658751242,5604546
2019-02-01,166.6503345584,168.0306706629,165.4214987582,165.4214987582,3174301
2019-02-04,164.7986641745,166.4483341529,163.9485791345,166.4146674187,2400169
2019-02-05,166.7513347612,167.7697534724,165.6908326322,166.658751242,2601036
2019-02-06,165.9601665062,167.5425030162,164.8239142251,165.4888322267,2063097
2019-02-07,164.3609966292,164.865997643,160.8007394818,162.5009095616,2948750
2019-02-08,161.3646572805,162.1221588012,158.4188180333,161.3225738627,2757596
2019-02-11,162.3409925739,162.7113266507,160.8175728489,161.0364066215,2056684
2019-02-12,162.4840761945,164.672413921,162.4419927767,163.6960786276,2392931
2019-02-13,164.8996643772,167.3068358764,163.7886621468,163.8644122989,2757343
2019-02-14,161.7770747751,163.3930780193,159.445653428,162.0464086492,2864952
2019-02-15,162.6187431315,167.3994193956,162.5261596123,167.0711687366,3065444
2019-02-19,165.5224989609,167.5425030162,164.6387471867,167.2142523572,2558186
2019-02-20,167.2647524586,167.7445034217,166.2379170638,167.1553355723,2265991
2019-02-21,167.4667528641,167.8707536752,164.1674129072,165.269998454,2786021
2019-02-22,165.4719988595,166.4399174693,164.2936631606,164.9669978457,2626634
2019-02-25,166.6503345584,169.5961738057,166.4062507351,167.1974189901,3032171
2019-02-26,167.0459186859,168.8050055507,165.4299154417,167.4078360792,2499795
2019-02-27,167.7458630071,168.9205065818,166.5796701056,167.4078360792,1804501
2019-02-28,167.35713204,167.6613562751,165.6416453805,166.2247418312,2964439
2019-03-01,167.9571298371,170.2303609277,166.8416409748,167.4923428112,2580797
2019-03-04,168.0078338763,169.7148698626,164.0698201654,165.6162933609,2683593
2019-03-05,165.5064346093,165.7853068249,163.0979927475,165.6331947073,2338725
2019-03-06,165.5486879753,166.9514997264,164.390945747,164.5684098842,2247480
