Date,Open,High,Low,Close,Volume
2019-01-02,39.5575670061,40.8572172711,39.3940348535,40.5215460106,18774573
2019-01-03,39.7210991586,39.8329895788,38.2062750087,38.2923445627,32267297
2019-01-04,39.4542835413,40.943286825,39.1960748794,40.6420433861,35447286
2019-01-07,40.5387599214,41.3133859071,40.2375164825,40.8313964049,22736796
2019-01-08,41.1412467992,41.3392067733,40.2633373487,41.0896050668,22749206
2019-01-09,41.2789580855,41.8039823648,41.1240328884,41.3219928625,22554525
2019-01-10,41.0982120222,41.872838008,40.8055755387,41.7953754094,27202575
2019-01-11,41.3994554611,42.4236831534,41.3564206841,42.1138327591,21751291
2019-01-14,41.7093058554,42.0277632051,41.5715945691,41.614629346,19193910
2019-01-15,41.9244797403,42.285971867,41.6920919446,41.829803231,22480820
2019-01-16,41.829803231,42.0794049375,41.3822415503,41.4252763273,19057707
2019-01-17,41.3133859071,42.0363701605,41.2359233086,41.7179128108,17448657
2019-01-18,42.2687579562,42.501145752,41.9072658295,42.3376135994,29874317
2019-01-22,42.1396536253,42.1568675361,41.201495487,41.5457737029,25940722
2019-01-23,41.6662710784,42.0019423389,40.9002520481,41.2617441747,18960709
2019-01-24,41.9158727849,43.0692048082,41.829803231,42.8282100571,50578269
2019-01-25,40.3235860364,40.8227894495,39.3768209427,40.487118189,86471848
2019-01-28,39.7038852478,40.2203025717,39.6350296047,40.2030886609,35928704
2019-01-29,40.2633373487,40.4268695012,39.8760243558,40.0567704191,20988342
2019-01-30,40.1772677947,41.0379633344,39.9793078205,40.9174659589,26931676
2019-01-31,40.1944817055,40.6076155646,39.6780643816,40.5559738322,43051306
2019-02-01,40.5043320998,42.2171162239,40.4612973228,41.9416936511,37442926
2019-02-04,41.8470171418,42.3806483764,41.5199528367,42.3634344656,20905010
2019-02-05,42.329006644,43.6544777752,42.329006644,43.043383942,31641570
2019-02-06,43.263132967,43.8607618309,43.1505362246,43.2198265276,21647843
2019-02-07,42.8733750124,43.1765200882,42.1631494061,42.6395202396,27825875
2019-02-08,42.2411009971,42.4576331941,41.5828431181,42.3017300122,18851208
2019-02-11,42.4576331941,42.7174718305,42.0765365273,42.2411009971,18004088
2019-02-12,42.752116982,43.4276974368,42.6741653911,43.3151006943,18050058
2019-02-13,43.4190361489,44.0080037248,43.3064394065,43.7135199369,17712782
2019-02-14,43.6615522096,44.2072133461,43.6095844823,44.0080037248,17545365
2019-02-15,44.3891003916,44.7528744826,44.2505197855,44.7442131947,22520361
2019-02-19,44.4757132704,44.7875196342,44.4670519825,44.5190197098,15611772
2019-02-20,44.7182293311,44.8048422099,44.2245359219,44.510358422,21607726
2019-02-21,44.4497294068,44.9001163766,44.3544552401,44.5276809977,16162142
2019-02-22,45.6449871344,45.8831725511,45.0863340661,45.4631000889,31934146
2019-02-25,45.9567934981,46.4331643316,45.7835677405,45.9914386497,20711750
2019-02-26,45.9134870587,46.2252934224,45.8268741799,46.1040353921,16082213
2019-02-27,45.6969548617,46.2339547103,45.4804226647,46.11269668,17590309
2019-02-28,45.8355354678,46.0607289527,45.7402613011,45.8701806193,18388820
2019-03-01,46.2859224376,46.4937933468,45.8095516041,46.1646644073,18359325
2019-03-04,46.5544223619,46.8575674378,46.0867128163,46.7189868317,21706135
2019-03-05,46.6410352407,46.7622932711,46.0000999375,46.4937933468,21057745
2019-03-06,46.4504869074,46.4678094831,45.8528580436,45.8615193314,14740525
2019-03-07,45.7056161496,45.896164483,45.3505033464,45.5583742556,17803407
2019-03-08,45.0127131191,45.5237291041,44.7788583463,45.454438801,16793891
2019-03-11,45.8008903163,46.4678094831,45.5323903919,46.2079708467,18962954
2019-03-12,46.1993095588,46.7363094074,46.0607289527,46.3985191801,20782077
2019-03-13,46.770954559,47.2646479682,46.4678094831,47.0914222106,25522312
2019-03-14,47.0307931954,47.1607125136,46.1906482709,46.2859224376,26647060
2019-03-15,46.4937933468,47.3685834228,46.4937933468,47.0567770591,46485239
2019-03-18,47.13472865,47.2126802409,46.6583578165,46.8575674378,16273986
2019-03-19,47.1780350894,47.3339382713,46.770954559,46.918196453,18274766
2019-03-20,46.8229222863,47.1174060742,46.4331643316,46.6150513771,24325283
2019-03-21,46.7016642559,47.6284220592,46.6323739529,47.3252769834,19127216
2019-03-22,47.1174060742,47.3079544076,46.0867128163,46.1300192558,21438435
2019-03-25,45.8788419072,46.3811966043,45.3678259222,45.7142774375,16971406
2019-03-26,46.181986983,46.5717449377,45.9394709224,46.2859224376,17724346
2019-03-27,46.4158417558,46.6496965286,45.8528580436,46.0434063769,19655973
2019-03-28,46.1213579679,46.2859224376,45.7056161496,46.0000999375,13607888
2019-03-29,46.5977288013,46.8055997105,46.3205675891,46.5111159225,18736074
2019-04-01,47.0654383469,47.2646479682,46.8575674378,47.2126802409,17830437
2019-04-02,47.2300028167,47.4638575895,46.9701641802,47.0827609227,13704511
2019-04-03,47.6630672107,48.4945508473,47.5418091804,48.0528251654,24552838
2019-04-04,47.8709381199,48.6244701656,47.8709381199,48.4339218322,16520453
2019-04-05,48.2866799382,48.4599056958,47.5244866046,48.15676062,19268396
2019-04-08,47.8795994078,48.2780186503,47.8103091047,48.226050923,11758823
2019-04-09,47.9402284229,48.009518726,47.5504704683,47.9142445593,13339677
2019-04-10,47.9142445593,48.3819541049,47.9142445593,48.2866799382,13084042
2019-04-11,48.2953412261,48.5638411504,48.1827444836,48.3299863776,10845819
2019-04-12,48.6850991807,48.9276152414,48.3646315291,48.8669862262,12910185
2019-04-15,48.9016313778,48.9882442566,48.4339218322,48.7457281959,11676910
2019-04-16,49.0748571354,49.7764214538,48.5638411504,49.1181635748,30301933
2019-04-17,50.6165663783,51.6126144846,50.3394051661,50.7205018328,38788448
2019-04-18,50.8504211511,50.997663045,50.3394051661,50.6598728177,20464197
2019-04-22,50.3653890297,50.9543566056,50.1315342569,50.9456953178,12327484
2019-04-23,51.0063243329,51.0842759239,50.6685341055,50.9110501662,17739929
2019-04-24,50.6858566813,51.3527758482,50.3567277418,50.8590824389,17723745
2019-04-25,50.4953083479,50.564598651,49.5685505446,49.8976794841,27949926
2019-04-26,45.6796322859,45.9827773618,44.6229551644,45.4111323616,72364512
2019-04-29,45.1859388767,45.4111323616,44.1725681946,44.2678423613,42142301
2019-04-30,44.1725681946,44.5450035735,44.0599714521,44.2072133461,27130855
2019-05-01,44.2591810734,44.6922454675,43.9473747097,43.9646972854,20467582
2019-05-02,43.999342437,44.4583906947,43.410374861,43.7828102399,22655397
2019-05-03,44.2418584976,44.8827938008,43.9387134218,44.8221647857,25656641
2019-05-06,43.7906353297,44.688234422,43.7383480039,44.6359470962,26245240
2019-05-07,44.09564473,44.3396522502,43.5117695922,43.9910700784,29713382
2019-05-08,43.7470625582,44.2612212616,42.7623179229,42.9104653459,36812429
2019-05-09,41.7427150705,42.082582688,40.130522526,40.6272521208,59642160
2019-05-10,40.4703901435,40.7841140981,39.302639868,40.2612408404,42522778
2019-05-13,39.5030746168,39.7732257999,38.9540576962,39.006345022,39091928
2019-05-14,39.3723563024,39.6425074855,39.1022051192,39.3636417481,24706458
2019-05-15,39.1457778907,39.8690858972,39.006345022,39.7557966913,23407893
2019-05-16,39.6250783769,40.043376983,39.5815056054,39.6773657027,19954653
2019-05-17,39.3723563024,39.8516567886,39.006345022,39.1196342278,22500360
2019-05-20,38.3440388956,38.7971957189,37.8647384094,37.9605985067,28674965
2019-05-21,38.6403337416,39.0237741306,38.5009008729,38.7449083932,25543371
2019-05-22,38.47475721,38.7449083932,38.2133205812,38.3440388956,16932520
2019-05-23,37.7950219751,38.9889159134,37.3505797061,38.8059102732,35783928
2019-05-24,38.858197599,39.2590670965,38.7710520561,38.8407684904,27168066
2019-05-28,38.9191994791,38.9453431419,37.734020095,37.969313061,34779863
2019-05-29,37.7775928665,38.8059102732,37.7601637579,38.5444736444,28450341
2019-05-30,38.6054755245,39.241637988,38.5444736444,38.9802013591,21618859
2019-05-31,38.5009008729,39.1893506622,38.2830370156,38.3788971128,25532529
2019-06-03,38.561902753,38.858197599,37.6468745521,37.8734529637,31155678
2019-06-04,38.4834717643,39.093490565,38.1436041469,39.0324886849,28094917
2019-06-05,39.3113544223,39.3723563024,38.5096154272,38.8233393818,20802012
2019-06-06,38.9976304677,39.3636417481,38.7884811646,39.302639868,19076170
2019-06-07,39.4333581824,40.1915244061,39.302639868,40.1130934174,24370253
2019-06-10,40.2873845033,41.1239817156,40.2612408404,40.7841140981,20806083
2019-06-11,41.1849835956,41.2372709214,40.5401065778,40.8276868696,18415495
2019-06-12,40.6708248923,40.6708248923,40.3048136119,40.3658154919,15900569
2019-06-13,40.6098230122,40.9235469668,40.5488211321,40.6969685551,12267633
2019-06-14,39.9388023315,40.4529610349,39.6947948113,40.2525262861,15381077
2019-06-17,40.2089535146,40.5488211321,39.9126586686,40.2002389603,12643343
2019-06-18,40.7405413266,41.8298606134,40.6098230122,41.2808436929,25732293
2019-06-19,41.3767037901,41.463849333,40.958405184,41.019407064,17436381
2019-06-20,41.7165714076,41.8734333849,40.8451159781,41.1239817156,20126780
2019-06-21,40.9148324125,41.5945676475,40.7841140981,41.3592746815,31096251
2019-06-24,41.3069873557,41.699142299,41.106552607,41.5074221045,14479942
2019-06-25,41.4464202245,41.550994876,40.7841140981,40.8276868696,16665577
2019-06-26,41.5248512131,42.2481592195,41.4464202245,41.995437145,21886309
2019-06-27,41.9605789278,42.1958718938,41.167554487,41.3592746815,23062947
