Date,Open,High,Low,Close,Volume
2019-01-02,178.1485529596,182.9322869061,177.6500476185,181.8969296591,4294038
2019-01-03,179.7495220359,179.759108677,173.4990319896,173.6907648131,5071336
2019-01-04,177.2090621244,183.3445124766,176.8160098362,181.9161029415,4452864
2019-01-07,182.7501407237,185.0413479646,181.8681697356,183.3157525531,4219351
2019-01-08,182.3627592519,184.8499606551,181.018326061,184.6482956764,5069727
2019-01-09,186.588120709,188.7488169087,185.6086050985,187.9997755595,5471549
2019-01-10,185.368527743,189.4114304099,183.7263986312,189.1329406775,3693776
2019-01-11,188.2878683861,188.892863322,186.9818475721,188.1246157843,2500187
2019-01-14,186.6649454628,189.1809561486,186.3000278824,187.673270356,3336661
2019-01-15,187.4716053773,189.5170644463,185.4357494025,188.720007626,3783022
2019-01-16,189.6707139539,190.5349924337,188.7008014376,189.9203944036,3546393
2019-01-17,189.6130953885,192.4460081837,189.2769870908,191.3992709136,2764372
2019-01-18,193.1950495329,194.4914672527,192.0810906033,193.982503259,4866871
2019-01-22,191.8602194362,193.0221938369,189.805157273,191.5433173269,4457655
2019-01-23,193.070209308,193.0798124022,188.7968323798,190.4773738684,3086372
2019-01-24,190.544595528,192.2539462993,190.0740439111,191.8602194362,2792247
2019-01-25,194.1649620492,195.7974880667,191.8602194362,194.8851941157,4687308
2019-01-28,192.7725133872,193.0029876485,190.198884136,192.2155339224,3277232
2019-01-29,192.244343205,192.7052917276,189.8147603672,191.3320492541,3661922
2019-01-30,192.4652143721,196.7001789235,191.9658534726,195.9223282916,4079538
2019-01-31,201.4729167512,204.5170976191,199.7443597914,202.7501282825,11316235
2019-02-01,203.5759943855,206.120814354,202.8173499421,205.2853451568,6470065
2019-02-04,205.8423246216,206.4185102748,204.7379687862,206.380097898,4397521
2019-02-05,206.4665257459,208.0990517635,206.4185102748,207.2923918489,3091476
2019-02-06,206.7066031015,207.3308042258,205.1989173088,206.7546185726,2697964
2019-02-07,204.987649236,205.9383555638,203.2014737109,205.4774070412,2742885
2019-02-08,203.5855974797,208.0318301039,203.5855974797,207.9838146328,3248411
2019-02-11,208.3775414959,209.9716551365,207.7533403715,208.4831755323,2974373
2019-02-12,209.8852272885,210.7783150511,209.0017426202,210.2213355863,3411398
2019-02-13,211.0664078777,212.4972689166,210.73029958,211.7866399442,2996829
2019-02-14,210.7975212395,212.20917609,209.9428458539,211.0856140661,2875629
2019-02-15,213.3711504907,213.5247999982,211.7290213789,213.2943257369,2758470
2019-02-19,212.6413153299,213.1502793236,211.6137842483,211.8346554153,2836861
2019-02-20,212.4396503513,213.0254390987,210.6918872031,212.3340163148,3103564
2019-02-21,211.469737835,212.2571915611,209.9428458539,210.6054593551,3528836
2019-02-22,211.2680728563,214.7539960584,210.9799800297,214.4563001376,3295639
2019-02-25,216.0696199667,216.4537437355,214.1490011225,214.4563001376,3359156
2019-02-26,213.342341208,216.2424756627,213.2367071716,215.1093105446,2852267
2019-02-27,214.1874134994,215.6950992921,212.9390112507,215.6566869152,2119937
2019-02-28,215.1957383926,216.6458056199,214.7828053411,215.8487487996,3240405
2019-03-01,217.8750016802,219.0945946462,216.4153313586,218.2303161664,3001730
2019-03-04,218.2879347317,219.430702944,214.7924084353,217.3084191212,2977693
2019-03-05,217.2508005558,217.9134140571,216.3481096991,217.2411974616,2779085
2019-03-06,216.8858829755,217.519687194,215.0612950735,215.560655973,2849295
2019-03-07,214.7443929642,215.5318466903,211.9787018287,213.5824185635,3879922
2019-03-08,209.7123715926,213.3711504907,207.3596135085,213.0638514756,2691837
2019-03-11,214.0913825572,217.1547696136,213.995351615,216.6842179968,2670194
2019-03-12,217.5965119478,219.1426101173,217.2411974616,217.9326202455,2478896
2019-03-13,219.3058627191,222.1483786084,218.7584863485,219.430702944,2690361
2019-03-14,219.6227648284,221.0728320557,218.3839656739,220.4006154602,2838729
2019-03-15,219.738001959,223.521621082,219.7283988648,221.9947291009,3894538
2019-03-18,223.0702756536,223.2719406322,220.0164916914,221.2456877517,2734329
2019-03-19,222.3500435871,222.8878168634,221.1880691863,221.8410795934,3212000
2019-03-20,220.6118835331,222.7341673559,218.7968987254,220.7655330406,3747403
2019-03-21,219.1426101173,227.6701577853,219.1234039289,226.5081833846,4441059
2019-03-22,225.5190646799,226.6330236095,221.5241774841,221.6010022378,3709381
2019-03-25,221.2456877517,222.7341673559,219.4787184151,221.2744970343,3506468
2019-03-26,223.7136829664,224.3570902792,222.2636157391,224.0305850757,3046898
2019-03-27,224.6355800116,224.9044666498,220.5350587793,223.2911468207,2640702
2019-03-28,224.1554253006,225.9896162967,223.1471004074,225.5382708683,2712090
2019-03-29,227.1035752263,227.2476216396,224.6835954827,226.1048534274,3453858
2019-04-01,228.8417352803,230.2341839423,227.5357144663,229.5619673468,3475901
