Date,Open,High,Low,Close,Volume
2019-01-02,81.4,82.58,78.11,79.95,1325103
2019-01-03,77.7,79.5,75.0,75.89,1158030
2019-01-04,77.85,83.89,77.2951,81.73,1214961
2019-01-07,83.05,89.1999,82.75,85.7,1158958
2019-01-08,88.0,90.59,85.08,89.99,1414640
2019-01-09,89.1,89.5,84.36,86.62,1964742
2019-01-10,77.82,81.5,72.91,75.2,5915108
2019-01-11,75.2,78.24,73.57,74.48,1948233
2019-01-14,73.62,73.91,70.66,73.74,1560347
2019-01-15,73.86,78.74,73.8,78.4,1254695
2019-01-16,78.26,78.8744,73.85,74.05,1004176
2019-01-17,72.72,76.91,72.0,75.6,1001373
2019-01-18,76.09,80.57,76.09,80.34,1404233
2019-01-22,78.85,81.925,77.74,81.23,927988
2019-01-23,82.0,86.22,81.68,84.09,1408961
2019-01-24,83.82,84.87,83.25,84.27,671487
2019-01-25,84.9,87.09,83.3,86.9,808960
2019-01-28,84.35,88.85,84.13,88.39,786736
2019-01-29,88.56,89.47,86.81,86.99,920548
2019-01-30,88.06,89.88,86.51,88.19,662765
2019-01-31,88.5,92.62,88.305,92.36,1033927
2019-02-01,91.02,93.23,88.35,92.67,690409
2019-02-04,92.87,96.68,92.46,95.27,1022705
2019-02-05,96.13,97.48,94.7,97.09,821146
2019-02-06,97.73,98.2543,93.25,95.07,851483
2019-02-07,93.85,96.5135,92.78,95.87,582606
2019-02-08,94.61,98.9,94.0001,98.35,584177
2019-02-11,99.21,99.89,97.02,99.29,584981
2019-02-12,100.0,101.89,99.02,100.26,581718
2019-02-13,101.38,101.8,97.87,98.29,649612
2019-02-14,97.75,100.7,97.23,99.29,759663
2019-02-15,99.79,100.73,98.33,100.3,716932
2019-02-19,100.4,101.87,99.2745,100.02,695805
2019-02-20,100.0,102.98,100.0,100.49,548031
2019-02-21,100.65,103.49,98.52,103.11,572517
2019-02-22,103.72,106.53,103.67,106.21,916009
2019-02-25,107.26,109.97,106.365,107.92,827198
2019-02-26,107.24,107.24,96.18,98.27,3330603
2019-02-27,97.19,101.25,97.07,100.48,1024030
2019-02-28,100.47,104.28,100.15,101.56,843438
2019-03-01,100.94,105.2,100.34,104.16,944707
2019-03-04,105.7,107.25,95.3,96.77,1642063
2019-03-05,96.79,101.2,96.08,101.03,979081
2019-03-06,101.35,102.0,95.5,97.09,1628014
2019-03-07,96.8,100.56,96.5,99.46,1284882
2019-03-08,96.99,101.34,96.0,99.8,904115
2019-03-11,100.75,105.33,100.62,104.57,1314398
2019-03-12,104.58,106.08,102.2,104.88,743986
2019-03-13,105.07,107.75,103.53,104.26,2093704
2019-03-14,126.94,134.4,120.46,130.94,10476039
2019-03-15,130.92,134.7785,128.61,134.23,2803661
2019-03-18,132.32,138.06,132.13,137.98,2658138
2019-03-19,137.0,140.54,136.033,138.76,1898478
2019-03-20,138.45,144.75,138.45,143.73,1189785
2019-03-21,143.34,154.74,143.0,154.64,2486743
2019-03-22,153.25,154.619,147.58,152.76,2551513
2019-03-25,151.0,154.8,148.76,151.01,1365353
2019-03-26,152.63,154.0,147.61,150.29,1939028
2019-03-27,150.64,152.0,143.41,146.17,2082081
2019-03-28,146.33,149.3499,144.14,146.18,1000148
2019-03-29,147.75,149.77,145.755,147.02,777569
2019-04-01,148.75,149.38,144.03,147.95,773363
2019-04-02,146.47,146.47,140.23,144.7,1595600
2019-04-03,145.63,147.93,144.16,146.63,1239073
2019-04-04,146.29,146.29,134.38,139.95,2285229
2019-04-05,140.7,142.1,134.85,135.66,1390671
2019-04-08,134.83,137.75,131.51,132.87,1688452
2019-04-09,131.73,138.6,131.5216,136.33,1290363
2019-04-10,137.01,143.89,136.08,143.58,1621395
2019-04-11,143.95,145.68,142.52,143.71,1157305
2019-04-12,144.83,145.25,141.38,142.81,627652
2019-04-15,142.88,145.99,141.99,144.79,884069
2019-04-16,145.13,145.4,137.25,138.14,1003630
2019-04-17,139.15,139.375,131.23,132.19,1517168
2019-04-18,131.6,131.7989,123.6,125.38,3734209
2019-04-22,124.69,130.6,123.4059,130.41,1383300
2019-04-23,131.4,138.81,131.4,137.33,1955737
2019-04-24,138.24,141.495,134.2367,135.16,1351185
2019-04-25,136.88,139.95,134.1,137.66,1053586
2019-04-26,137.44,139.95,134.77,138.98,1028019
2019-04-29,139.76,140.97,136.97,137.5,891396
2019-04-30,137.47,141.1,136.47,140.92,1020325
2019-05-01,141.28,141.4989,132.16,133.62,1623214
2019-05-02,133.12,136.3,129.72,132.36,1532103
2019-05-03,133.1,135.9574,129.0,134.46,994850
2019-05-06,129.81,136.89,129.17,136.49,805286
2019-05-07,134.87,137.71,130.9,133.28,759194
2019-05-08,132.59,135.47,131.61,133.1,612489
2019-05-09,131.0,136.14,127.1403,134.88,1071270
2019-05-10,134.25,137.84,130.28,135.7,824926
2019-05-13,131.8,134.0,127.3067,127.84,1008560
2019-05-14,129.4,134.6905,129.031,133.34,1187942
2019-05-15,134.37,141.44,131.17,138.44,1706935
2019-05-16,139.25,148.0,139.25,146.86,2961170
2019-05-17,144.42,148.0,142.23,145.74,1482462
2019-05-20,143.65,145.92,140.27,145.05,1347154
2019-05-21,147.21,148.0,143.33,144.4,1050585
2019-05-22,143.66,145.82,142.0558,142.46,579421
2019-05-23,141.0,141.741,136.51,138.82,851398
2019-05-24,140.0,143.8,139.62,139.77,680261
2019-05-28,140.53,146.01,139.6,141.4,2539219
2019-05-29,139.9,139.9,135.86,137.49,980758
2019-05-30,137.83,140.81,137.75,139.99,703743
2019-05-31,137.75,142.58,136.0,140.34,1194577
2019-06-03,140.3,140.83,129.6,130.56,1745619
2019-06-04,134.57,138.5,131.6,138.21,1211440
2019-06-05,140.9,149.32,140.1,148.87,3077323
2019-06-06,145.95,148.9,135.0,147.74,4472547
2019-06-07,147.33,170.99,147.1862,169.97,3932741
2019-06-10,172.265,184.78,168.0668,172.36,3394775
2019-06-11,172.0,172.41,159.59,163.03,2196441
2019-06-12,163.7,167.0,161.51,166.32,963123
2019-06-13,166.75,167.9,164.38,166.96,791345
2019-06-14,166.75,167.76,163.5452,165.68,520700
2019-06-17,165.25,170.54,163.6385,164.97,1548136
2019-06-18,169.0,171.47,166.3244,166.36,1526791
2019-06-19,170.51,174.45,168.01,174.01,1359057
2019-06-20,176.83,177.49,171.54,173.74,1145085
2019-06-21,171.82,172.5485,166.341,169.87,2289606
2019-06-24,170.23,170.64,164.12,165.3,1159653
2019-06-25,165.94,165.94,155.64,158.59,1266533
2019-06-26,160.5,161.753,150.2908,150.69,1623669
2019-06-27,150.88,153.3524,148.04,151.49,2045051
2019-06-28,151.91,152.7824,145.2601,152.09,3846980
2019-07-01,155.32,155.32,143.85,147.67,2671966
2019-07-02,145.62,154.41,144.38,154.05,2310854
2019-07-03,155.44,158.45,153.46,154.98,1866866
2019-07-05,152.42,156.02,151.34,155.9,994126
2019-07-08,154.94,158.68,153.01,157.04,952072
2019-07-09,156.56,158.0688,154.39,157.72,790817
2019-07-10,159.0,161.385,156.44,157.23,1102462
2019-07-11,157.26,159.33,154.3301,158.04,1057672
2019-07-12,157.24,158.4917,151.03,153.1,1303386
2019-07-15,153.29,157.1,152.398,153.17,1538997
2019-07-16,153.05,155.465,146.65,151.79,1676291
2019-07-17,152.4,161.77,151.57,160.79,1916072
2019-07-18,159.77,163.17,157.15,162.93,1489823
2019-07-19,164.88,166.41,161.0,164.0,1338767
2019-07-22,164.39,166.3048,160.23,160.86,1337270
2019-07-23,162.56,163.1,154.3438,155.97,1481750
2019-07-24,155.12,158.0,152.1859,156.02,2535009
2019-07-25,156.0,158.58,153.3302,155.7,970753
