Date,Open,High,Low,Close,Volume
2019-01-02,127.8822583407,136.3290901964,127.4559510992,134.5148058894,28146193
2019-01-03,133.5333078216,135.9920100519,129.9939663046,130.6086418622,22717948
2019-01-04,132.8591475327,136.8148821693,132.6013803634,136.7653115598,29002059
2019-01-07,136.3786608059,137.6774107743,134.742830693,136.8644527788,20089337
2019-01-08,138.6886512077,141.910740824,138.3416569413,141.3059793884,26263793
2019-01-09,141.722372508,143.4573438399,140.0568000294,142.9913801107,22205879
2019-01-10,141.8512560926,143.3185461333,139.6304927879,142.961637745,16125004
2019-01-11,141.9206549459,144.111675885,141.3456358759,142.5650728692,12908031
2019-01-14,140.7805309278,145.3112846345,140.0568000294,144.1414182507,20520278
2019-01-15,144.7560938083,149.3859887339,144.7362655645,147.6708456458,24068822
2019-01-16,147.7204162553,148.3648341785,145.737591876,146.2729544584,18025714
2019-01-17,145.6880212665,147.7204162553,145.2418857812,147.0264277225,15787914
2019-01-18,148.4639753975,151.1209600657,147.2742807699,148.7514849325,31029612
2019-01-22,147.9186986932,150.228689095,145.1130021965,146.3026968241,22378694
2019-01-23,147.0065994787,147.5221338173,141.8314278489,143.060778964,20098415
2019-01-24,143.3978591085,145.1824010498,141.2960652665,144.5776396141,20955518
2019-01-25,146.213469727,148.5432883727,145.2815422688,147.7303303772,22250954
2019-01-28,146.7785746751,147.6807597677,144.9543762462,146.2035556051,15508483
2019-01-29,146.8182311627,146.8281452846,142.198250359,142.9517236231,17631953
2019-01-30,144.9642903681,149.6536700251,144.4487560295,149.1282215646,44613240
2019-01-31,164.1778586032,170.2056447161,163.5830112894,165.2584978899,77233602
2019-02-01,164.4157975287,167.6478012669,164.2373433346,164.286913944,30806513
2019-02-04,164.2769998221,167.8460837048,162.2148624677,167.7965130953,20036470
2019-02-05,167.6973718764,170.503068373,167.2413222691,169.6901103775,22556985
2019-02-06,169.7297668651,170.988860346,167.8163413391,169.0258642105,13281161
2019-02-07,166.7555302962,167.7865989734,163.8308643368,164.9511601111,17517609
2019-02-08,163.0575628289,165.9326581788,162.7997956596,165.8930016912,12561422
2019-02-11,166.4581066393,166.8546715152,163.6623242646,164.3662269192,12811176
2019-02-12,165.4270379621,166.8943280028,163.0873051946,163.622667777,16292290
2019-02-13,163.9597479215,164.7925341608,162.3239178086,162.660997953,14205146
2019-02-14,161.7885552262,163.4541277047,160.8566277679,162.5420284903,12755151
2019-02-15,163.0972193165,163.2855876325,159.4785648243,161.1044808153,15504415
2019-02-19,159.1216564361,162.7403109282,158.9531163638,160.8962842555,14345390
2019-02-20,160.8566277679,162.3140036867,159.8652155783,161.1639655467,11770692
2019-02-21,160.5393758672,160.846713646,158.2194713435,158.6656068288,15607828
2019-02-22,159.2009694112,161.0152537183,158.93328812,160.4997193796,15858468
2019-02-25,161.6695857634,164.6438223323,161.5010456912,163.2062746573,18737106
2019-02-26,162.9286792442,164.8123624045,162.3933166618,162.7204826844,13784063
2019-02-27,161.5010456912,162.5222002465,159.032429339,161.4118185941,12697485
2019-02-28,160.9755972307,162.0958930049,159.4785648243,160.0634980162,11114185
2019-03-01,161.2036220343,161.7290704948,160.3014369417,160.8863701336,11097770
2019-03-04,162.4924578808,166.0615417635,162.4230590275,165.9326581788,18894689
