Date,Open,High,Low,Close,Volume
2019-01-02,92.7158860157,94.7648558724,92.1477625555,94.1781054135,35329345
2019-01-03,93.2281284799,93.311949974,90.5272136688,90.7134836558,42578410
2019-01-04,92.8742155047,95.4726818229,92.1384490561,94.9324988607,44060620
2019-01-07,94.6624073796,96.1805077734,94.0477164226,95.0535743522,35656136
2019-01-08,95.9662972884,96.8324527278,94.727601875,95.742773304,31514415
2019-01-09,96.730004235,97.6799811686,96.1525672754,97.1118577083,32280840
2019-01-10,96.1339402767,96.6275557422,95.3516063314,96.4878532519,30067556
2019-01-11,96.1059997786,96.3388372624,94.6624073796,95.742773304,28314202
2019-01-14,94.9045583627,95.8079677995,94.3084944043,95.0442608529,28437079
2019-01-15,95.4726818229,97.8383106575,94.885931364,97.8010566601,31587616
2019-01-16,98.0338941438,98.9652440787,97.7544891633,98.145656136,29853865
2019-01-17,97.7917431607,99.3098435546,97.5682191764,98.8348550878,28393015
2019-01-18,100.0828640005,100.4926579718,98.6392716015,100.3157014842,37427587
2019-01-22,99.4216055468,99.747578024,97.6613541699,98.4250611164,32371253
2019-01-23,98.8348550878,99.6916970279,98.1084021386,99.3843515494,25874294
2019-01-24,99.5240540396,99.6544430305,98.1084021386,98.9093630826,23164838
2019-01-25,99.8779670148,100.4740309732,98.9093630826,99.8127725194,31218193
2019-01-28,98.9652440787,99.1701410643,97.4750841829,97.8662511555,29476719
2019-01-29,97.6799811686,97.7638026627,95.1560228451,95.8731622949,31490547
2019-01-30,97.4378301855,99.0770060709,97.1677387044,99.0770060709,49471866
2019-01-31,96.6741232389,97.9966401464,96.0966862793,97.2608736979,55636391
2019-02-01,96.6554962402,96.9535282194,95.3236658334,95.7241463053,35535690
2019-02-04,95.8079677995,98.5368231086,95.714832806,98.4809421125,31315282
2019-02-05,98.7789740917,99.9059075129,98.6858390982,99.8593400161,27325365
2019-02-06,99.6544430305,99.6544430305,98.2853586262,98.7510335937,20609759
2019-02-07,97.9686996484,98.3412396223,97.130484707,98.0432076432,29760697
2019-02-08,97.2236197005,98.5181961099,97.1025442089,98.4157476171,21461093
2019-02-11,98.9093630826,99.2632760578,97.7638026627,98.0245806445,18914123
2019-02-12,98.8534820865,99.7848320214,98.2387911295,99.5519945376,25056595
2019-02-13,100.1201179979,100.3808959797,99.3843515494,99.4774865428,18394869
2019-02-14,99.0118115754,99.9245345116,98.4064341178,99.561308037,21784703
2019-02-15,100.5019714712,100.8651979458,99.989729007,100.790689951,26606886
2019-02-19,100.390209479,101.2004839223,100.3808959797,100.7441224543,18038460
2019-02-20,100.8866637582,100.9614916193,99.4181669837,100.2225664907,21607671
2019-02-21,99.9887294247,102.4019279459,99.9606689768,102.3364535674,29063231
2019-02-22,102.9350764564,104.0107269601,102.7199463557,103.7955968593,27763218
2019-02-25,104.5345219879,104.9273682588,104.0668478559,104.375512783,23750599
2019-02-26,104.0668478559,105.9188374187,103.9826665121,105.0957309463,21536733
2019-02-27,104.4690476094,105.0957309463,103.7114155156,104.9180147762,21487062
2019-02-28,104.7964195018,105.5821120436,104.50646154,104.7870660192,29083934
2019-03-01,105.5914655263,105.7130608006,104.4503406441,105.2547401512,23501169
2019-03-04,105.7130608006,105.9281909013,103.6365876544,105.0021961199,26608014
2019-03-05,104.9928426373,105.1237913943,104.038787408,104.4784010921,19538318
2019-03-06,104.637410297,105.3763354255,104.2258570608,104.5251685053,17686996
2019-03-07,104.1977966129,104.3380988525,102.7667137689,103.2530948662,25338954
2019-03-08,102.1026165014,103.5524063107,101.7658911264,103.3653366579,22818430
2019-03-11,103.8143038246,105.6475864221,103.804950342,105.5353446304,26491618
