Date,Open,High,Low,Close,Volume
2019-01-02,30.2242054611,32.2521521501,29.9804618687,31.9304106081,26004300
2019-01-03,31.0236844443,31.3454259863,30.0877090494,30.2242054611,29145099
2019-01-04,30.8676885451,32.2131531753,30.7604413645,31.8816618896,28557302
2019-01-07,32.8566362594,33.5878670366,32.4763962552,33.1491285703,44841499
2019-01-08,33.6853644736,33.7243634484,31.9889090703,32.8956352341,33434082
2019-01-09,34.0948537089,35.3818198769,34.0461049904,34.5530916627,54147856
2019-01-10,34.3775962761,35.0503285912,34.2021008896,35.0113296164,24437350
2019-01-11,34.5335921753,35.8108085996,34.1338526837,35.1088270534,30469843
2019-01-14,33.8511101165,34.0461049904,33.4026219064,33.802361398,34611955
2019-01-15,34.1436024274,34.348347045,32.8078875409,33.1393788266,30633574
2019-01-16,33.1881275451,33.4708701123,32.6908906165,32.739639335,24890929
2019-01-17,32.3983983056,33.3441234442,31.8426629149,33.0321316459,29398501
2019-01-18,33.3733726753,35.2843224399,33.2076270325,34.865083461,44872405
2019-01-22,34.3678465324,34.3678465324,32.7103901039,33.0223819022,37021938
2019-01-23,33.2563757509,33.8218608854,32.6031429232,33.383122419,31011607
2019-01-24,34.4263449946,36.5030404021,34.221600377,35.6743121878,65094840
2019-01-25,37.1367737424,38.3262424734,36.5615388643,37.985001444,61042704
2019-01-28,36.0253029609,37.985001444,35.73281065,37.1270239987,44213030
2019-01-29,37.3220188726,38.0045009314,36.3177952718,36.4542916836,30330993
2019-01-30,37.34151836,37.7900065701,36.6492865575,37.2830198979,32848056
2019-01-31,36.6882855323,37.8485050323,36.3470445029,37.2635204105,34130464
2019-02-01,37.3512681037,38.8624783768,37.2732701542,38.6089850407,36839947
2019-02-04,38.5602363222,38.6187347844,37.5462629777,38.4822383726,30851483
2019-02-05,38.2579942676,39.3207163306,38.1897460617,38.3847409356,25094026
2019-02-06,39.3889645364,40.9099245532,39.3597153053,40.4809358305,47472616
2019-02-07,39.788704028,40.0226978767,37.9362527256,38.3944906793,40396449
2019-02-08,36.8540311752,37.8095060575,36.5127901458,37.6145111836,35573221
2019-02-11,37.634010671,37.8972537508,36.4250424525,37.6145111836,30356472
2019-02-12,38.404240423,39.7497050532,38.2579942676,39.3889645364,43587923
2019-02-13,39.8277030028,41.2219163515,39.7789542843,40.6369317297,50101676
2019-02-14,40.3541891625,42.0798937968,40.2761912129,41.173167633,41759190
2019-02-15,41.2121666078,41.3389132759,40.3834383935,40.9391737843,28968391
2019-02-19,40.6564312171,41.4266609691,40.4614363431,40.9099245532,25575881
