Date,Open,High,Low,Close,Volume
2019-01-02,34.824,36.09,34.492,35.664,12807665
2019-01-03,35.024,35.598,33.694,33.824,12346210
2019-01-04,34.602,36.298,34.332,35.846,10979400
2019-01-07,36.15,37.6,35.88,37.334,9125325
2019-01-08,37.95,38.33,36.912,37.622,8046000
2019-01-09,37.052,38.258,37.052,38.094,10479960
2019-01-10,37.78,38.188,37.51,38.0,8188870
2019-01-11,37.62,38.39,37.212,38.338,8230075
2019-01-14,37.574,38.216,37.386,37.68,9055665
2019-01-15,37.89,38.064,37.516,37.67,12589260
2019-01-16,37.904,38.558,37.49,37.918,7255105
2019-01-17,37.366,37.888,37.044,37.306,10746780
2019-01-18,37.946,38.29,37.326,38.018,9653155
2019-01-22,37.556,37.936,36.956,37.14,7532185
2019-01-23,37.504,37.964,36.582,36.792,7926725
2019-01-24,36.85,37.494,36.492,37.14,6759115
2019-01-25,37.522,38.254,37.14,38.216,7129100
2019-01-28,37.61,38.032,37.3,37.588,9652170
2019-01-29,37.636,37.764,36.802,36.964,8167645
2019-01-30,37.438,38.842,37.402,38.8,21257445
2019-01-31,42.272,45.682,41.998,44.004,55998265
2019-02-01,43.716,44.368,43.36,44.302,17760360
2019-02-04,44.166,45.176,44.02,45.028,17998710
2019-02-05,45.2,45.88,45.074,45.67,9524330
2019-02-06,45.6,45.9,44.66,45.112,8314430
2019-02-07,44.812,45.608,44.424,45.392,7397510
2019-02-08,45.08,45.758,44.534,45.712,8018935
2019-02-11,45.978,46.45,45.414,45.802,9682115
2019-02-12,46.122,47.362,46.1,46.93,11831055
2019-02-13,47.0,47.498,46.33,46.394,8388045
2019-02-14,46.288,47.168,46.152,46.806,6523615
2019-02-15,47.0,47.34,46.48,46.978,7129255
2019-02-19,46.698,47.092,46.4,46.916,7172325
2019-02-20,47.0,47.098,45.57,45.9,11735200
2019-02-21,45.742,46.248,45.302,46.002,6588105
2019-02-22,46.064,47.22918,46.064,47.0,9904395
2019-02-25,47.5,47.89,47.118,47.4,8060355
2019-02-26,47.168,47.388,46.69,47.242,5921235
2019-02-27,47.16,48.172,47.066,48.062,11071080
2019-02-28,48.034,48.288,47.548,47.888,9464600
2019-03-01,48.462,48.87,47.858,48.704,10279530
2019-03-04,48.92,49.066,45.734,47.394,22077310
2019-03-05,47.514,47.514,46.406,47.2,9700995
2019-03-06,47.09,47.49,46.358,46.622,6074080
2019-03-07,46.474,47.364,46.222,46.674,7886910
2019-03-08,45.86,46.806,45.342,46.79,7637980
2019-03-11,47.102,48.018,47.026,47.972,9959635
2019-03-12,48.03,48.204,47.356,47.742,8468670
2019-03-13,48.112,48.684,47.91,48.078,9427715
2019-03-14,48.81,48.926,48.26,48.318,9734080
2019-03-15,48.274,48.648,48.04,48.378,10268750
2019-03-18,48.506,49.192,48.028,48.196,12057780
2019-03-19,48.452,48.826,48.07,48.392,10956500
2019-03-20,48.6,49.456,47.96,48.918,6054150
2019-03-21,48.744,50.33,48.744,50.19,7660460
2019-03-22,49.8,50.1,48.214,48.242,10074695
2019-03-25,47.758,48.602,47.324,48.34,7765935
2019-03-26,49.008,49.448,48.64,49.0,6755645
2019-03-27,48.964,48.964,47.12,48.274,7893900
2019-03-28,48.746,49.17,48.146,48.666,5847620
2019-03-29,49.3,49.426,48.672,49.298,6949545
