Date,Open,High,Low,Close,Volume
2019-01-02,3.2349681281,3.4291058357,3.2203582751,3.37314267,508753600
2019-01-03,3.3129698856,3.3468944595,3.1619188631,3.1693476019,705551440
2019-01-04,3.2423968669,3.4105339887,3.2116914132,3.3723997961,585619320
2019-01-07,3.429601085,3.5878332217,3.3783427872,3.5509371523,709159200
2019-01-08,3.6324056546,3.6346342762,3.3899811447,3.4625351604,786017160
2019-01-09,3.5137934582,3.5779282366,3.4632780343,3.5306319328,617259000
2019-01-10,3.5113172119,3.604919321,3.4508968029,3.596252459,523156240
2019-01-11,3.5739662426,3.7081787905,3.5462322843,3.6853973248,874762640
2019-01-14,3.6331485284,3.7505226017,3.6096241889,3.7252648897,730169960
2019-01-15,3.7579513405,3.7973236562,3.6928260636,3.711150286,617010040
2019-01-16,3.738388995,3.7713230704,3.6801972076,3.6856449494,470103680
2019-01-17,3.652710874,3.7968284069,3.625472165,3.756960842,493436200
2019-01-18,3.806733392,3.9119738585,3.7552274696,3.8859732727,651336920
2019-01-22,3.8557630682,3.8674014257,3.6537013725,3.683911577,661551040
2019-01-23,3.7391318688,3.8277814853,3.6655873546,3.6967880576,591021800
2019-01-24,3.7812280554,3.9260884623,3.7765231875,3.9085071138,708970440
2019-01-25,3.8490772033,3.9837850004,3.7465606076,3.9657084026,1155221880
2019-01-28,3.3813142827,3.5073552179,3.2438826147,3.4174674783,2511526760
2019-01-29,3.3714092976,3.4196960999,3.2441302393,3.2587400923,1153933880
2019-01-30,3.3347608528,3.4164769798,3.2552733475,3.4021147514,974229560
2019-01-31,3.3988956312,3.5952619605,3.3771046641,3.5596040142,842853520
2019-02-01,3.5781758612,3.6348819008,3.5306319328,3.5838712277,625047000
2019-02-04,3.5997192038,3.7312078808,3.577680612,3.6940641867,528600720
2019-02-05,3.7059501688,3.7497797278,3.6722732195,3.713131283,542425000
2019-02-06,3.746312983,3.8530391973,3.7408652412,3.7886567943,702465880
2019-02-07,3.742350989,3.7445796106,3.6076431919,3.6504822523,637120000
2019-02-08,3.5833759784,3.6797019583,3.56901375,3.6690540994,461605480
2019-02-11,3.6249769158,3.6792067091,3.5781758612,3.6264626635,495180600
2019-02-12,3.6648444807,3.758941839,3.6504822523,3.7433414875,591060520
2019-02-13,3.7728088181,3.8587345637,3.7591894636,3.7856852987,605372080
2019-02-14,3.7846948002,3.8547725697,3.7416081151,3.8265433622,827262960
2019-02-15,4.0350432982,4.0578247639,3.8733444167,3.8961258824,1516749360
2019-02-19,3.8854780234,3.9592701623,3.8664109272,3.8787921585,551892640
2019-02-20,3.9080118645,3.9931947362,3.8968687563,3.9260884623,540989480
2019-02-21,3.9387173183,3.9632321563,3.842638963,3.857248816,448546720
2019-02-22,3.909002363,3.9607559101,3.8953830085,3.9419364384,401741240
2019-02-25,4.0253859377,4.0927398363,3.9208883451,3.9295552071,656019240
2019-02-26,3.9248503391,3.9808135049,3.8567535667,3.8901828914,488462840
2019-02-27,3.875820663,3.9023164981,3.7913806651,3.8483343294,500255240
2019-02-28,3.8421627198,3.8644720517,3.8015101594,3.8238194913,324942600
2019-03-01,3.8736436659,3.9202453815,3.8153915215,3.8781055323,357187120
2019-03-04,3.9165271595,3.9393322544,3.8297686465,3.8862856207,409990000
2019-03-05,3.8706690883,3.9180144483,3.8163830473,3.8798407026,362924760
2019-03-06,3.8709169698,3.8793449396,3.7663109912,3.7690376874,403525960
2019-03-07,3.7454889481,3.7551563253,3.6537728058,3.6998787584,450105320
2019-03-08,3.6106414307,3.7447453037,3.5893236247,3.7340864007,422414840
2019-03-11,3.7576351399,4.0171670346,3.7105376614,3.9943619398,859726000
2019-03-12,4.0221246639,4.0749234161,3.9460250539,4.028569582,579574720
2019-03-13,4.0659996834,4.2090272891,4.0585632394,4.1797772762,768900720
2019-03-14,4.1889488904,4.2008472008,4.0962412222,4.1039255476,519385200
2019-03-15,4.1470569227,4.2519107827,4.1435865822,4.2092751706,661459280
2019-03-18,4.2407561168,4.2945463948,4.1609382848,4.1879573645,486993160
2019-03-19,4.282400203,4.3998960178,4.2655442633,4.3555252354,854972400
2019-03-20,4.3845273669,4.4378218821,4.2883493582,4.3230527634,719148600
2019-03-21,4.3461057397,4.5858071171,4.3411481104,4.5595316818,824310680
2019-03-22,4.5322647205,4.5808494878,4.3860146557,4.3998960178,747643480
2019-03-25,4.3592434574,4.423444757,4.2414997612,4.3076841125,525212040
2019-03-26,4.4492244295,4.5052456408,4.3280103927,4.3842794854,703507120
2019-03-27,4.4098112764,4.4561651105,4.3057010608,4.3751078712,474371760
2019-03-28,4.4011354251,4.4593875696,4.3406523475,4.3936989811,480264080
2019-03-29,4.4603790954,4.4752519834,4.4100591579,4.4509595997,456895160
2019-04-01,4.5426757421,4.5486248973,4.4710379985,4.5183833584,483824480
2019-04-02,4.5424278606,4.5806016064,4.499544367,4.536230824,440919840
2019-04-03,4.5858071171,4.7345359966,4.5808494878,4.6755402078,788778720
2019-04-04,4.6601715569,4.7090042056,4.6039024641,4.666616475,457376760
2019-04-05,4.70974785,4.7506482919,4.6733092746,4.7332965893,481745960
2019-04-08,4.702807169,4.7791546605,4.6787626668,4.7541186324,424193920
2019-04-09,4.7206546345,4.7318093005,4.6492647724,4.6914046216,439972800
2019-04-10,4.6906609772,4.7875826303,4.6861991108,4.7618029578,444772280
2019-04-11,4.7642817725,4.7957627187,4.6985931841,4.7479215958,374601480
2019-04-12,4.7865911044,4.7905572079,4.7013198802,4.7099957315,471706560
2019-04-15,4.7023114061,4.7072690354,4.5387096386,4.5783706732,440093800
2019-04-16,4.6175359448,4.6842160591,4.5848155913,4.6653770677,394963640
2019-04-17,4.7003283543,4.7211503975,4.6202626409,4.6425719728,351002720
2019-04-18,4.6492647724,4.6832245332,4.5902689835,4.6180317077,380988160
2019-04-22,4.5944829684,4.6874385181,4.5630020223,4.6718219858,279935520
2019-04-23,4.6849597035,4.7575889729,4.6752923263,4.7263559082,346855240
2019-04-24,4.7367669298,4.7794025419,4.6760359707,4.7387499815,318204800
2019-04-25,4.6985931841,4.720902516,4.5535825266,4.6331524771,499297480
2019-04-26,4.4794659683,4.4839278347,4.2957858022,4.4145210243,868989160
2019-04-29,4.4224532312,4.4730210502,4.3503197246,4.445258326,391919320
2019-04-30,4.4130337355,4.5121863218,4.3939468626,4.4866545308,362921600
2019-05-01,4.5389575201,4.5810973693,4.4732689317,4.4735168131,354281240
2019-05-02,4.4831841903,4.5825846581,4.4400528153,4.5409405718,394685400
2019-05-03,4.5493685417,4.5592838003,4.4750041019,4.5364787054,336823480
2019-05-06,4.3503197246,4.4702943541,4.3131375048,4.4581481623,422177800
2019-05-07,4.4098112764,4.4098112764,4.2429870499,4.2910760543,555218320
2019-05-08,4.2635612116,4.3912201665,4.2516629013,4.311154453,419166160
2019-05-09,4.2422434056,4.2519107827,4.0999594442,4.2186946663,660246560
2019-05-10,4.1879573645,4.2533980715,4.065256039,4.1847349055,569498040
2019-05-13,4.0528619657,4.075914942,3.9118174117,3.9276818255,656912760
2019-05-14,3.96734286,4.0518704398,3.9286733513,4.0166712717,524878880
2019-05-15,3.9611458233,3.9921310066,3.901902153,3.9556924311,502320040
2019-05-16,3.9502390388,4.0134488126,3.9078513082,3.9708132005,781088160
2019-05-17,3.9289212328,4.0580674765,3.840675431,3.880088584,1022067920
2019-05-20,3.7814317606,3.8364614461,3.7368130968,3.7616012434,572065360
2019-05-21,3.8223322025,3.8595144224,3.7836626938,3.8436500086,361849880
2019-05-22,3.8049804999,3.8310080538,3.7618491248,3.7727559093,325869600
2019-05-23,3.7105376614,3.7105376614,3.5920503208,3.651789754,591844360
2019-05-24,3.6706287454,3.7058279136,3.5913066764,3.597999476,357585280
2019-05-28,3.61559906,3.6483194135,3.5509019975,3.5528850492,428354080
2019-05-29,3.5052918078,3.5402430944,3.4440650857,3.4787684909,559801480
2019-05-30,3.4820251626,3.5177611489,3.4140275221,3.4522451741,394299600
2019-05-31,3.4033563595,3.4706095004,3.3599272095,3.3616643755,389719680
2019-06-03,3.3728318712,3.4115458564,3.2906887361,3.3199723915,478643200
2019-06-04,3.383999367,3.5539934683,3.3619125421,3.5487819703,641835400
2019-06-05,3.622487442,3.6279471066,3.4698650006,3.5060973201,511615400
2019-06-06,3.5103161518,3.5927074535,3.5078344861,3.5681389629,408138480
2019-06-07,3.5740949606,3.6450706,3.5549861346,3.6108236132,348857520
2019-06-10,3.6669092583,3.7520303923,3.6669092583,3.6835364186,402780880
2019-06-11,3.7433445623,3.7810658811,3.7016525783,3.7411110631,383870040
2019-06-12,3.6976819131,3.7038860774,3.6130571123,3.6281952732,358891920
2019-06-13,3.650282098,3.6976819131,3.6326622714,3.6793175869,308081080
2019-06-14,3.5862551226,3.6105754466,3.5448113052,3.589481288,394426240
2019-06-17,3.587744122,3.6361366034,3.5649127975,3.5991597843,276041480
2019-06-18,3.6604569274,3.8493116882,3.6495375983,3.7939705428,581918000
2019-06-19,3.829210196,3.8405464449,3.7739633538,3.7999265405,331643960
2019-06-20,3.8905073391,3.9044046671,3.8098532034,3.8242468645,350167280
2019-06-21,3.8093568702,3.8584938514,3.759723556,3.7661758868,434426880
2019-06-24,3.787518212,3.8180427002,3.7403665634,3.7885108783,282948720
2019-06-25,3.7934742097,3.8684205142,3.7564973906,3.7592272228,311866440
2019-06-26,3.8865366739,4.0133497919,3.8736320122,3.9523008153,584073000
2019-06-27,4.0379182825,4.0699317702,4.0019341296,4.0508229442,445441520
2019-06-28,4.0947484273,4.1039305904,4.0289842859,4.0756396013,397666360
2019-07-01,4.2826105218,4.3168575087,4.0863107639,4.1237839162,711533080
2019-07-02,4.1071567559,4.1282509144,4.0128534588,4.026006287,400227520
2019-07-03,4.0493339447,4.0550417759,3.9791028051,4.0389109487,246634240
2019-07-05,3.9805918045,3.9850588028,3.9130904971,3.9763729728,396553880
2019-07-08,3.9168129956,3.9356736551,3.8713985131,3.9014266682,329786760
2019-07-09,3.8592383511,3.9319511565,3.846581856,3.9039083339,342860480
2019-07-10,3.9473374839,4.029480619,3.9334401559,3.9721541411,452075960
2019-07-11,4.045115113,4.1672130661,4.0078901273,4.1265137484,682558560
2019-07-12,4.1543084044,4.2304955418,4.1543084044,4.1595199024,506392640
2019-07-15,4.180614061,4.1967448881,4.1227912499,4.151082239,289839720
2019-07-16,4.1361922447,4.1734172304,4.0907777622,4.1463670741,341443920
2019-07-17,4.1481042401,4.2185835464,4.1188205847,4.2116348824,348204280
2019-07-18,4.2220578784,4.2860848538,4.1654759001,4.2232987113,443178960
2019-07-19,4.2615163633,4.2679686941,4.1741617301,4.1801177278,344895800
2019-07-22,4.201460053,4.2644943621,4.1940150558,4.2515897004,315939920
2019-07-23,4.2908000187,4.3612793249,4.2751655247,4.3592939924,428176560
2019-07-24,4.4024749758,4.4394517949,4.3265360049,4.4337439638,366237480
2019-07-25,4.3923001464,4.4049566415,4.2793843564,4.3027120141,392698120
2019-07-26,4.3297621704,4.3913074801,4.3297621704,4.3446521647,274159880
2019-07-29,4.3374553341,4.3545788275,4.2503488675,4.3384480004,248161960
2019-07-30,4.2920408515,4.3662426564,4.2776471904,4.3540824944,197770440
2019-07-31,4.3225653398,4.3235580061,4.1448780747,4.1870663918,359415640
2019-08-01,4.1974893878,4.2878220198,4.0406481147,4.0927630947,421212560
2019-08-02,4.0001969636,4.069435437,3.9527971485,4.0001969636,428349280
2019-08-05,3.8168018674,3.8180427002,3.6952002474,3.7421037294,589157440
2019-08-06,3.8168018674,3.8622163499,3.7331697328,3.7808177145,361270680
2019-08-07,3.7200169046,3.830947362,3.7026452446,3.8190353665,372561800
2019-08-08,3.8766100111,3.9287249911,3.8192835331,3.9274841582,309298880
2019-08-09,3.8865366739,3.8900110059,3.7758543831,3.8262321971,341816720
2019-08-12,3.7741172171,3.8262321971,3.7366440648,3.7584827231,279200480
2019-08-13,3.7569937237,3.9185501616,3.718031572,3.8726393459,360512440
2019-08-14,3.7845402131,3.7957077088,3.6805584197,3.7242357363,419881320
2019-08-15,3.7430963957,3.7629497214,3.6577270952,3.691974082,554462040
2019-08-16,3.9545343145,4.0088827936,3.8932371714,3.9597458125,1015385120
2019-08-19,4.072909769,4.2540713661,4.0567789419,4.2381887055,816322440
2019-08-20,4.232729041,4.2332253741,4.1448780747,4.1659722333,463521600
2019-08-21,4.2319845413,4.3044491801,4.2103940496,4.2493562013,427910920
