Date,Open,High,Low,Close,Volume
2019-01-02,81.6757102234,85.4630519696,81.5369071228,85.0168991461,10146197
2019-01-03,83.6387826469,84.0254484272,81.2097283855,81.3881895149,9650676
2019-01-04,82.9943396796,86.1669819801,82.6572464351,85.53245352,9234825
2019-01-07,85.6811711278,86.8015104402,85.2845908402,86.1868109944,11094140
2019-01-08,87.3567228428,88.1350116571,86.9403135408,87.9416787669,8307637
2019-01-09,88.050738346,89.5428716779,87.7433886231,88.784411878,9578323
2019-01-10,88.3382590545,90.0138107694,87.1663643047,89.9245802047,7478123
2019-01-11,89.3396242806,90.3647843239,89.3297097734,89.8750076688,7398181
2019-01-14,89.1909066727,90.0336397838,88.784411878,89.6568885106,6084735
2019-01-15,89.8650931616,91.1242355746,89.4189403381,90.8168858517,10377929
2019-01-16,90.935859938,91.5604738909,89.4387693525,89.7758625969,8475025
2019-01-17,89.4784273812,90.0931268269,89.0421890649,89.6271449891,10254547
2019-01-18,90.569023172,90.6582537367,89.0124455433,90.3409895067,11958388
2019-01-22,89.5577434387,90.1922718988,88.3283445473,89.1710776584,7890273
2019-01-23,89.9642382335,90.3905620426,88.8042408924,89.7262900609,5596051
2019-01-24,89.8948366832,92.195002351,89.7758625969,91.4117562831,9749072
2019-01-25,92.2544893941,93.7714089941,91.8975671353,93.4739737784,11664736
2019-01-28,92.5023520739,92.6213261601,89.9146656975,91.510901355,7361144
2019-01-29,91.5406448765,92.0561992504,89.7956916113,90.3409895067,6399936
2019-01-30,91.2332951537,92.5420101026,90.1228703485,91.6298754412,11622819
2019-01-31,88.258942997,89.3197952662,85.8794612716,88.00116581,23729880
2019-02-01,87.6045855225,89.7262900609,87.4955259434,89.2404792087,10514645
2019-02-04,89.1115906152,91.3324402256,88.943043993,90.8763728949,7084477
2019-02-05,91.1242355746,91.5604738909,90.5789376792,91.4811578334,5591260
2019-02-06,90.0237252766,91.5009868478,89.4189403381,91.461328819,5939421
2019-02-07,90.3310749995,90.9259454308,89.2404792087,90.0732978126,7283827
2019-02-08,89.2503937159,91.1242355746,89.2305647015,91.0845775458,7642107
2019-02-11,91.461328819,92.9485048974,91.3621837471,91.8975671353,6455938
2019-02-12,92.6411551745,93.7020074438,92.403207002,93.5731188503,7497035
2019-02-13,93.7813235013,95.2189270437,93.041701265,93.2062820843,8577942
2019-02-14,92.8493598255,94.1779037888,92.3040619301,93.6127768791,6579170
2019-02-15,94.187818296,94.6141421051,93.6425204006,94.0985877313,6080181
2019-02-19,93.6425204006,94.4852535117,93.2558546202,94.2076473104,8092379
2019-02-20,94.187818296,94.9016628136,93.1765385627,93.9201266019,8154094
2019-02-21,93.9102120947,94.6934581627,93.5235463143,94.1481602673,6410003
2019-02-22,94.4257664686,95.1792690149,94.2572198463,95.1594400005,4898247
2019-02-25,95.2486705652,96.4721207524,95.1792690149,95.8732845182,7470730
2019-02-26,95.5163622593,95.9922586044,94.713287177,95.7642249391,5906401
2019-02-27,95.288328594,97.2018284815,95.1098674646,97.0233673521,5565391
2019-02-28,96.8250772083,97.6826820802,96.2500357913,97.2315720031,6151847
2019-03-01,98.0743051141,98.5997739951,97.4992636972,97.9553310279,5434436
2019-03-04,97.1919139743,97.6578958122,94.5249115404,95.7443959247,7855772
2019-03-05,95.8237119822,96.3095228345,95.3279866228,95.7047378959,6321889
2019-03-06,95.6948233888,96.4483259351,95.0900384502,95.6353363456,3226530
2019-03-07,95.3478156371,95.9228570541,94.4852535117,95.3874736659,6170276
2019-03-08,94.2274763248,94.9512353496,93.7020074438,94.8719192921,4578084
2019-03-11,95.1891835221,96.7358466436,95.1336622819,96.6168725573,5387479
2019-03-12,97.1621704527,97.2414865102,96.0715746619,96.6664450933,5624849
2019-03-13,97.3604605965,99.7300278147,97.3009735534,98.4609708945,9356601
2019-03-14,98.6096885023,98.8178931533,98.0842196213,98.1833646932,5414658
2019-03-15,98.5502014592,100.3942997964,98.4807999089,99.8688309153,10960863
2019-03-18,100.3447272604,100.9594267061,98.5204579376,99.4127635846,6454037
2019-03-19,99.7399423219,100.8156663519,99.7399423219,100.6719059977,6965119
2019-03-20,100.582675433,102.1689965832,99.9778904944,101.4353230512,6462929
2019-03-21,101.2766909362,103.6660871688,101.2122466395,103.259592374,7216748
2019-03-22,102.9819861727,103.1108747662,100.3843852892,100.4042143036,7194999
2019-03-25,100.0770355663,101.3064344578,99.6507117572,100.6818205048,5117698
2019-03-26,101.4650665728,102.4019875021,100.8801106486,102.2681416551,4498014
2019-03-27,102.317714191,103.2794213884,100.8701961414,102.1888255976,5450156
2019-03-28,102.5655768708,103.1207892734,101.79224531,102.9720716655,4466587
2019-03-29,103.62642914,103.8048902694,102.575491378,102.9522426511,5625544
2019-04-01,104.0924109779,104.8558280314,102.9621571583,104.6476233805,6157204
2019-04-02,104.8558280314,104.8558280314,103.7652322406,104.3303591504,4177507
2019-04-03,105.0045456393,105.0640326824,103.5966856184,103.7949757622,5442449
2019-04-04,103.8048902694,104.0725819635,101.7724162956,103.5669420969,7996830
2019-04-05,103.94369337,104.8954860602,103.7255742119,104.8260845099,8573757
2019-04-08,104.7566829595,106.0852269229,103.7751467478,105.6589031138,9261995
2019-04-09,105.1532632471,106.5908667895,104.9252295818,106.0158253726,7217072
2019-04-10,106.2339445307,106.8486439764,105.4804419843,106.5908667895,6561918
2019-04-11,106.5908667895,106.8189004549,105.0045456393,105.5498435347,7681003
2019-04-12,106.1149704444,107.61206103,105.5002709987,107.5525739869,6998048
2019-04-15,107.6517190588,108.0681283607,106.3925766457,107.2154807424,4480406
2019-04-16,107.8698382169,107.8698382169,106.6602683398,107.2749677856,3766267
2019-04-17,106.8833447516,107.92932526,106.3330896026,107.8797527241,5354021
2019-04-18,107.4335999006,107.5228304653,104.1816415426,106.4421491817,10220713
2019-04-22,105.8770222719,106.2636880523,105.1136052184,105.8968512863,6408498
2019-04-23,106.1843719948,106.5908667895,105.5300145203,105.986081851,8564219
2019-04-24,106.194286502,107.4633434222,105.5101855059,106.303346081,9553117
2019-04-25,107.5922320156,109.971713741,107.5922320156,109.2776982378,10959443
2019-04-26,108.7819728783,109.6247059894,106.9577035555,109.6147914822,7683160
2019-04-29,109.7535945828,112.0339312363,109.4958173959,111.4787188337,6989300
2019-04-30,111.4787188337,112.2520503945,110.2493199423,111.805897571,6489380
2019-05-01,112.2421358873,112.7180322324,109.971713741,109.9915427554,5444708
2019-05-02,109.6544495109,110.2096619135,107.978897796,108.7621438639,5272425
2019-05-03,109.6247059894,111.1614546037,109.3074417593,111.0028224887,4660901
2019-05-06,108.504366677,110.1700038848,107.6517190588,109.9023121907,4722565
2019-05-07,109.2281257018,109.2281257018,106.719755383,108.0185558247,6178708
2019-05-08,107.6517190588,108.9406049933,107.2253952496,108.137529911,4118033
2019-05-09,107.1758227137,109.1914420252,106.3311067012,108.7918873855,4657418
2019-05-10,108.2862475189,109.7337655685,106.5412942536,109.4660738743,3750890
2019-05-13,106.6800973542,107.7012915947,105.6093305778,105.9166803007,5657900
