Date,Open,High,Low,Close,Volume
2019-01-02,13.4,13.914,13.117,13.76,12326090
2019-01-03,13.476,13.626,12.948,12.979,12194840
2019-01-04,13.451,13.95,13.316,13.806,13662240
2019-01-07,13.965,14.585,13.874,14.439,12603350
2019-01-08,14.764,14.982,14.401,14.544,13677020
2019-01-09,14.65,15.033,14.44,14.862,12759320
2019-01-10,14.631,14.997,14.458,14.827,9653060
2019-01-11,14.731,15.0,14.671,14.943,6852770
2019-01-14,14.727,14.993,14.469,14.91,14556410
2019-01-15,14.959,15.554,14.959,15.43,16382100
2019-01-16,15.57,15.859,15.33,15.825,21423070
2019-01-17,15.66,15.998,15.582,15.769,12428360
2019-01-18,16.0,16.023,15.769,15.843,11429190
2019-01-22,15.723,15.857,15.41,15.628,10367110
2019-01-23,15.82,16.02,15.448,15.66,7934790
2019-01-24,15.648,15.94,15.625,15.841,6552340
2019-01-25,16.0,16.364,15.9785,16.282,9805310
2019-01-28,15.968,16.1182,15.838,15.944,8072200
2019-01-29,16.0,16.05,15.452,15.711,10408720
2019-01-30,15.997,16.298,15.8,16.243,7126700
2019-01-31,16.247,16.96,16.192,16.847,16618900
2019-02-01,16.836,17.1,16.751,17.059,12484020
2019-02-04,17.062,17.465,17.026,17.355,11719750
2019-02-05,17.365,17.688,17.336,17.357,9699370
2019-02-06,17.237,17.45,17.07,17.36,7363560
2019-02-07,17.128,17.418,17.1088,17.18,14081950
2019-02-08,17.022,17.699,16.96,17.595,9795380
2019-02-11,17.805,18.0,17.2935,17.317,22201270
2019-02-12,16.365,17.589,16.063,17.555,59279540
2019-02-13,17.819,18.0,17.104,17.202,29826870
2019-02-14,17.109,17.724,16.956,17.652,16075520
2019-02-15,17.71,17.872,17.371,17.819,11292380
2019-02-19,17.704,18.507,17.704,18.13,22830020
2019-02-20,18.165,18.419,17.746,17.921,13306480
2019-02-21,17.964,18.0359,17.718,17.847,9744320
2019-02-22,18.0,18.366,17.93568,18.363,10176260
2019-02-25,18.582,18.876,18.448,18.75,12715900
2019-02-26,18.608,18.793,18.385,18.503,10454390
2019-02-27,18.517,18.926,18.48,18.92,9083690
2019-02-28,18.828,19.113,18.749,18.915,8654370
2019-03-01,19.085,19.278,18.9292,19.152,11263160
2019-03-04,19.238,19.4803,18.237,18.647,16061810
2019-03-05,18.657,18.916,18.435,18.75,10058470
2019-03-06,18.75,18.877,18.411,18.737,7239140
2019-03-07,18.651,19.038,18.48,18.694,7349270
2019-03-08,18.218,19.0,18.1,18.976,12627440
2019-03-11,19.099,20.074,19.099,20.039,20584830
2019-03-12,20.1,20.379,19.705,20.247,13289740
2019-03-13,20.35,20.695,20.236,20.551,11775230
2019-03-14,20.432,20.959,20.339,20.823,12190340
2019-03-15,20.887,20.941,20.36198,20.598,23376280
2019-03-18,20.45,20.592,20.145,20.577,12487970
2019-03-19,20.77,20.8,19.7653,20.209,22154000
2019-03-20,20.053,20.31,19.873,20.134,14016420
2019-03-21,20.032,20.52,19.8815,20.5,17210760
2019-03-22,20.44,20.469,19.861,19.875,15300890
2019-03-25,19.805,20.275,19.647,20.145,12576420
2019-03-26,20.363,20.741,20.273,20.437,11659750
2019-03-27,20.566,20.572,19.661,20.008,10204150
2019-03-28,20.083,20.375,19.7,20.345,11197370
2019-03-29,20.588,20.75,20.319,20.662,8103600
2019-04-01,20.843,21.01,20.312,20.604,11032310
2019-04-02,20.56,20.605,19.845,20.146,24548560
2019-04-03,20.198,20.58,19.889,20.512,20110240
2019-04-04,20.454,20.501,19.038,19.475,47648190
2019-04-05,19.559,19.802,19.489,19.665,14899330
2019-04-08,19.665,20.089,19.532,20.024,12912940
2019-04-09,19.826,20.422,19.7341,20.396,12482030
2019-04-10,20.436,20.744,20.251,20.65,8802570
2019-04-11,20.758,21.154,20.631,21.099,13347160
2019-04-12,21.282,21.493,21.211,21.483,11969510
2019-04-15,21.483,21.99,21.362,21.803,17597600
2019-04-16,21.978,22.182,21.361,21.54,13381970
2019-04-17,21.68,21.833,21.131,21.705,10641810
2019-04-18,21.713,22.078,21.313,22.072,12876940
2019-04-22,22.0,22.599,21.917,22.429,13165760
2019-04-23,22.65,22.739,22.21,22.344,18813060
2019-04-24,22.46,22.46,21.8624,21.981,20233170
2019-04-25,22.069,22.219,21.662,21.897,16674640
2019-04-26,21.9,22.518,21.9,22.228,13887010
2019-04-29,22.533,22.874,22.353,22.579,19403270
2019-04-30,22.644,24.75,22.644,24.353,62234090
2019-05-01,24.285,25.2302,23.739,24.516,31866590
2019-05-02,24.588,26.082,24.55,25.554,40541590
2019-05-03,25.9,26.64,25.479,26.403,33499410
2019-05-06,25.72,26.672,25.512,26.552,29169460
2019-05-07,26.436,26.65,25.47,25.869,25893640
2019-05-08,25.87,26.462,25.751,26.151,18474750
2019-05-09,25.888,26.136,25.412,26.062,18312840
2019-05-10,26.043,26.299,25.264,25.883,16752800
2019-05-13,24.791,25.3063,24.562,25.079,19388220
2019-05-14,24.5,25.402,24.223,25.315,20971370
2019-05-15,25.061,26.542,25.004,26.416,19316350
2019-05-16,26.536,27.948,26.51,27.801,29756670
2019-05-17,27.668,27.944,27.158,27.35,16674750
2019-05-20,27.003,27.3,26.474,26.719,18561480
2019-05-21,27.204,27.3598,26.951,27.281,11103510
2019-05-22,27.171,28.095,27.139,27.9,12520420
2019-05-23,27.5,27.798,26.8,27.162,15303240
2019-05-24,27.45,27.888,27.2515,27.585,11636670
2019-05-28,27.835,28.596,27.83,28.243,15389150
2019-05-29,28.0,28.03,27.052,27.268,16738420
2019-05-30,27.51,27.782,27.08,27.705,12909360
2019-05-31,27.336,27.897,27.216,27.49,10877850
2019-06-03,27.428,27.751,26.217,26.5,25357640
2019-06-04,26.847,27.41,26.411,27.4,16030450
2019-06-05,27.722,29.286,27.712,29.252,23421350
2019-06-06,29.184,29.911,28.901,29.706,18673140
2019-06-07,29.866,30.937,29.84,30.505,23447170
2019-06-10,30.915,31.56,30.444,30.673,17160890
2019-06-11,30.96,31.151,29.857,30.671,18477840
2019-06-12,30.448,31.27,30.2,31.014,11246360
2019-06-13,31.291,31.4095,30.564,30.699,10433650
2019-06-14,30.541,30.642,30.194,30.511,7514000
2019-06-17,30.445,30.788,30.305,30.585,7034600
2019-06-18,31.0,31.138,30.374,30.421,11048730
2019-06-19,30.551,32.769,30.24,32.702,29801580
2019-06-20,33.15,33.894,32.6,32.801,31088490
2019-06-21,32.8,33.137,32.41,32.685,14459820
2019-06-24,32.334,32.448,31.105,31.183,21796410
2019-06-25,30.699,30.963,28.175,28.404,49580190
2019-06-26,28.902,29.552,28.169,28.903,23339980
2019-06-27,29.05,30.244,28.95,30.096,18145410
2019-06-28,30.33,30.429,29.234,30.015,15008940
2019-07-01,30.86,30.877,30.033,30.468,13471610
2019-07-02,30.539,31.466,30.5,31.196,12989200
2019-07-03,31.089,31.834,31.028,31.333,9663760
2019-07-05,31.101,31.393,30.341,31.372,13183170
2019-07-08,31.444,32.98,31.296,32.1,25487360
2019-07-09,32.241,32.443,31.95,32.198,17407200
2019-07-10,32.453,32.699,31.851,31.901,12760410
2019-07-11,31.9,31.9789,31.424,31.5,12383360
2019-07-12,31.5,31.5778,30.257,31.002,20247950
2019-07-15,30.994,32.429,30.6017,32.402,18412850
2019-07-16,32.366,32.48,31.587,31.739,13372300
2019-07-17,31.932,33.695,31.9033,32.532,37482360
2019-07-18,32.575,33.326,32.261,33.115,16998090
2019-07-19,33.315,33.9,32.968,33.0,14788760
2019-07-22,33.192,34.0836,33.151,33.524,18722410
2019-07-23,33.7,33.896,32.86,33.022,16640910
2019-07-24,33.051,33.1826,32.411,32.957,18889440
2019-07-25,33.091,33.874,32.7746,33.334,14983990
2019-07-26,33.294,33.897,33.232,33.654,11201670
2019-07-29,33.635,33.703,31.3531,31.971,22233580
2019-07-30,31.4,32.234,31.036,31.43,17761420
2019-07-31,31.651,32.098,31.036,31.788,18363370
2019-08-01,33.401,35.079,32.801,34.139,46127750
2019-08-02,34.123,34.123,32.267,33.219,19805900
2019-08-05,31.387,32.75,31.339,32.139,23913170
2019-08-06,32.741,33.338,32.44,33.267,17726310
2019-08-07,33.008,34.283,32.853,34.131,17678760
2019-08-08,34.401,35.858,34.234,35.781,18851710
2019-08-09,35.45,37.163,35.425,36.995,23613610
2019-08-12,36.7,37.236,36.125,36.673,20271600
2019-08-13,36.4,37.07,35.533,36.923,19334100
2019-08-14,36.037,36.694,34.755,35.28,23977040
2019-08-15,35.5,35.95,34.768,35.107,15822200
2019-08-16,35.609,36.107,35.1458,35.874,13206250
2019-08-19,36.374,36.591,35.911,36.183,12007170
2019-08-20,36.146,37.63,35.932,37.497,20738560
2019-08-21,38.143,39.145,37.75,38.983,24248140
2019-08-22,39.188,39.283,38.002,38.854,20875110
2019-08-23,38.799,40.1164,38.125,38.275,29127990
2019-08-26,38.861,39.796,38.412,39.596,19982230
2019-08-27,40.27,40.961,39.85,40.699,28082610
2019-08-28,40.637,40.788,39.082,39.48,27459700
2019-08-29,40.225,40.3,39.171,39.171,24111820
2019-08-30,39.362,39.444,37.173,38.539,29263480
2019-09-03,38.4,39.28,38.02,38.391,19788780
2019-09-04,38.97,39.149,38.25,38.649,13406210
2019-09-05,38.77,39.2995,38.038,39.272,22194230
2019-09-06,39.349,39.575,38.014,38.042,17204250
2019-09-09,38.402,38.402,35.0325,35.867,45110980
2019-09-10,35.25,35.531,33.509,33.724,52454420
2019-09-11,33.84,35.07,33.61,34.751,32084450
2019-09-12,35.497,36.082,35.111,35.663,30752740
2019-09-13,35.653,35.75,33.764,33.831,26735480
2019-09-16,32.851,34.345,32.451,33.793,28197720
2019-09-17,32.459,33.473,32.343,32.882,55523920
2019-09-18,33.107,33.189,31.755,32.585,27120590
2019-09-19,32.834,33.185,32.122,32.5,18003660
2019-09-20,32.499,33.09,31.2,31.882,27918580
2019-09-23,31.778,32.547,31.0714,31.326,24972850
2019-09-24,31.356,31.584,28.757,29.547,52975480
2019-09-25,29.2,31.5825,28.607,31.46,54937170
2019-09-26,31.482,31.619,30.236,31.314,29430890
2019-09-27,31.4,31.64,30.171,30.569,21913660
2019-09-30,30.469,31.649,30.203,31.166,20720210
2019-10-01,31.166,32.0,30.88,31.322,20159390
2019-10-02,30.964,31.117,30.07,31.036,22145280
2019-10-03,31.144,32.66,30.4176,32.557,31418110
2019-10-04,32.747,33.045,32.01,32.72,27658010
2019-10-07,32.682,33.157,32.216,32.632,14085720
2019-10-08,32.25,32.569,31.08,31.105,19754120
2019-10-09,31.35,31.671,31.167,31.385,14548590
2019-10-10,31.447,32.929,31.101,32.447,21821360
2019-10-11,33.087,33.733,32.446,32.926,22696850
2019-10-14,32.899,34.603,32.867,34.43,21265650
2019-10-15,34.71,34.944,34.37,34.608,20381920
2019-10-16,34.201,34.365,32.224,32.364,24925910
2019-10-17,32.65,33.392,32.4,33.134,16872520
2019-10-18,33.2,33.5,31.213,31.434,26675990
2019-10-21,31.7,32.656,31.161,31.973,18059820
2019-10-22,32.35,32.68,29.53,29.969,30965330
2019-10-23,29.821,30.9772,29.106,29.714,23711940
2019-10-24,30.196,32.424,30.103,32.334,31692420
2019-10-25,31.672,32.136,30.912,31.745,22520260
2019-10-28,32.249,32.918,31.282,32.493,28563270
2019-10-29,30.6,32.188,29.864,31.252,53611030
2019-10-30,31.332,31.994,30.846,31.912,20540440
2019-10-31,31.641,31.985,30.874,31.357,17899970
2019-11-01,31.625,32.208,31.287,31.676,16038320
2019-11-04,31.838,32.1,30.377,30.791,26271590
2019-11-05,30.809,30.905,29.4462,29.55,28237710
2019-11-06,29.692,30.07,29.151,29.502,16409790
2019-11-07,29.555,29.749,28.244,28.575,24516420
2019-11-08,28.208,29.881,28.208,29.764,24808280
2019-11-11,29.604,30.52,29.346,30.332,17491070
2019-11-12,30.182,31.0749,30.182,30.556,16763900
2019-11-13,30.5,31.484,30.264,31.431,19758480
2019-11-14,31.432,31.989,30.9355,31.245,16796980
2019-11-15,31.493,31.531,30.97,31.238,10462250
2019-11-18,31.273,32.583,31.035,32.298,17458730
2019-11-19,32.323,32.578,31.451,31.628,14487730
2019-11-20,31.438,32.5118,31.2,31.705,16687190
2019-11-21,31.75,32.198,31.42,31.607,13601810
2019-11-22,31.876,32.0,30.9733,31.452,11260970
2019-11-25,31.509,31.874,31.232,31.707,13740740
2019-11-26,31.794,33.717,31.708,33.619,28829660
2019-11-27,33.751,34.265,33.008,34.1,24135480
2019-11-29,33.99,34.4,33.551,33.675,12067490
2019-12-02,33.6,33.6,31.1532,33.084,29875760
2019-12-03,32.101,35.131,32.0,35.066,32747040
