Date,Open,High,Low,Close,Volume
2019-01-02,20.4066666667,21.0086666667,19.92,20.6746666667,174879720
2019-01-03,20.4666666667,20.6266666667,19.8253333333,20.024,104477760
2019-01-04,20.4,21.2,20.182,21.1793333333,110911740
2019-01-07,21.448,22.4493333333,21.1833333333,22.3306666667,113268375
2019-01-08,22.7973333333,22.934,21.8013333333,22.3566666667,105127740
2019-01-09,22.3666666667,22.9,22.098,22.5686666667,81494175
2019-01-10,22.2933333333,23.026,22.1193333333,22.998,90845310
2019-01-11,22.806,23.2273333333,22.5846666667,23.1506666667,75585780
2019-01-14,22.8253333333,22.8333333333,22.2666666667,22.2933333333,78709260
2019-01-15,22.3333333333,23.2533333333,22.3,22.962,90848850
2019-01-16,22.9853333333,23.4666666667,22.9,23.07,70376085
2019-01-17,23.0806666667,23.4333333333,22.9433333333,23.154,55150995
2019-01-18,21.5333333333,21.8086666667,19.982,20.1506666667,362261445
2019-01-22,20.3213333333,20.5333333333,19.7,19.928,181001115
2019-01-23,19.5,19.6333333333,18.7793333333,19.1726666667,187949895
2019-01-24,18.8686666667,19.5786666667,18.6186666667,19.434,120182325
2019-01-25,19.626,19.9013333333,19.3033333333,19.8026666667,108871170
2019-01-28,19.5273333333,19.8306666667,19.1833333333,19.7586666667,96349185
2019-01-29,19.6846666667,19.904,19.4533333333,19.8306666667,69325380
2019-01-30,20.03,20.6,19.8993333333,20.5846666667,168754770
2019-01-31,20.0666666667,20.7706666667,19.6,20.468,188538675
2019-02-01,20.3613333333,21.0733333333,20.2333333333,20.814,109251615
2019-02-04,20.8653333333,21.02,20.1253333333,20.8593333333,110281230
2019-02-05,20.8326666667,21.496,20.8166666667,21.4233333333,101141475
2019-02-06,21.306,21.616,21.0413333333,21.148,75578190
2019-02-07,20.8866666667,20.98,20.2,20.5006666667,97809165
2019-02-08,20.4553333333,20.4966666667,19.9,20.3866666667,87663180
2019-02-11,20.7733333333,21.24,20.7,20.856,106945695
2019-02-12,21.08,21.2126666667,20.6413333333,20.7873333333,82763550
2019-02-13,20.8233333333,20.85,20.3713333333,20.5446666667,77124255
2019-02-14,20.2253333333,20.4513333333,20.0666666667,20.2513333333,78012480
2019-02-15,20.3,20.5333333333,20.26,20.5253333333,58574205
2019-02-19,20.4373333333,20.7693333333,20.3646666667,20.376,62526645
2019-02-20,20.294,20.42,19.9333333333,20.1706666667,107131755
2019-02-21,20.1206666667,20.2159933333,19.3666666667,19.4153333333,133637730
2019-02-22,19.6326666667,19.7666666667,19.4733333333,19.6473333333,86108370
2019-02-25,19.8606666667,20.1933333333,19.8,19.918,99397830
2019-02-26,19.4813333333,20.134,19.2513333333,19.8573333333,128738025
2019-02-27,20.1186666667,21.0866666667,20.0366666667,20.9826666667,167758620
