Date,Open,High,Low,Close,Volume
2019-01-02,215.5855901972,216.7735107962,212.479397816,214.2568790086,4063606
2019-01-03,214.2480795968,214.2480795968,207.7805118909,208.4140695437,4623172
2019-01-04,211.0098960379,214.2304807731,210.1299548534,210.8515066247,5367608
2019-01-07,211.5378607486,212.9281678201,209.6283883783,211.2562795696,4132953
2019-01-08,213.2361472346,215.4008025485,210.9307013313,214.0808907717,3618666
2019-01-09,215.3744043129,217.0198943279,212.9985631148,214.3888701863,3425451
2019-01-10,213.0161619385,215.708781963,212.4266013449,215.4711978432,3374481
2019-01-11,214.2216813613,218.0142278664,214.0632919481,217.9350331598,3967094
2019-01-14,216.9846966805,219.9149008248,216.562324912,218.2782102217,4955469
2019-01-15,219.9852961196,226.0744891162,217.3454725662,226.030492057,5325776
2019-01-16,227.6671826601,230.7117791584,227.1744155968,230.0694220937,6069471
2019-01-17,229.655849737,230.3158056254,226.9280320651,228.5823214919,3583901
2019-01-18,231.072555044,234.2931397792,229.1542832619,233.624384479,4844751
2019-01-22,232.3572691734,235.384266848,232.0756879943,233.7915733041,4052696
2019-01-23,235.6042521441,237.1177509814,232.0140921114,234.9618950794,2971227
2019-01-24,234.7683080188,235.9650280297,232.5332574103,234.1787474252,2927350
2019-01-25,236.5281903878,237.9448956948,233.8003727159,235.8682344994,2809188
2019-01-28,234.8563021373,234.8827003728,232.8412368248,234.7419097833,2837679
2019-01-29,234.0643550712,236.2202109732,233.5715880079,235.2434762584,2173024
2019-01-30,237.311338042,239.7311762993,235.1114850808,237.9096980474,3659233
2019-01-31,238.0064915777,239.1152174702,236.6953792128,237.7601080461,4055122
2019-02-01,236.2378097969,237.0473556866,234.0907533068,236.457795093,3946753
2019-02-04,236.0970192074,236.4313968575,232.5420568221,236.0090250889,3398925
2019-02-05,237.6897127513,239.4231968847,233.9235644817,234.3371368384,3597224
2019-02-06,233.3076056526,237.5225239262,233.1668150631,237.1441492169,2569965
2019-02-07,236.3873997983,238.0944856962,235.1730809637,236.7041786247,2458498
2019-02-08,235.384266848,236.4401962693,229.0662891434,230.4565962149,4547448
2019-02-11,229.8142391502,229.8230385621,225.5641232292,226.2680761768,4856174
2019-02-12,228.0983538405,232.3044727023,226.0744891162,231.8645021101,4327961
2019-02-13,231.8821009337,234.3195380147,231.5565226955,232.1284844654,3066743
2019-02-14,231.6357174021,235.0058921386,231.1693485743,233.4747944776,3015655
2019-02-15,235.6394497915,238.5784533476,234.6099186056,238.5784533476,3673690
2019-02-19,238.613650995,239.7751733585,236.9505621563,237.9448956948,2486689
2019-02-20,236.8889662734,238.103285108,235.9826268534,237.1529486288,2802803
2019-02-21,237.1177509814,237.5313233381,233.2724080052,234.416331545,2554273
2019-02-22,234.5043256635,236.1674145022,234.020358012,235.041089786,3191090
2019-02-25,235.4546621427,235.9738274416,232.6388503524,232.832437413,3679125
2019-02-26,232.885233884,233.5627885961,231.2485432809,231.4069326941,3212929
2019-02-27,230.2014132714,230.2014132714,219.052558464,220.0556914144,8952928
2019-02-28,219.7213137643,221.7011814293,210.437934268,213.1393537044,11034345
2019-03-01,214.3184748916,218.2254137506,214.3184748916,216.5975225594,6921274
2019-03-04,218.3310066928,218.6213872837,206.355007172,207.6837183606,8646329
2019-03-05,208.1324883647,214.0016960651,206.7333818814,212.4442001686,6924867
2019-03-06,212.7169819358,212.7169819358,208.5724589569,210.3675389732,4878747
2019-03-07,211.4498666302,212.2242148725,207.2701460039,208.282078366,5033537
2019-03-08,207.7029744211,211.4657414678,207.2525023098,209.5931907309,4921739
2019-03-11,211.2890857379,215.5376560418,208.8247383059,214.7692036168,4539618
2019-03-12,216.3591051858,218.5938001689,215.2903380199,217.1805543298,4235832
2019-03-13,219.0177739207,223.2575114381,218.2404887091,222.8070393269,4882034
2019-03-14,223.469498314,225.2890523318,222.8865344053,223.7079835493,3865160
2019-03-15,224.6530917042,225.006403164,220.7666656466,222.0562524748,6466186
2019-03-18,223.1691835731,225.5098719942,221.1906393983,225.2360556129,3927379
2019-03-19,226.0751703299,228.9899898731,225.3597146238,227.1174391362,4164789
2019-03-20,227.3824227311,227.6120751799,220.7931640061,221.2613016903,4193496
2019-03-21,220.1042066595,223.434167168,219.6360689753,222.6038852375,2699799
2019-03-22,221.3231311958,221.8795967449,218.1609936307,218.2493214956,3778238
2019-03-25,218.54080345,218.54080345,212.6758332175,218.0461674063,4110942
2019-03-26,218.399478866,218.9559444152,213.506115148,214.9811904926,4416183
2019-03-27,214.5837151004,217.0038985999,210.3616431559,213.4972823615,4819232
2019-03-28,214.2745675731,214.5042200219,211.00643657,213.9565872592,3601531
2019-03-29,215.7761412771,218.8411181908,213.6386069454,218.399478866,4294167
2019-04-01,220.5635115572,220.9963180955,214.6897085383,216.880239589,4809459
2019-04-02,216.8537412295,217.6398592275,214.4600560894,215.8821347151,4057091
2019-04-03,217.5603641491,218.6467968879,216.041124872,217.1452231838,2851456
2019-04-04,216.82724287,220.0335443675,216.0852888045,218.5143050905,2255521
2019-04-05,219.8922197836,220.2102000974,216.5534264887,219.7420624132,3343112
2019-04-08,220.5370131977,220.5370131977,217.5603641491,219.7155640537,2195490
2019-04-09,218.6732952474,220.7666656466,217.2423838352,219.7508951997,2904072
2019-04-10,219.7420624132,220.7048361411,216.862574016,217.3130461272,2753784
2019-04-11,217.3307117002,218.0991641252,205.5212761569,207.9414596564,8223350
2019-04-12,208.8954005978,209.1427186197,195.0014274418,197.165460133,13979434
2019-04-15,199.4178206891,204.0108696663,198.2165617258,203.3307451062,10021785
2019-04-16,210.2291513585,210.2291513585,190.6291981269,195.1692503852,27361432
2019-04-17,197.6689289632,198.0664043554,183.7837885936,191.5301423494,22101404
2019-04-18,191.7951259442,196.9711388301,189.2071195013,195.8670405183,13927214
2019-04-22,197.8544174796,200.9988894716,195.6462208559,200.6014140794,11191845
2019-04-23,201.6083517398,204.8676499563,199.7093026434,203.666390993,10261445
2019-04-24,203.2335844548,204.5938335749,201.166712415,203.4632369036,6104122
2019-04-25,201.8556697616,205.0266401132,201.5023583018,203.8518795094,5954533
2019-04-26,205.0443056862,209.434200574,204.2051909692,209.3370399226,6186619
2019-04-29,209.6903513823,210.273315291,206.8285285581,209.7345153148,5345317
2019-04-30,210.290980864,210.290980864,203.3219123197,205.8657548302,7632279
2019-05-01,205.8657548302,207.2348367368,203.4632369036,204.8764827428,4823160
2019-05-02,203.9490401608,206.1042400655,201.4581943694,205.3181220675,5499206
2019-05-03,205.6626007408,206.5988761092,200.6632435848,204.8764827428,4323138
2019-05-06,201.5376894478,212.4903447011,200.9458927527,212.4285151957,7180213
2019-05-07,211.2714201649,214.7692036168,208.8070727329,210.2644825045,5104669
2019-05-08,210.220318572,212.702331577,208.0386203079,211.2360890189,3768388
2019-05-09,208.9837284628,212.4638463417,208.1622793188,210.1938202125,4299681
2019-05-10,211.9603775115,214.3010659325,208.7805743734,212.5080102741,4374392
2019-05-13,208.8512366654,212.0752037359,208.630417003,211.5894004787,4684437
2019-05-14,212.5521742066,212.8613217339,208.7010792949,208.8335710924,5329698
2019-05-15,207.5704826236,209.8051776068,205.4682794379,208.5244235651,5099948
2019-05-16,208.3566006217,212.3843512632,208.2064432512,209.1515514062,4456363
2019-05-17,208.6039186435,214.1420757756,208.1446137458,213.2058004072,4486406
2019-05-20,211.9868758709,217.9401739683,211.7837217816,217.2777149812,5390767
2019-05-21,218.1786592037,221.8619311719,217.9931706873,220.7666656466,5345383
2019-05-22,220.0247115811,221.7294393745,219.6802329078,220.2366984569,4038028
2019-05-23,219.0354394937,219.1855968641,215.8644691421,217.7281870925,3934570
2019-05-24,218.3906460795,220.2543640299,216.8537412295,218.7262919663,2974038
2019-05-28,219.4947443914,220.2013673109,213.7357675969,213.8064298888,6172696
2019-05-29,211.8543840735,214.6632101788,210.1319907071,214.1067446297,3958382
2019-05-30,213.6827708779,216.7124166456,213.1704692612,215.0783511441,2646971
2019-05-31,213.7092692374,215.184344582,211.5275709732,213.57677744,3285843
2019-06-03,213.3029610586,215.3433347389,208.4714268461,208.9483973168,4999517
2019-06-04,210.3351447965,212.9143184529,207.4203252532,212.6581676445,4992042
2019-06-05,214.7868691897,217.1010592513,213.0733086098,214.43355773,3194422
2019-06-06,214.7515380438,215.4669937498,213.5149479345,213.594443013,2630136
2019-06-07,214.5483839544,218.2316559226,213.9212561133,217.9666723278,2837457
2019-06-10,218.2404887091,220.5281804112,217.2777149812,219.1767640776,2330953
2019-06-11,219.5124099644,221.4291246337,217.0480625324,217.1717215433,3043114
2019-06-12,217.4632034976,217.7281870925,214.0184167647,215.9616297935,3251825
2019-06-13,216.2442789614,216.7035838591,214.7427052573,216.3679379723,3108249
2019-06-14,217.1073649905,218.3316546427,215.3951338102,217.68402316,2165579
2019-06-17,218.2429380012,219.2188210573,217.5509481978,218.2163230088,2270430
2019-06-18,219.5736876232,221.2060738261,217.4888465488,217.9767880768,3482480
2019-06-19,218.2429380012,223.0070216478,217.808226458,221.9601652785,4204589
2019-06-20,223.2110699232,224.293412949,219.4849709817,219.804350891,3800826
2019-06-21,220.7092606339,224.8878144468,219.0413877744,223.8143430851,6323527
2019-06-24,222.9715349912,224.1248513303,219.8930675324,221.4722237505,3163758
2019-06-25,221.1705871695,222.714256731,219.50271431,219.7156342495,3183010
2019-06-26,220.0172708305,220.0882441437,215.6967703912,215.9984069722,3852920
2019-06-27,216.6992684397,220.1503457927,215.7233853836,218.5445745822,3366173
2019-06-28,218.6865212085,218.9083128122,211.7222648536,216.4774768361,6727648
2019-07-01,218.1985796805,218.3937562917,213.5586993319,215.262058848,4109079
2019-07-02,215.2177005273,216.4597335078,212.5118429626,216.4419901795,3864785
2019-07-03,216.7524984246,219.5914309515,216.5040918285,217.5420765336,2559448
2019-07-05,216.8146000736,220.6915173056,216.5218351568,219.1212327517,2965094
2019-07-08,218.6066762312,219.9995275022,217.2493116168,219.8753242041,1902630
2019-07-09,217.0275200131,218.3139113144,216.1935835834,218.2429380012,2775012
2019-07-10,218.9704144612,221.0020255507,217.7816114656,219.5559442949,2753028
2019-07-11,226.9371688647,232.1625790469,220.9487955659,231.6923808471,10268790
2019-07-12,232.109349062,236.4475928296,232.109349062,235.8975496525,5336201
2019-07-15,235.1523298642,237.4500908781,234.4337250684,235.9507796374,2611403
2019-07-16,235.3918647962,236.9976360067,233.4933286688,234.7974632984,3121564
2019-07-17,234.2119334647,238.3727439494,233.7683502574,236.5629244635,3995150
2019-07-18,235.6668863847,236.4387211654,228.23243183,231.1955676549,5827020
2019-07-19,231.6391508623,233.076360454,227.4694687134,227.6912603171,4413227
2019-07-22,229.0131382749,229.7317430708,225.8104675181,226.5113289856,4104305
2019-07-23,225.7572375332,227.2033187891,223.5836798173,226.2363073971,2889283
2019-07-24,224.2667979566,224.3022846132,217.4711032205,222.7941017083,4864203
2019-07-25,222.7941017083,224.2313113,220.2745490907,220.6382873207,3362958
2019-07-26,220.9221805734,225.2338093486,218.6953928727,224.3998729188,3362651
2019-07-29,224.3111562773,226.4935856573,223.86757307,225.1805793637,2005512
2019-07-30,224.1514663227,226.2806657178,222.2085718746,226.1653340839,1908834
2019-07-31,227.3984954003,228.1437151886,220.4431107095,220.9133089093,3532351
2019-08-01,221.0729988639,223.1933265949,219.3785110119,221.1262288488,3613635
2019-08-02,221.5165820712,223.1844549307,218.3316546427,221.8359619805,2677632
2019-08-05,220.1326024644,221.7383736749,215.2177005273,217.4090015714,5812447
2019-08-06,218.1808363522,220.2656774266,216.0871236136,220.2656774266,3532969
2019-08-07,218.4824729332,219.1655910724,214.0377691958,218.6421628878,3205805
2019-08-08,218.41149962,219.7245059136,215.9096903307,219.6801475929,2830705
2019-08-09,219.7688642344,222.1642135539,218.3671412993,220.5761856717,2535030
2019-08-12,218.9437994688,219.9817841739,215.6080537497,215.7588720402,3550184
2019-08-13,214.41037909,222.1997002105,214.2595607995,221.0996138563,2774735
2019-08-14,218.8905694839,220.3810090605,215.5903104214,215.7588720402,3464315
2019-08-15,216.779113417,217.5864348544,214.2063308146,216.6903967756,2513465
2019-08-16,217.6928948241,219.2276927215,216.6282951266,217.9679164127,2810022
2019-08-19,219.564815959,220.4519823737,216.5484501492,217.0984933263,2672254
2019-08-20,216.654910119,217.0009050207,212.8489662002,213.0618861397,3201507
2019-08-21,213.0885011321,214.596684037,212.2989230231,213.2304477585,2761928
2019-08-22,213.2304477585,213.2304477585,206.4170096941,206.656544626,4498791
2019-08-23,206.6210579694,208.5728240816,203.4982321899,204.6338052006,4827798
2019-08-26,206.2839347319,208.0937542177,204.4563719177,205.0064150948,2918839
2019-08-27,205.5742016002,206.1774747621,197.4832438986,197.7760088155,4988764
2019-08-28,197.323553944,203.8442270916,195.868601024,201.6972843682,4847412
2019-08-29,202.6465524318,206.0887581206,202.2828142018,204.5983185441,4052586
2019-08-30,207.3041761087,208.5284657609,206.0798864565,207.5969410255,3384133
2019-09-03,205.5919449284,205.9734264867,202.6909107526,204.5983185441,3381979
2019-09-04,205.7782498755,206.6654162902,200.9431929157,201.1472411911,4526047
2019-09-05,204.048275367,205.3878966531,201.9013326436,203.684537137,4256911
2019-09-06,204.1990936575,205.7871215397,202.7973707223,203.1611089523,4183195
2019-09-09,203.1611089523,205.8226081963,202.7707557299,204.6515485289,3895558
2019-09-10,205.3346666682,207.8542192858,204.7846234911,206.230704747,4257570
2019-09-11,206.2573197394,207.8187326292,202.7884990582,207.7832459726,3167732
2019-09-12,208.4841074402,209.7261404207,203.7821254426,204.1369920084,4710026
2019-09-13,207.6564997756,210.8383260522,206.3641613719,208.2090858516,4523112
2019-09-16,207.5049842386,210.3837794413,206.9078347693,208.9399255006,2973582
2019-09-17,207.7278012047,208.5477676402,206.034392262,207.2376038792,2408251
2019-09-18,205.7046231521,207.7812772766,204.3053326046,205.5352822578,2977007
2019-09-19,206.7741445896,208.5121169256,206.0878683339,207.5317222745,2725773
2019-09-20,209.2429565746,209.4479481834,206.7028431604,207.5673729891,6253041
2019-09-23,204.7866172515,205.6867977948,203.4942788478,203.8953493869,3483928
2019-09-24,204.4390227843,204.8490060021,198.6814323789,200.5352695373,5047174
2019-09-25,199.8935566748,201.8721713343,197.9773307659,198.0129814805,4672081
2019-09-26,198.7883845227,199.3142325628,190.2233003438,192.0503994662,10455488
2019-09-27,194.4568227007,195.0807102059,191.6404162485,191.854320536,4834816
2019-09-30,190.4104665954,194.7687664533,189.9470073058,193.6903323371,5329871
2019-10-01,195.357003244,195.357003244,189.0200887266,193.592292872,5529703
2019-10-02,192.6475489355,195.5085187809,191.8721458933,193.1823096543,4925322
2019-10-03,192.1840896459,192.8347151871,189.8846185552,191.9434473225,3858573
2019-10-04,193.2625237621,195.9541527132,191.7473683923,195.9006766414,3711041
2019-10-07,195.2322257429,198.3338379118,195.178749671,197.1841023664,3874304
2019-10-08,195.6243836033,197.8436405862,194.6529016309,196.1769696794,4876735
2019-10-09,197.6029982628,199.1716297045,196.2304457513,197.9327673727,4501243
2019-10-10,194.4657353793,199.7598664951,193.8685859101,199.4033593493,5300342
2019-10-11,201.0165541842,203.9666508161,197.496046119,197.923854694,5918800
2019-10-14,197.5316968336,199.0557648821,195.9898034278,196.6047782544,4291254
2019-10-15,207.3891194162,213.7616846482,205.9630908328,212.6475998174,13467446
2019-10-16,210.5976837288,211.6582924877,208.627981748,211.221571234,5395723
2019-10-17,212.7367266039,218.0130323623,211.4711262361,217.1752405696,6627446
2019-10-18,217.870429504,219.6173145186,215.4729189482,218.6636579035,4922121
2019-10-21,218.3784521868,218.8953875483,215.8205134154,217.3980575358,3179077
2019-10-22,217.1485025337,224.1538679495,216.71178128,222.353506863,5797356
2019-10-23,221.3820248906,224.3766849157,219.9025202353,220.8561768505,3910170
2019-10-24,221.0611684593,221.471151677,217.3891448571,217.9239055759,2558234
2019-10-25,217.3891448571,219.3231961233,215.8205134154,218.2804127217,2814949
2019-10-28,218.5923564743,221.3820248906,218.2893254004,220.187725952,2954092
2019-10-29,220.1788132734,225.6690233194,219.5281877322,224.8579695626,3510607
2019-10-30,224.7510174188,227.5228604777,224.5816765245,227.0950519027,3299164
2019-10-31,226.7207193996,227.9150183382,222.7367520448,225.223389387,3960344
2019-11-01,226.3731249324,228.4586917356,224.7421047402,224.7866681334,2918412
2019-11-04,226.0522685011,226.2305220741,222.7367520448,223.9310509834,3185927
2019-11-05,226.1503079662,226.6226799345,222.8971802604,223.084346512,5391566
2019-11-06,222.5584984719,224.5905892032,222.0059123958,223.2804254422,3667273
2019-11-07,224.5549384886,228.8330242387,223.939963662,228.574556558,3643880
