Date,Open,High,Low,Close,Volume
2019-01-02,123.2909329222,126.8379182232,122.9115762055,126.060236954,8788010
2019-01-03,124.4384869902,124.5048744156,121.2803423238,121.5174402717,9428280
2019-01-04,123.7082253106,127.6440512462,123.4142238551,126.7525629619,11065782
2019-01-07,127.5112763953,130.0909020688,127.1224357607,129.03818718,12928362
2019-01-08,130.8496155021,131.0582616963,128.9433480008,129.7399971058,9243043
2019-01-09,131.1625847934,132.2816871076,130.517678375,131.2669078905,9987569
2019-01-10,129.7494810237,131.6557485251,129.3227047175,131.5134897563,12514916
2019-01-11,130.640969308,131.4471023309,130.3185160988,130.9349707634,5860051
2019-01-14,129.9201915463,131.0013581888,129.5977383371,130.0245146433,8666670
2019-01-15,129.8917397925,130.6125175542,128.2699898287,130.2521286734,7594993
2019-01-16,131.2574239726,131.7031681147,129.9960628896,130.2521286734,7257982
2019-01-17,129.9012237104,130.7927119946,129.5408348296,130.1952251659,5864878
2019-01-18,131.1720687113,131.4471023309,129.5882544192,131.3522631517,10263458
2019-01-22,130.7832280767,132.3196227793,129.9107076283,130.9254868455,8102321
2019-01-23,131.6083289355,131.8074912118,129.1235424412,129.9391593821,5465773
2019-01-24,130.0339985613,131.1815526292,129.4744474042,130.5935497184,4925199
2019-01-25,131.8264590476,132.6800116601,130.5935497184,131.5134897563,9759451
2019-01-28,130.4133552779,130.4133552779,127.8526974403,128.9717997545,9857213
2019-01-29,129.5408348296,129.6356740087,127.1888231861,128.0328918808,7457711
2019-01-30,129.0761228516,130.7832280767,128.5165716945,130.4987105392,8078091
2019-01-31,127.4543728878,128.7252178887,126.4206258348,128.0423757987,20095659
2019-02-01,128.4027646795,133.1067879664,128.2794737466,132.9171096081,13248305
2019-02-04,132.575688563,134.2164063627,131.9971695701,134.1974385269,11882736
2019-02-05,134.6716344227,135.5726066248,134.5104078181,135.1742820723,8455658
2019-02-06,134.6336987511,135.0699589752,133.7706622206,134.1879546089,6146859
2019-02-07,132.698979496,133.7801461385,132.0256213239,132.9360774439,10675712
2019-02-08,131.5324575922,133.154207556,131.3712309876,133.1352397202,5950895
2019-02-11,133.9698244969,134.9466680423,133.2016271456,133.5335642727,7600100
2019-02-12,134.4724721465,135.4303478561,133.9603405789,134.6621505048,6090351
2019-02-13,135.5157031173,137.2322922603,135.4967352815,136.0847381924,6885550
2019-02-14,135.8378582151,136.3128821982,135.2868303947,136.008866849,6314035
2019-02-15,137.3294335221,137.67145079,136.6358985068,137.67145079,6536038
2019-02-19,137.2059272865,137.642949351,136.8259081,137.2249282458,8406948
2019-02-20,137.1394239289,137.6049474323,136.3508841169,137.500442156,5283077
2019-02-21,137.1394239289,137.7852665363,136.0278678084,136.8069071407,8573402
2019-02-22,137.2059272865,138.9764366764,137.2059272865,138.5834968376,9681136
2019-02-25,139.5715467225,139.8470606327,138.5264939596,138.7640059512,9731222
2019-02-26,137.9469647002,140.0370702259,137.7759560663,139.6950529581,7332555
2019-02-27,139.1820270563,140.1225745429,138.6309992359,139.866061592,9731198
2019-02-28,139.9040635107,141.386138338,139.8755620717,140.7211047617,6250470
2019-03-01,141.9941690364,142.4406915806,140.9681172329,142.0036695161,7016918
2019-03-04,142.5736982959,142.6877040518,139.6095486411,140.5690970871,6979679
2019-03-05,140.6070990057,141.8326608822,140.4455908514,140.5595966074,9678771
2019-03-06,140.6070990057,141.1011239482,140.0560711853,140.4265898921,8186390
2019-03-07,139.9040635107,140.4265898921,138.7450049918,139.4955428852,8761650
2019-03-08,138.1749762121,140.1130740633,137.2819311238,139.9895678276,5168083
2019-03-11,140.711604282,143.4287414655,140.626099965,143.1437270756,9361495
2019-03-12,143.4572429045,145.4903455523,143.3337366689,144.1507779198,9465366
2019-03-13,144.6923052606,146.3453887219,144.4452927894,144.8538134149,8308885
2019-03-14,144.9393177318,146.9629198999,144.6923052606,146.4973963965,9364876
2019-03-15,146.0413733727,148.9865220681,145.6993561048,147.694456834,20162038
2019-03-18,148.1314788984,148.5970024019,146.7064069491,147.2194328508,9689378
2019-03-19,148.1599803374,148.1599803374,146.4403935185,146.8679151033,9236084
2019-03-20,146.6304031118,147.1339285339,145.0818249268,146.0698748117,6391356
2019-03-21,145.6613541862,148.8535153528,145.6518537065,148.0174731425,7027220
2019-03-22,147.2479342898,147.9034673865,145.214831642,145.4238421946,8120155
2019-03-25,144.7493081386,146.3643896812,143.9702688062,145.385840276,7568185
2019-03-26,146.088875771,147.8274635492,146.088875771,147.5424491594,15594356
2019-03-27,147.7039573136,148.0744760205,145.6993561048,146.5163973558,12253759
2019-03-28,147.1909314118,147.3334386068,145.9368680964,146.9439189406,16902229
2019-03-29,147.9509697849,148.482996646,147.1909314118,148.3879918493,12164689
2019-04-01,149.6610561241,149.8510657174,148.7300091172,149.4045431732,6420179
2019-04-02,149.7845623597,150.2500858632,148.9200187104,149.8985681157,6215113
2019-04-03,150.6301050497,151.1621319108,149.9650714733,150.5446007327,8211733
2019-04-04,150.6111040904,150.763111765,148.7110081579,149.7655614004,5100237
2019-04-05,150.1075786683,150.706108887,149.3760417342,149.7750618801,4178703
2019-04-08,149.6800570834,149.9650714733,148.5114980849,149.8700666767,5604889
2019-04-09,148.7395095968,150.0980781886,148.6540052799,149.6230542055,6364467
2019-04-10,150.0980781886,150.8486160819,149.6515556444,150.6396055294,3918581
2019-04-11,151.1621319108,151.3426410244,149.5755518071,149.974571953,5771697
2019-04-12,150.7821127243,151.6656573329,149.974571953,151.6656573329,6745080
2019-04-15,151.8461664465,152.4636976246,151.2381357481,152.4256957059,8143172
2019-04-16,152.9957244857,153.0527273636,151.5801530159,152.226185633,6021579
2019-04-17,152.8342163314,153.0242259247,152.3021894703,152.4256957059,4609445
2019-04-18,152.8912192094,153.0527273636,151.0576266345,152.1596822754,7859406
2019-04-22,151.2476362278,152.4636976246,151.1241299921,152.3876937873,4602806
2019-04-23,152.957722567,153.7937647773,151.8841683651,153.5847542247,6522901
2019-04-24,153.6702585417,153.9362719723,152.6252057788,153.4232460705,7376521
