Date,Open,High,Low,Close,Volume
2019-01-02,27.4045519338,28.0056338783,27.4045519338,27.9129296978,24458199
2019-01-03,27.8740537511,28.3226223664,27.7215404219,27.7693877409,24831867
2019-01-04,27.8740537511,28.0086243357,27.7185499645,27.9428342721,24087432
2019-01-07,27.996662506,28.4601834084,27.8650823788,28.27178459,23369103
2019-01-08,28.4272883766,28.636620397,28.0833857716,28.4691547807,21602736
2019-01-09,28.6216681099,28.7502577796,28.340565111,28.3764506002,18816879
2019-01-10,28.0744143993,28.4033647171,27.8471396342,28.3973838022,28188813
2019-01-11,28.4063551745,28.4960688976,28.2747750474,28.361498313,16183776
2019-01-14,28.2538418454,28.5439162165,28.1940326967,28.3943933448,21255282
2019-01-15,28.5498971314,28.8878188216,28.5229830145,28.7831528113,21174690
2019-01-16,28.6874581734,28.9655707149,28.6575535991,28.8130573857,16229850
2019-01-17,28.8040860134,29.0702367251,28.7562386944,28.9296852257,16843467
2019-01-18,28.9924848318,29.3662920112,28.9625802574,29.2257405117,18361929
2019-01-22,29.0522939805,29.4350725322,28.9416470554,29.1539695333,24189606
2019-01-23,29.5666526593,29.7101946162,29.165931363,29.5188053403,25037250
2019-01-24,29.3662920112,29.4440439045,28.8369810452,29.4141393301,22829238
2019-01-25,29.5307671701,29.578614489,28.9326756831,28.9894943744,21666267
2019-01-28,28.8668856195,29.028370321,28.7323150349,29.0253798636,17627343
2019-01-29,28.938656598,29.0552844379,28.8609047046,28.9207138533,15760110
2019-01-30,28.911742481,28.9476279703,28.1880517818,28.3495364833,35548011
2019-01-31,28.2986987069,28.9685611723,28.2986987069,28.6575535991,44168964
2019-02-01,28.684467716,28.7083913755,27.8441491768,28.0684334844,37775766
2019-02-04,28.0684334844,28.340565111,27.9159201552,28.340565111,21805887
2019-02-05,28.4841070678,28.6904486309,28.4153265468,28.5887730781,18299571
2019-02-06,28.5379353017,28.7113818329,28.4751356955,28.6007349078,12794565
2019-02-07,28.4422406638,28.9536088851,28.409345632,28.9266947682,21031104
2019-02-08,28.8100669283,28.9147329385,28.4512120361,28.5827921632,18507540
2019-02-11,28.6037253652,28.8130573857,28.6007349078,28.7682005242,16628283
2019-02-12,28.9536088851,29.0582748954,28.8579142472,28.9984657467,17643756
2019-02-13,29.097150842,29.3064828625,29.0343512359,29.2885401178,16375596
2019-02-14,29.2107882245,29.6653377546,29.0134180338,29.4619866491,21602283
2019-02-15,29.5995476911,29.9045743494,29.5636622019,29.901583892,28442949
2019-02-19,30.616303219,31.1545855573,30.5235990385,30.5624749851,62091756
2019-02-20,30.4458471452,30.6043413892,29.5008625957,29.8686888602,52895370
2019-02-21,29.8028987967,29.8809497357,29.578614489,29.7221564459,19239489
2019-02-22,29.8507461156,29.9524216684,29.64739501,29.7700037649,24260838
2019-02-25,29.9404598387,29.9434502961,29.6204808931,29.6414140952,27704910
