,trailingEPS,trailingPE,totalRevenue,freeCashflow,marketCap
AMD,3.0,172.69667,37454000128.0,7173374976.0,844797902848.0
AAPL,8.31,37.6065,451442016256.0,101090746368.0,4589945880576.0
MSFT,16.8,25.416073,318272995328.0,37011251200.0,3171867426816.0
GOOGL,13.11,29.758202,422498009088.0,27921750016.0,4726597877760.0
META,27.51,23.093056,214962995200.0,25558249472.0,1612634914816.0
NVDA,6.53,32.810104,253491003392.0,46335873024.0,5189349146624.0
ABNB,4.13,32.566586,12647000064.0,3191000064.0,79826411520.0
TSLA,1.11,398.2883,97878999040.0,5251999744.0,1660405547008.0
AMZN,8.66,31.639723,742775980032.0,9806624768.0,2947448045568.0
NFLX,3.1,27.858065,46889992192.0,25993676800.0,363644583936.0
