ticker,total_articles,positive_ratio,negative_ratio,neutral_ratio,avg_sentiment
AAPL,110,0.39090909090909093,0.11818181818181818,0.4909090909090909,0.2727272727272727
MSFT,110,0.4636363636363636,0.15454545454545454,0.38181818181818183,0.3090909090909091
GOOGL,110,0.2727272727272727,0.24545454545454545,0.4818181818181818,0.02727272727272727
META,110,0.34545454545454546,0.2545454545454545,0.4,0.09090909090909091
AMZN,110,0.6,0.11818181818181818,0.2818181818181818,0.4818181818181818
NFLX,109,0.27522935779816515,0.28440366972477066,0.44036697247706424,-0.009174311926605505
TSLA,109,0.3486238532110092,0.14678899082568808,0.5045871559633027,0.2018348623853211
ABNB,109,0.3486238532110092,0.1559633027522936,0.4954128440366973,0.1926605504587156
NVDA,109,0.3669724770642202,0.1926605504587156,0.44036697247706424,0.1743119266055046
AMD,110,0.3,0.17272727272727273,0.5272727272727272,0.12727272727272726
INTC,110,0.36363636363636365,0.10909090909090909,0.5272727272727272,0.2545454545454545
QCOM,110,0.2818181818181818,0.13636363636363635,0.5818181818181818,0.14545454545454545
AVGO,110,0.3,0.19090909090909092,0.509090909090909,0.10909090909090909
MU,107,0.35514018691588783,0.18691588785046728,0.45794392523364486,0.16822429906542055
ARM,109,0.44036697247706424,0.2018348623853211,0.3577981651376147,0.23853211009174313
AMAT,104,0.36538461538461536,0.14423076923076922,0.49038461538461536,0.22115384615384615
V,109,0.3211009174311927,0.1743119266055046,0.5045871559633027,0.14678899082568808
MA,110,0.32727272727272727,0.09090909090909091,0.5818181818181818,0.23636363636363636
PYPL,109,0.4036697247706422,0.14678899082568808,0.44954128440366975,0.25688073394495414
COIN,109,0.28440366972477066,0.22935779816513763,0.48623853211009177,0.05504587155963303
HOOD,106,0.2358490566037736,0.22641509433962265,0.5377358490566038,0.009433962264150943
JPM,110,0.36363636363636365,0.20909090909090908,0.42727272727272725,0.15454545454545454
GS,110,0.37272727272727274,0.21818181818181817,0.4090909090909091,0.15454545454545454
BAC,109,0.3761467889908257,0.23853211009174313,0.3853211009174312,0.13761467889908258
WFC,110,0.6090909090909091,0.19090909090909092,0.2,0.41818181818181815
MS,110,0.37272727272727274,0.18181818181818182,0.44545454545454544,0.19090909090909092
BLK,109,0.28440366972477066,0.1743119266055046,0.5412844036697247,0.11009174311926606
CRM,110,0.21818181818181817,0.2727272727272727,0.509090909090909,-0.05454545454545454
NOW,109,0.3669724770642202,0.1926605504587156,0.44036697247706424,0.1743119266055046
SNOW,109,0.3853211009174312,0.1834862385321101,0.43119266055045874,0.2018348623853211
PLTR,109,0.26605504587155965,0.2018348623853211,0.5321100917431193,0.06422018348623854
NET,110,0.2727272727272727,0.2909090909090909,0.43636363636363634,-0.01818181818181818
DDOG,109,0.30275229357798167,0.10091743119266056,0.5963302752293578,0.2018348623853211
MDB,109,0.27522935779816515,0.24770642201834864,0.47706422018348627,0.027522935779816515
WMT,110,0.41818181818181815,0.20909090909090908,0.37272727272727274,0.20909090909090908
TGT,110,0.35454545454545455,0.17272727272727273,0.4727272727272727,0.18181818181818182
COST,110,0.3181818181818182,0.2636363636363636,0.41818181818181815,0.05454545454545454
EBAY,110,0.24545454545454545,0.43636363636363634,0.3181818181818182,-0.19090909090909092
SHOP,110,0.3090909090909091,0.18181818181818182,0.509090909090909,0.12727272727272726
UNH,107,0.4205607476635514,0.205607476635514,0.37383177570093457,0.21495327102803738
ISRG,105,0.4095238095238095,0.1619047619047619,0.42857142857142855,0.24761904761904763
DXCM,104,0.38461538461538464,0.038461538461538464,0.5769230769230769,0.34615384615384615
ENPH,104,0.6826923076923077,0.1346153846153846,0.18269230769230768,0.5480769230769231
FSLR,107,0.35514018691588783,0.2336448598130841,0.411214953271028,0.12149532710280374
RIVN,110,0.3,0.17272727272727273,0.5272727272727272,0.12727272727272726
